"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:20:13:400","276197961261820","   1.004","   1.537"," 1692"," 1200"," 2900"," 1727","   1.267","   1.271","   0.353","   0.567","   0.569","   0.158"," 32","0"," 28"," 33","   0.722","   0.725","   0.201","  45.000","    0","    0"
"19:20:14:408","276200282458520","   2.011","   2.546"," 2476"," 1200"," 3700"," 3024","   2.685","   3.976","   1.105","   2.026","   2.610","   0.725"," 33","0"," 28"," 40","   0.692","   1.423","   0.395","  45.000","    0","    0"
"19:20:15:409","276202587975300","   3.012","   1.317"," 1534"," 1200"," 3600"," 1534","   1.011","   4.988","   1.385","   0.439","   3.050","   0.847"," 32","0"," 28"," 33","   0.669","   2.092","   0.581","  45.000","    0","    0"
"19:20:16:412","276204900099332","   4.015","   2.107"," 2306"," 1200"," 3700"," 2460","   2.159","   7.154","   1.987","   1.508","   4.563","   1.267"," 32","0"," 29"," 39","   0.677","   2.771","   0.770","  45.000","    0","    0"
"19:20:17:413","276207207217180","   5.017","   1.586"," 1805"," 1200"," 3000"," 1880","   1.380","   8.536","   2.371","   0.680","   5.244","   1.457"," 31","0"," 29"," 33","   0.715","   3.487","   0.969","  45.000","    0","    0"
"19:20:18:414","276209512247610","   6.017","   1.229"," 1703"," 1200"," 3000"," 1782","   1.072","   9.609","   2.669","   0.516","   5.761","   1.600"," 32","0"," 28"," 33","   0.664","   4.152","   1.153","  45.000","    0","    0"
"19:20:19:424","276211840164686","   7.028","   0.995"," 1450"," 1200"," 2500"," 1465","   0.894","  10.512","   2.920","   0.347","   6.111","   1.697"," 31","0"," 28"," 32","   0.657","   4.816","   1.338","  45.000","    0","    0"
"19:20:20:435","276214168118984","   8.038","   1.203"," 1490"," 1200"," 2600"," 1517","   1.077","  11.600","   3.222","   0.403","   6.518","   1.811"," 32","0"," 28"," 33","   0.708","   5.531","   1.536","  45.000","    0","    0"
"19:20:21:440","276216485077618","   9.044","   1.103"," 1456"," 1200"," 2500"," 1471","   0.907","  12.512","   3.476","   0.348","   6.869","   1.908"," 31","0"," 28"," 32","   0.661","   6.196","   1.721","  45.000","    0","    0"
"19:20:22:450","276218811067610","  10.053","   1.094"," 1549"," 1200"," 2700"," 1573","   0.971","  13.493","   3.748","   0.404","   7.277","   2.021"," 32","0"," 28"," 32","   0.660","   6.862","   1.906","  45.000","    0","    0"
"19:20:23:453","276221121405664","  11.056","   1.874"," 2288"," 1200"," 4400"," 2612","   2.134","  15.633","   4.343","   1.423","   8.704","   2.418"," 32","0"," 28"," 49","   0.717","   7.581","   2.106","  45.000","    0","    0"
"19:20:24:453","276223426822084","  12.057","   1.645"," 1969"," 1200"," 3700"," 2221","   1.470","  17.104","   4.751","   0.873","   9.577","   2.660"," 34","0"," 28"," 35","   0.666","   8.248","   2.291","  45.000","    0","    0"
"19:20:25:463","276225754255688","  13.067","   1.468"," 2297"," 1200"," 3700"," 2679","   1.654","  18.775","   5.215","   1.087","  10.676","   2.965"," 32","0"," 28"," 38","   0.670","   8.925","   2.479","  45.000","    0","    0"
"19:20:26:467","276228065570906","  14.070","   1.987"," 2334"," 1200"," 3900"," 2474","   2.119","  20.901","   5.806","   1.476","  12.156","   3.377"," 32","0"," 29"," 38","   0.673","   9.601","   2.667","  45.000","    0","    0"
"19:20:27:468","276230373793878","  15.072","   1.290"," 1550"," 1200"," 2800"," 1566","   1.031","  21.934","   6.093","   0.456","  12.613","   3.504"," 32","0"," 28"," 32","   0.662","  10.264","   2.851","  45.000","    0","    0"
"19:20:28:469","276232678596580","  16.072","   2.168"," 1991"," 1200"," 3700"," 2107","   1.716","  23.650","   6.569","   1.072","  13.685","   3.801"," 32","0"," 29"," 38","   0.686","  10.950","   3.042","  45.000","    0","    0"
"19:20:29:470","276234985122656","  17.073","   3.141"," 2142"," 1200"," 3700"," 2287","   2.458","  26.111","   7.253","   1.737","  15.424","   4.284"," 32","0"," 29"," 37","   0.710","  11.661","   3.239","  45.000","    0","    0"
"19:20:30:471","276237290793400","  18.074","   3.215"," 2152"," 1200"," 3700"," 2321","   2.487","  28.600","   7.944","   1.758","  17.183","   4.773"," 36","0"," 29"," 37","   0.707","  12.368","   3.436","  45.000","    0","    0"
