"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:12:57:598","532318019269774","   1.006","   1.946"," 1986"," 1200"," 3700"," 2060","   1.829","   1.840","   0.511","   1.105","   1.112","   0.309"," 36","0"," 33"," 40","   0.729","   0.733","   0.204","  45.000","  350","  333"
"02:12:58:610","532320350860036","   2.018","   2.551"," 2526"," 1200"," 3800"," 2980","   2.872","   4.746","   1.318","   2.192","   3.329","   0.925"," 37","0"," 33"," 46","   0.699","   1.440","   0.400","  45.000","    0","    0"
"02:12:59:611","532322657742924","   3.019","   1.286"," 1519"," 1200"," 2700"," 1525","   1.051","   5.799","   1.611","   0.439","   3.769","   1.047"," 37","0"," 33"," 36","   0.677","   2.118","   0.588","  45.000","    0","    0"
"02:13:00:613","532324966391574","   4.021","   1.529"," 1537"," 1200"," 2500"," 1549","   1.206","   7.007","   1.946","   0.514","   4.284","   1.190"," 36","0"," 33"," 36","   0.706","   2.826","   0.785","  45.000","    0","    0"
"02:13:01:621","532327289702778","   5.029","   1.682"," 1714"," 1200"," 2900"," 1738","   1.364","   8.383","   2.328","   0.648","   4.937","   1.371"," 36","0"," 33"," 36","   0.719","   3.551","   0.986","  45.000","    0","    0"
"02:13:02:630","532329614031504","   6.038","   1.866"," 1981"," 1200"," 3300"," 2303","   1.505","   9.901","   2.750","   0.865","   5.810","   1.614"," 36","0"," 33"," 39","   0.692","   4.250","   1.180","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.038001"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 9.900513"
"Cumulative Package Energy_0 (mWh) = 2.750142"
"Average Package Power_0 (Watt) = 1.639701"

"Cumulative IA Energy_0 (Joules) = 5.809692"
"Cumulative IA Energy_0 (mWh) = 1.613803"
"Average Package IA_0 (Watt) = 0.962188"

"Cumulative DRAM Energy_0 (Joules) = 4.249573"
"Cumulative DRAM Energy_0 (mWh) = 1.180437"
"Average Package DRAM_0 (Watt) = 0.703805"
