#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,17-10-23T19-48-18,micro,api-baseline,14.063600,16.363102,11.790721,2.800666,58.907166,42.446594,10.082397,41.5
1,17-10-23T19-48-18,micro,api-monitor,14.058517,52.929874,12.445662,3.833737,190.547546,44.804382,13.801453,58.07142857142857
1,17-10-23T19-48-18,micro,frontend-baseline,6.034675,23.807170,5.738068,1.663513,85.705811,20.657043,5.988647,67.66666666666667
1,17-10-23T19-48-18,micro,frontend-monitor,6.041074,26.697489,7.561001,1.700829,96.110962,27.219604,6.122986,72.0
10,17-10-23T19-48-18,micro,api-baseline,14.059455,5.491536,3.011644,2.698263,19.769531,10.841919,9.713745,35.214285714285715
10,17-10-23T19-48-18,micro,api-monitor,14.077469,5.246446,2.770691,2.692532,18.887207,9.974487,9.693115,34.42857142857143
10,17-10-23T19-48-18,micro,frontend-baseline,6.026721,3.064796,1.880459,1.194034,11.033264,6.769653,4.298523,35.0
10,17-10-23T19-48-18,micro,frontend-monitor,6.042331,2.391493,1.254985,1.179267,8.609375,4.517944,4.245361,36.333333333333336
11,17-10-23T19-48-18,micro,api-baseline,14.067457,5.483093,2.922974,2.714623,19.739136,10.522705,9.772644,35.57142857142857
11,17-10-23T19-48-18,micro,api-monitor,14.087185,5.975054,3.416918,2.717896,21.510193,12.300903,9.784424,36.0
11,17-10-23T19-48-18,micro,frontend-baseline,6.037070,2.885386,1.763407,1.169434,10.387390,6.348267,4.209961,35.166666666666664
11,17-10-23T19-48-18,micro,frontend-monitor,6.029631,2.015669,0.931295,1.157227,7.256409,3.352661,4.166016,36.333333333333336
12,17-10-23T19-48-18,micro,api-baseline,14.040983,8.490753,5.262638,2.762994,30.566711,18.945496,9.946777,36.285714285714285
12,17-10-23T19-48-18,micro,api-monitor,14.064272,6.093648,3.568302,2.697008,21.937134,12.845886,9.709229,36.07142857142857
12,17-10-23T19-48-18,micro,frontend-baseline,6.027025,2.608388,1.444804,1.171502,9.390198,5.201294,4.217407,37.333333333333336
12,17-10-23T19-48-18,micro,frontend-monitor,6.041215,16.773410,15.187717,1.214328,60.384277,54.675781,4.371582,43.333333333333336
13,17-10-23T19-48-18,micro,api-baseline,14.084521,5.716807,3.188307,2.711589,20.580505,11.477905,9.761719,35.92857142857143
13,17-10-23T19-48-18,micro,api-monitor,14.063173,5.457255,3.023309,2.669203,19.646118,10.883911,9.609131,35.214285714285715
13,17-10-23T19-48-18,micro,frontend-baseline,6.035816,2.861464,1.690080,1.194255,10.301270,6.084290,4.299316,34.5
13,17-10-23T19-48-18,micro,frontend-monitor,6.036322,3.053674,1.864692,1.209598,10.993225,6.712891,4.354553,36.833333333333336
14,17-10-23T19-48-18,micro,api-baseline,14.058028,5.204519,2.670458,2.706045,18.736267,9.613647,9.741760,36.0
14,17-10-23T19-48-18,micro,api-monitor,14.077075,5.429535,2.841136,2.736477,19.546326,10.228088,9.851318,34.714285714285715
14,17-10-23T19-48-18,micro,frontend-baseline,6.034040,2.570513,1.448568,1.176927,9.253845,5.214844,4.236938,35.0
14,17-10-23T19-48-18,micro,frontend-monitor,6.037081,2.760417,1.587389,1.192220,9.937500,5.714600,4.291992,37.0
15,17-10-23T19-48-18,micro,api-baseline,14.064859,5.679949,3.066508,2.739987,20.447815,11.039429,9.863953,35.5
15,17-10-23T19-48-18,micro,api-monitor,14.080747,5.536669,3.057522,2.681868,19.932007,11.007080,9.654724,34.142857142857146
15,17-10-23T19-48-18,micro,frontend-baseline,6.047297,2.903375,1.762204,1.170298,10.452148,6.343933,4.213074,35.0
