"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:46:30:961","217960638625276","   1.002","   2.407"," 1406"," 1200"," 2500"," 1414","   1.457","   1.460","   0.405","   0.609","   0.610","   0.169"," 38","0"," 35"," 39","   0.749","   0.751","   0.208","  45.000","    0","    0"
"21:46:31:969","217962960646624","   2.010","   2.724"," 2517"," 1200"," 3700"," 3122","   2.841","   4.322","   1.201","   2.124","   2.751","   0.764"," 38","0"," 35"," 47","   0.717","   1.473","   0.409","  45.000","    0","    0"
"21:46:32:976","217965280651272","   3.017","   2.090"," 2402"," 1200"," 3700"," 2557","   2.320","   6.659","   1.850","   1.653","   4.415","   1.226"," 38","0"," 35"," 46","   0.675","   2.153","   0.598","  45.000","    0","    0"
"21:46:33:982","217967599037574","   4.023","   1.042"," 1520"," 1200"," 2700"," 1531","   1.092","   7.757","   2.155","   0.396","   4.814","   1.337"," 38","0"," 35"," 39","   0.703","   2.860","   0.794","  45.000","    0","    0"
"21:46:34:983","217969904471698","   5.024","   1.015"," 1496"," 1200"," 2400"," 1516","   0.941","   8.699","   2.416","   0.372","   5.186","   1.441"," 38","0"," 35"," 38","   0.656","   3.516","   0.977","  45.000","    0","    0"
"21:46:35:991","217972226862212","   6.032","   0.916"," 1462"," 1200"," 2500"," 1476","   0.942","   9.648","   2.680","   0.339","   5.528","   1.536"," 37","0"," 35"," 39","   0.675","   4.197","   1.166","  45.000","    0","    0"
"21:46:36:995","217974540961654","   7.036","   1.316"," 1555"," 1200"," 2800"," 1582","   1.292","  10.946","   3.041","   0.471","   6.001","   1.667"," 37","0"," 34"," 39","   0.737","   4.937","   1.371","  45.000","    0","    0"
"21:46:37:999","217976852680744","   8.039","   1.167"," 1654"," 1200"," 2900"," 1685","   1.038","  11.988","   3.330","   0.448","   6.450","   1.792"," 37","0"," 34"," 38","   0.661","   5.600","   1.555","  45.000","    0","    0"
"21:46:39:005","217979172387418","   9.046","   0.931"," 1450"," 1200"," 2500"," 1461","   0.897","  12.890","   3.581","   0.335","   6.788","   1.886"," 37","0"," 34"," 38","   0.654","   6.258","   1.738","  45.000","    0","    0"
"21:46:40:011","217981489848076","  10.052","   1.032"," 1504"," 1200"," 2500"," 1527","   0.983","  13.880","   3.855","   0.379","   7.169","   1.992"," 38","0"," 34"," 38","   0.670","   6.932","   1.926","  45.000","    0","    0"
"21:46:41:013","217983798259080","  11.054","   1.006"," 1494"," 1200"," 2500"," 1502","   0.935","  14.817","   4.116","   0.366","   7.536","   2.093"," 37","0"," 34"," 38","   0.656","   7.590","   2.108","  45.000","    0","    0"
"21:46:42:016","217986108678710","  12.057","   1.822"," 2473"," 1200"," 3700"," 3000","   2.194","  17.017","   4.727","   1.476","   9.016","   2.504"," 39","0"," 34"," 44","   0.706","   8.298","   2.305","  45.000","    0","    0"
"21:46:43:017","217988414429436","  13.057","   3.221"," 2140"," 1200"," 4000"," 2240","   2.758","  19.777","   5.493","   1.970","  10.987","   3.052"," 37","0"," 35"," 45","   0.737","   9.035","   2.510","  45.000","    0","    0"
