"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:50:17:494","251659634650176","   1.000","   1.323"," 1542"," 1200"," 2800"," 1570","   1.199","   1.199","   0.333","   0.465","   0.465","   0.129"," 36","0"," 33"," 37","   0.717","   0.717","   0.199","  45.000","    0","    0"
"01:50:18:504","251661961024952","   2.010","   1.897"," 1888"," 1200"," 3700"," 2069","   1.628","   2.843","   0.790","   0.966","   1.441","   0.400"," 36","0"," 33"," 44","   0.676","   1.399","   0.389","  45.000","    0","    0"
"01:50:19:513","251664287489134","   3.020","   1.006"," 1633"," 1200"," 2500"," 1657","   1.030","   3.883","   1.079","   0.418","   1.863","   0.517"," 36","0"," 33"," 37","   0.681","   2.087","   0.580","  45.000","    0","    0"
"01:50:20:521","251666609453046","   4.028","   1.924"," 2473"," 1200"," 3900"," 2667","   2.470","   6.373","   1.770","   1.610","   3.485","   0.968"," 37","0"," 33"," 43","   0.740","   2.833","   0.787","  45.000","    0","    0"
"01:50:21:528","251668928890988","   5.034","   1.069"," 1477"," 1200"," 2500"," 1480","   0.966","   7.346","   2.041","   0.371","   3.858","   1.072"," 36","0"," 33"," 37","   0.660","   3.497","   0.971","  45.000","    0","    0"
"01:50:22:529","251671235067898","   6.035","   3.235"," 2387"," 1200"," 3700"," 2711","   3.052","  10.401","   2.889","   2.306","   6.166","   1.713"," 39","0"," 33"," 43","   0.712","   4.209","   1.169","  45.000","    0","    0"
"01:50:23:530","251673541912150","   7.037","   4.342"," 2903"," 1200"," 4500"," 3319","   6.193","  16.602","   4.612","   5.334","  11.507","   3.196"," 41","0"," 33"," 52","   0.745","   4.956","   1.377","  45.000","    0","    0"
"01:50:24:538","251675864826368","   8.045","   4.705"," 2642"," 1200"," 4400"," 3104","   5.106","  21.750","   6.042","   3.967","  15.506","   4.307"," 42","0"," 34"," 49","   0.876","   5.839","   1.622","  45.000","    0","    0"
"01:50:25:544","251678182975758","   9.051","   8.059"," 4394"," 2300"," 4700"," 4800","  24.094","  45.993","  12.776","  22.652","  38.297","  10.638"," 50","0"," 35"," 60","   0.872","   6.716","   1.866","  45.000","    0","    0"
"01:50:26:550","251680498723976","  10.056","   3.745"," 2660"," 1200"," 4700"," 2860","   5.149","  51.168","  14.213","   4.079","  42.397","  11.777"," 39","0"," 34"," 61","   0.838","   7.558","   2.099","  45.000","    0","    0"
"01:50:27:550","251682804651536","  11.057","   3.124"," 2098"," 1200"," 3600"," 2285","   2.525","  53.695","  14.915","   1.616","  44.015","  12.226"," 37","0"," 34"," 41","   0.787","   8.345","   2.318","  45.000","    0","    0"
"01:50:28:554","251685116314072","  12.060","   1.888"," 1580"," 1200"," 2700"," 1605","   1.461","  55.161","  15.322","   0.626","  44.643","  12.401"," 37","0"," 34"," 38","   0.739","   9.087","   2.524","  45.000","    0","    0"
"01:50:29:562","251687439014880","  13.068","   1.146"," 1552"," 1200"," 2500"," 1567","   1.149","  56.319","  15.644","   0.433","  45.079","  12.522"," 37","0"," 34"," 37","   0.707","   9.800","   2.722","  45.000","    0","    0"
"01:50:30:572","251689765789474","  14.078","   2.044"," 2554"," 1200"," 3700"," 2792","   2.494","  58.838","  16.344","   1.784","  46.881","  13.023"," 37","0"," 34"," 44","   0.688","  10.495","   2.915","  45.000","    0","    0"
