"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:17:17:228","280274503744694","   1.008","  13.463"," 2276"," 1200"," 4500"," 2342","  12.594","  12.697","   3.527","  10.800","  10.888","   3.024"," 63","0"," 61"," 81","   0.962","   0.970","   0.269","  45.000","    0","    0"
"05:17:18:235","280276824070824","   2.015","   7.217"," 1753"," 1200"," 3700"," 1832","   4.673","  17.403","   4.834","   2.883","  13.791","   3.831"," 63","0"," 61"," 72","   0.946","   1.923","   0.534","  45.000","    0","    0"
"05:17:19:238","280279133990852","   3.018","   6.575"," 1339"," 1200"," 3600"," 1346","   3.129","  20.540","   5.705","   1.281","  15.075","   4.188"," 63","0"," 60"," 64","   0.920","   2.845","   0.790","  45.000","  350","  333"
"05:17:20:239","280281440573814","   4.019","   6.812"," 1408"," 1200"," 2500"," 1417","   3.284","  23.827","   6.619","   1.446","  16.523","   4.590"," 63","0"," 60"," 64","   0.908","   3.754","   1.043","  45.000","    0","    0"
"05:17:21:239","280283745592666","   5.019","   6.460"," 1367"," 1200"," 3600"," 1376","   3.180","  27.009","   7.502","   1.335","  17.858","   4.961"," 63","0"," 61"," 64","   0.919","   4.673","   1.298","  45.000","    0","    0"
"05:17:22:247","280286068146682","   6.027","   5.821"," 1626"," 1200"," 3600"," 1708","   3.922","  30.962","   8.601","   2.150","  20.025","   5.563"," 67","0"," 60"," 68","   0.907","   5.588","   1.552","  45.000","    0","    0"
"05:17:23:257","280288394473312","   7.037","   7.572"," 1541"," 1200"," 3700"," 1553","   3.970","  34.971","   9.714","   2.184","  22.230","   6.175"," 63","0"," 60"," 71","   0.914","   6.510","   1.808","  45.000","  350","  333"
"05:17:24:258","280290699377678","   8.037","   6.264"," 1370"," 1200"," 3600"," 1381","   3.116","  38.088","  10.580","   1.342","  23.572","   6.548"," 63","0"," 60"," 64","   0.912","   7.423","   2.062","  45.000","    0","    0"
"05:17:25:258","280293004745134","   9.038","   7.389"," 1405"," 1200"," 3100"," 1416","   3.436","  41.526","  11.535","   1.536","  25.109","   6.975"," 63","0"," 61"," 64","   0.950","   8.373","   2.326","  45.000","  400","  400"
"05:17:26:260","280295311980028","  10.039","   5.480"," 1368"," 1200"," 2500"," 1375","   2.926","  44.456","  12.349","   1.253","  26.364","   7.323"," 63","0"," 60"," 64","   0.882","   9.256","   2.571","  45.000","    0","    0"
