"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:56:07:783","285643990364194","   1.000","  45.657"," 3811"," 1200"," 4400"," 4796","  54.601","  54.615","  15.171","  52.458","  52.471","  14.575"," 63","0"," 40"," 67","   1.678","   1.679","   0.466","  45.000","    0","    0"
"05:56:08:789","285646308128042","   2.006","  68.060"," 3699"," 3500"," 4100"," 4800","  63.921"," 118.918","  33.033","  61.275"," 114.112","  31.698"," 60","0"," 48"," 66","   2.292","   3.984","   1.107","  45.000","    0","    0"
"05:56:09:797","285648630380526","   3.014","  63.437"," 3193"," 2500"," 3700"," 4800","  44.111"," 163.378","  45.383","  40.310"," 154.742","  42.984"," 54","0"," 49"," 62","   3.079","   7.087","   1.969","  45.000","  700","  700"
"05:56:10:805","285650953069900","   4.022","  59.812"," 2905"," 2300"," 4300"," 4798","  35.516"," 199.182","  55.328","  30.285"," 185.272","  51.465"," 54","0"," 47"," 63","   3.034","  10.146","   2.818","  45.000","    0","    0"
"05:56:11:816","285653280711940","   5.033","  26.142"," 3573"," 1200"," 4300"," 4683","  32.887"," 232.407","  64.558","  30.432"," 216.016","  60.005"," 58","0"," 46"," 67","   1.602","  11.764","   3.268","  45.000","    0","    0"
"05:56:12:823","285655600406416","   6.039","  40.810"," 3358"," 2700"," 3700"," 4800","  39.844"," 272.523","  75.701","  36.679"," 252.945","  70.263"," 59","0"," 50"," 61","   2.385","  14.165","   3.935","  45.000","    0","    0"
"05:56:13:832","285657926666878","   7.049","  50.142"," 3041"," 1200"," 4100"," 4754","  34.118"," 306.971","  85.270","  30.002"," 283.237","  78.677"," 56","0"," 46"," 64","   2.751","  16.943","   4.706","  45.000","  800","  800"
"05:56:14:839","285660246096648","   8.056","  62.219"," 2793"," 2300"," 3100"," 4800","  37.746"," 344.969","  95.825","  27.962"," 311.386","  86.496"," 56","0"," 51"," 57","   3.409","  20.375","   5.660","  45.000"," 1150"," 1133"
"05:56:15:845","285662564706242","   9.062","   4.671"," 2548"," 1200"," 3600"," 3184","   5.615"," 350.620","  97.394","   3.785"," 315.195","  87.554"," 48","0"," 46"," 57","   0.977","  21.358","   5.933","  45.000","    0","    0"
"05:56:16:850","285664878952696","  10.067","   6.872"," 2955"," 1200"," 3700"," 4119","   6.854"," 357.504","  99.307","   5.782"," 321.003","  89.167"," 55","0"," 46"," 57","   0.952","  22.314","   6.198","  45.000","  400","  400"
