"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:06:46:204","469589228679114","   1.002","  11.431"," 1546"," 1200"," 3100"," 1555","   5.286","   5.298","   1.472","   3.180","   3.186","   0.885"," 62","0"," 59"," 64","   1.032","   1.035","   0.287","  45.000","    0","    0"
"04:06:47:217","469591563801864","   2.016","   9.447"," 1624"," 1200"," 4400"," 1666","   5.143","  10.510","   2.919","   3.255","   6.486","   1.802"," 61","0"," 59"," 78","   0.952","   1.999","   0.555","  45.000","    0","    0"
"04:06:48:220","469593874106358","   3.018","   9.176"," 1399"," 1200"," 2700"," 1407","   4.026","  14.547","   4.041","   2.202","   8.693","   2.415"," 61","0"," 59"," 62","   0.921","   2.922","   0.812","  45.000","    0","    0"
"04:06:49:224","469596187071376","   4.022","  11.593"," 1366"," 1200"," 3300"," 1373","   4.468","  19.033","   5.287","   2.571","  11.274","   3.132"," 62","0"," 59"," 63","   0.936","   3.862","   1.073","  45.000","  350","  333"
"04:06:50:224","469598491520772","   5.022","   9.161"," 1729"," 1200"," 4300"," 1867","   5.741","  24.775","   6.882","   3.784","  15.059","   4.183"," 61","0"," 59"," 71","   0.969","   4.831","   1.342","  45.000","    0","    0"
"04:06:51:225","469600796497530","   6.023","  13.497"," 1388"," 1200"," 3600"," 1395","   5.022","  29.799","   8.277","   3.150","  18.210","   5.058"," 61","0"," 59"," 65","   0.963","   5.794","   1.610","  45.000","    0","    0"
"04:06:52:234","469603122675296","   7.032","   8.784"," 1437"," 1200"," 3600"," 1447","   4.045","  33.883","   9.412","   2.199","  20.430","   5.675"," 62","0"," 59"," 63","   0.939","   6.742","   1.873","  45.000","    0","    0"
"04:06:53:235","469605427840284","   8.033","  11.136"," 1505"," 1200"," 3700"," 1513","   4.850","  38.736","  10.760","   2.921","  23.353","   6.487"," 62","0"," 59"," 69","   1.006","   7.749","   2.153","  45.000","    0","    0"
"04:06:54:239","469607741909416","   9.037","  12.933"," 1813"," 1200"," 3800"," 1873","   6.662","  45.427","  12.619","   4.729","  28.102","   7.806"," 61","0"," 59"," 70","   0.977","   8.730","   2.425","  45.000","    0","    0"
"04:06:55:245","469610060523024","  10.044","  14.081"," 1658"," 1200"," 3700"," 1788","   6.985","  52.456","  14.571","   5.109","  33.243","   9.234"," 62","0"," 59"," 69","   1.009","   9.745","   2.707","  45.000","  350","  333"
"04:06:56:251","469612376135986","  11.049","   9.934"," 1445"," 1200"," 3600"," 1455","   4.454","  56.932","  15.815","   2.561","  35.816","   9.949"," 61","0"," 59"," 63","   0.947","  10.697","   2.971","  45.000","    0","    0"
"04:06:57:259","469614699742418","  12.057","   9.354"," 1456"," 1200"," 3600"," 1466","   4.324","  61.293","  17.026","   2.442","  38.279","  10.633"," 61","0"," 59"," 62","   0.922","  11.627","   3.230","  45.000","    0","    0"
"04:06:58:265","469617017369956","  13.063","  12.481"," 1364"," 1200"," 3600"," 1370","   4.674","  65.994","  18.332","   2.868","  41.164","  11.434"," 61","0"," 59"," 63","   0.934","  12.567","   3.491","  45.000","    0","    0"
"04:06:59:266","469619323480652","  14.064","   8.801"," 1369"," 1200"," 2600"," 1377","   3.748","  69.746","  19.374","   1.872","  43.037","  11.955"," 61","0"," 59"," 62","   0.911","  13.479","   3.744","  45.000","    0","    0"
"04:07:00:267","469621630197256","  15.065","   9.685"," 1703"," 1200"," 3700"," 1838","   5.828","  75.581","  20.995","   4.008","  47.050","  13.069"," 61","0"," 59"," 70","   0.934","  14.414","   4.004","  45.000","    0","    0"
"04:07:01:273","469623948497614","  16.071","   9.048"," 1409"," 1200"," 3100"," 1417","   4.160","  79.767","  22.157","   2.331","  49.396","  13.721"," 61","0"," 59"," 62","   0.946","  15.366","   4.268","  45.000","    0","    0"
"04:07:02:274","469626255293316","  17.073","  13.471"," 1509"," 1200"," 3600"," 1523","   4.870","  84.642","  23.512","   2.935","  52.334","  14.537"," 61","0"," 59"," 64","   0.993","  16.360","   4.544","  45.000","    0","    0"
"04:07:03:284","469628580296548","  18.082","   5.743"," 1400"," 1200"," 3100"," 1407","   3.575","  88.250","  24.514","   1.496","  53.844","  14.957"," 61","0"," 58"," 62","   0.885","  17.253","   4.793","  45.000","    0","    0"
"04:07:04:288","469630895627698","  19.087","   8.350"," 1754"," 1200"," 3700"," 1810","   5.555","  93.831","  26.064","   3.648","  57.510","  15.975"," 61","0"," 59"," 71","   0.920","  18.178","   5.049","  45.000","    0","    0"
"04:07:05:289","469633200938944","  20.087","   7.589"," 1399"," 1200"," 3600"," 1409","   3.685","  97.518","  27.088","   1.817","  59.328","  16.480"," 61","0"," 59"," 64","   0.901","  19.079","   5.300","  45.000","    0","    0"
"04:07:06:290","469635508186468","  21.089","   7.457"," 1451"," 1200"," 3600"," 1461","   3.884"," 101.408","  28.169","   1.948","  61.278","  17.022"," 61","0"," 59"," 63","   0.942","  20.023","   5.562","  45.000","    0","    0"
"04:07:07:295","469637822785440","  22.093","   8.947"," 1960"," 1200"," 4300"," 2199","   6.608"," 108.047","  30.013","   4.757","  66.057","  18.349"," 61","0"," 59"," 79","   0.961","  20.989","   5.830","  45.000","    0","    0"
"04:07:08:304","469640147586748","  23.102","  10.931"," 1388"," 1200"," 3600"," 1397","   4.231"," 112.316","  31.199","   2.254","  68.332","  18.981"," 61","0"," 59"," 62","   0.966","  21.964","   6.101","  45.000","  400","    0"
