"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:37:47:019","473876495323498","   1.001","  48.803"," 3798"," 1200"," 4400"," 4759","  56.707","  56.739","  15.761","  54.471","  54.501","  15.139"," 57","0"," 36"," 65","   1.748","   1.749","   0.486","  45.000","    0","    0"
"04:37:48:024","473878809463854","   2.005","  67.831"," 3611"," 2800"," 4100"," 4800","  60.521"," 117.526","  32.646","  57.331"," 112.084","  31.134"," 59","0"," 45"," 63","   2.522","   4.281","   1.189","  45.000","    0","    0"
"04:37:49:031","473881129817128","   3.012","  54.670"," 3588"," 3300"," 3700"," 4800","  50.736"," 168.622","  46.839","  46.740"," 159.156","  44.210"," 55","0"," 44"," 61","   2.850","   7.151","   1.986","  45.000","  750","  733"
"04:37:50:041","473883456479412","   4.022","  62.387"," 2860"," 2300"," 4300"," 4800","  35.112"," 204.079","  56.689","  29.765"," 189.214","  52.559"," 50","0"," 44"," 58","   3.039","  10.220","   2.839","  45.000"," 1000"," 1000"
"04:37:51:048","473885778128880","   5.030","  28.627"," 3691"," 1200"," 4400"," 4734","  39.977"," 244.362","  67.878","  36.970"," 226.467","  62.908"," 56","0"," 45"," 67","   1.766","  11.999","   3.333","  45.000","    0","    0"
"04:37:52:055","473888098354064","   6.037","  36.965"," 3380"," 2500"," 3700"," 4800","  37.406"," 282.031","  78.342","  34.484"," 261.194","  72.554"," 56","0"," 46"," 59","   2.170","  14.184","   3.940","  45.000","    0","    0"
"04:37:53:063","473890420653448","   7.045","  54.465"," 3154"," 1200"," 4100"," 4762","  38.816"," 321.155","  89.210","  34.529"," 295.997","  82.221"," 53","0"," 44"," 60","   2.864","  17.071","   4.742","  45.000","  900","  900"
"04:37:54:070","473892739905398","   8.051","  52.918"," 2822"," 1200"," 3600"," 4767","  33.126"," 354.501","  98.472","  24.920"," 321.082","  89.189"," 48","0"," 46"," 54","   3.039","  20.130","   5.592","  45.000","    0","    0"
"04:37:55:078","473895061857904","   9.059","   3.358"," 2290"," 1200"," 3700"," 2619","   3.104"," 357.629","  99.341","   2.206"," 323.305","  89.807"," 46","0"," 43"," 54","   0.768","  20.904","   5.807","  45.000","    0","    0"
"04:37:56:086","473897385017898","  10.067","  10.650"," 3076"," 1200"," 3600"," 4372","   9.890"," 367.602"," 102.112","   8.517"," 331.893","  92.192"," 54","0"," 43"," 57","   1.170","  22.083","   6.134","  45.000","    0","    0"
"04:37:57:087","473899690377174","  11.068","   8.945"," 3469"," 1200"," 4400"," 4188","  13.767"," 381.377"," 105.938","  12.383"," 344.283","  95.634"," 46","0"," 43"," 64","   1.029","  23.113","   6.420","  45.000","    0","    0"
"04:37:58:090","473902002715236","  12.072","   3.153"," 2348"," 1200"," 3700"," 2837","   3.167"," 384.555"," 106.821","   2.201"," 346.492","  96.248"," 45","0"," 43"," 53","   0.813","  23.929","   6.647","  45.000","    0","    0"
"04:37:59:094","473904316543392","  13.076","  10.591"," 3062"," 1200"," 3600"," 4328","   9.138"," 393.732"," 109.370","   7.795"," 354.320","  98.422"," 50","0"," 42"," 54","   1.140","  25.073","   6.965","  45.000","  550","  533"
"04:38:00:099","473906631040810","  14.080","  55.483"," 2859"," 2300"," 3700"," 4800","  36.226"," 430.123"," 119.479","  29.597"," 384.052"," 106.681"," 57","0"," 46"," 59","   3.098","  28.186","   7.829","  45.000","    0","    0"
"04:38:01:100","473908938182074","  15.082","  23.472"," 3483"," 1200"," 3700"," 4631","  28.913"," 459.076"," 127.521","  26.379"," 410.466"," 114.018"," 48","0"," 45"," 61","   1.799","  29.987","   8.330","  45.000","    0","    0"
"04:38:02:101","473911242744184","  16.082","  46.706"," 2860"," 1200"," 4300"," 4600","  29.124"," 488.207"," 135.613","  25.188"," 435.661"," 121.017"," 53","0"," 45"," 64","   2.420","  32.408","   9.002","  45.000","    0","    0"
"04:38:03:101","473913547836242","  17.082","  73.552"," 2693"," 2300"," 3000"," 4800","  37.774"," 525.998"," 146.111","  27.249"," 462.922"," 128.589"," 57","0"," 50"," 56","   3.559","  35.968","   9.991","  45.000"," 1150"," 1200"
"04:38:04:107","473915866193712","  18.089","  65.705"," 2831"," 1200"," 3100"," 4781","  38.612"," 564.851"," 156.903","  29.133"," 492.237"," 136.732"," 52","0"," 50"," 57","   3.261","  39.249","  10.902","  45.000"," 1000"," 1000"
"04:38:05:116","473918189298520","  19.097","   8.222"," 2164"," 1200"," 3700"," 2352","   5.516"," 570.412"," 158.448","   4.230"," 496.502"," 137.917"," 49","0"," 45"," 57","   0.859","  40.115","  11.143","  45.000","    0","    0"
"04:38:06:124","473920512887936","  20.105","  14.550"," 3231"," 1200"," 4100"," 4131","  17.854"," 588.417"," 163.449","  16.017"," 512.655"," 142.404"," 57","0"," 45"," 66","   1.318","  41.445","  11.512","  45.000","  350","  333"
"04:38:07:134","473922839285650","  21.115","   6.064"," 3001"," 1200"," 4100"," 4077","   6.843"," 595.327"," 165.369","   5.797"," 518.508"," 144.030"," 48","0"," 45"," 63","   0.909","  42.363","  11.767","  45.000","    0","    0"
"04:38:08:144","473925166579110","  22.125","   1.553"," 1708"," 1200"," 3300"," 1824","   1.537"," 596.879"," 165.800","   0.695"," 519.210"," 144.225"," 47","0"," 45"," 53","   0.756","  43.126","  11.980","  45.000","    0","    0"
"04:38:09:151","473927485784014","  23.132","  20.653"," 3318"," 1200"," 3700"," 4574","  21.245"," 618.264"," 171.740","  19.002"," 538.337"," 149.538"," 56","0"," 45"," 61","   1.728","  44.866","  12.463","  45.000","  450","  433"
"04:38:10:159","473929809692308","  24.141","  42.141"," 3138"," 2300"," 3700"," 4800","  36.124"," 654.700"," 181.861","  32.306"," 570.922"," 158.590"," 60","0"," 51"," 64","   2.595","  47.483","  13.190","  45.000","    0","    0"
