"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:33:34:253","481588374356378","   1.001","   1.468"," 1580"," 1200"," 3100"," 1587","   1.267","   1.269","   0.352","   0.512","   0.512","   0.142"," 38","0"," 34"," 38","   0.719","   0.720","   0.200","  45.000","    0","    0"
"05:33:35:262","481590699539322","   2.010","   1.744"," 1941"," 1200"," 3700"," 2193","   1.563","   2.846","   0.790","   0.918","   1.438","   0.399"," 38","0"," 35"," 47","   0.675","   1.401","   0.389","  45.000","    0","    0"
"05:33:36:273","481593027637050","   3.021","   1.322"," 1468"," 1200"," 2800"," 1487","   1.027","   3.884","   1.079","   0.424","   1.867","   0.519"," 37","0"," 34"," 38","   0.666","   2.074","   0.576","  45.000","    0","    0"
"05:33:37:282","481595353950074","   4.030","   1.228"," 1513"," 1200"," 2700"," 1544","   1.028","   4.921","   1.367","   0.426","   2.297","   0.638"," 37","0"," 35"," 38","   0.663","   2.744","   0.762","  45.000","    0","    0"
"05:33:38:292","481597679390802","   5.040","   1.156"," 1503"," 1200"," 2500"," 1524","   1.124","   6.056","   1.682","   0.406","   2.707","   0.752"," 37","0"," 34"," 38","   0.704","   3.454","   0.959","  45.000","    0","    0"
"05:33:39:292","481599984785384","   6.040","   2.040"," 2428"," 1200"," 3900"," 2601","   2.326","   8.383","   2.329","   1.657","   4.365","   1.212"," 37","0"," 34"," 44","   0.669","   4.123","   1.145","  45.000","    0","    0"
"05:33:40:294","481602291955260","   7.042","   1.253"," 1951"," 1200"," 3700"," 2207","   1.273","   9.657","   2.683","   0.681","   5.047","   1.402"," 37","0"," 34"," 43","   0.659","   4.783","   1.329","  45.000","    0","    0"
"05:33:41:304","481604619852474","   8.052","   2.065"," 1737"," 1200"," 3000"," 1804","   1.400","  11.072","   3.076","   0.775","   5.831","   1.620"," 37","0"," 34"," 38","   0.672","   5.462","   1.517","  45.000","    0","    0"
"05:33:42:313","481606944611604","   9.061","   2.912"," 1499"," 1200"," 2800"," 1519","   1.583","  12.669","   3.519","   0.835","   6.673","   1.854"," 37","0"," 34"," 39","   0.660","   6.128","   1.702","  45.000","  400","  400"
"05:33:43:315","481609250091306","  10.063","   4.067"," 2165"," 1200"," 4400"," 2359","   3.829","  16.501","   4.584","   2.967","   9.642","   2.678"," 37","0"," 35"," 53","   0.739","   6.868","   1.908","  45.000","  400","  400"
