"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:17:38:707","495975495452174","   1.003","   1.354"," 1531"," 1200"," 2500"," 1544","   1.187","   1.191","   0.331","   0.459","   0.461","   0.128"," 36","0"," 32"," 36","   0.714","   0.716","   0.199","  45.000","    0","    0"
"07:17:39:719","495977826167406","   2.015","   1.680"," 1932"," 1200"," 3700"," 2185","   1.525","   2.734","   0.759","   0.890","   1.361","   0.378"," 36","0"," 32"," 44","   0.672","   1.396","   0.388","  45.000","    0","    0"
"07:17:40:719","495980132026432","   3.016","   1.607"," 1710"," 1200"," 3600"," 1851","   1.249","   3.984","   1.107","   0.631","   1.993","   0.554"," 36","0"," 32"," 38","   0.670","   2.067","   0.574","  45.000","    0","    0"
"07:17:41:727","495982454368558","   4.024","   1.455"," 1904"," 1200"," 3000"," 2022","   1.387","   5.382","   1.495","   0.671","   2.669","   0.741"," 36","0"," 32"," 36","   0.709","   2.781","   0.773","  45.000","    0","    0"
"07:17:42:730","495984764817778","   5.026","   1.165"," 1637"," 1200"," 2800"," 1702","   1.012","   6.397","   1.777","   0.436","   3.106","   0.863"," 35","0"," 32"," 36","   0.661","   3.445","   0.957","  45.000","    0","    0"
"07:17:43:732","495987072672516","   6.028","   1.340"," 1583"," 1200"," 2500"," 1616","   1.187","   7.586","   2.107","   0.465","   3.571","   0.992"," 36","0"," 32"," 36","   0.706","   4.152","   1.153","  45.000","    0","    0"
"07:17:44:733","495989379181348","   7.029","   1.290"," 1778"," 1200"," 3000"," 1843","   1.139","   8.726","   2.424","   0.538","   4.110","   1.142"," 36","0"," 32"," 38","   0.661","   4.814","   1.337","  45.000","    0","    0"
"07:17:45:740","495991700548406","   8.037","   2.775"," 2800"," 1200"," 3900"," 3153","   3.425","  12.177","   3.382","   2.715","   6.845","   1.901"," 36","0"," 32"," 45","   0.686","   5.505","   1.529","  45.000","    0","    0"
"07:17:46:741","495994005714852","   9.037","   1.039"," 1730"," 1200"," 3200"," 1759","   1.000","  13.177","   3.660","   0.430","   7.275","   2.021"," 36","0"," 32"," 36","   0.657","   6.163","   1.712","  45.000","    0","    0"
"07:17:47:742","495996311457074","  10.038","   1.132"," 1697"," 1200"," 2700"," 1741","   1.018","  14.196","   3.943","   0.454","   7.730","   2.147"," 35","0"," 33"," 36","   0.659","   6.822","   1.895","  45.000","    0","    0"
"07:17:48:752","495998638357576","  11.048","   1.475"," 1565"," 1200"," 2500"," 1579","   1.096","  15.303","   4.251","   0.490","   8.225","   2.285"," 36","0"," 32"," 36","   0.658","   7.487","   2.080","  45.000","    0","    0"
"07:17:49:762","496000966171406","  12.058","   1.034"," 1450"," 1200"," 2500"," 1464","   0.933","  16.245","   4.513","   0.356","   8.585","   2.385"," 36","0"," 32"," 36","   0.655","   8.149","   2.264","  45.000","    0","    0"
"07:17:50:771","496003291270504","  13.067","   1.618"," 2196"," 1200"," 4400"," 2540","   1.833","  18.095","   5.026","   1.194","   9.790","   2.719"," 36","0"," 32"," 51","   0.666","   8.821","   2.450","  45.000","    0","    0"
"07:17:51:772","496005598319726","  14.069","   1.249"," 1791"," 1200"," 2900"," 1822","   1.244","  19.341","   5.372","   0.528","  10.319","   2.866"," 36","0"," 32"," 36","   0.707","   9.529","   2.647","  45.000","    0","    0"
"07:17:52:774","496007906193768","  15.070","   1.924"," 1725"," 1200"," 2800"," 1761","   1.300","  20.643","   5.734","   0.662","  10.982","   3.051"," 36","0"," 32"," 36","   0.718","  10.248","   2.847","  45.000","    0","    0"
"07:17:53:781","496010225972150","  16.077","   1.187"," 1525"," 1200"," 2500"," 1542","   1.129","  21.780","   6.050","   0.410","  11.395","   3.165"," 35","0"," 32"," 36","   0.705","  10.957","   3.044","  45.000","    0","    0"
"07:17:54:788","496012545904848","  17.084","   2.341"," 2151"," 1200"," 3800"," 2454","   2.049","  23.843","   6.623","   1.408","  12.813","   3.559"," 36","0"," 32"," 40","   0.671","  11.632","   3.231","  45.000","    0","    0"
"07:17:55:790","496014856136398","  18.087","   3.220"," 2911"," 1200"," 3700"," 3406","   4.112","  27.966","   7.768","   3.236","  16.057","   4.460"," 36","0"," 32"," 43","   0.749","  12.384","   3.440","  45.000","    0","    0"
"07:17:56:791","496017161986414","  19.088","   1.215"," 1566"," 1200"," 2900"," 1588","   1.020","  28.987","   8.052","   0.430","  16.488","   4.580"," 35","0"," 32"," 36","   0.662","  13.046","   3.624","  45.000","    0","    0"
"07:17:57:792","496019467410926","  20.088","   1.434"," 1744"," 1200"," 3600"," 1788","   1.193","  30.180","   8.383","   0.598","  17.086","   4.746"," 35","0"," 32"," 39","   0.665","  13.712","   3.809","  45.000","    0","    0"
"07:17:58:793","496021774132726","  21.089","   1.356"," 1642"," 1200"," 2900"," 1660","   1.265","  31.446","   8.735","   0.533","  17.619","   4.894"," 36","0"," 32"," 36","   0.709","  14.421","   4.006","  45.000","    0","    0"
"07:17:59:794","496024080265068","  22.090","   1.107"," 1468"," 1200"," 2500"," 1478","   0.947","  32.394","   8.998","   0.381","  18.000","   5.000"," 35","0"," 32"," 36","   0.656","  15.078","   4.188","  45.000","    0","    0"
"07:18:00:800","496026399435148","  23.097","   1.542"," 1959"," 1200"," 3600"," 2189","   1.567","  33.972","   9.437","   0.746","  18.751","   5.209"," 36","0"," 32"," 41","   0.735","  15.817","   4.394","  45.000","    0","    0"
"07:18:01:805","496028713401110","  24.101","   1.145"," 1539"," 1200"," 2800"," 1561","   0.994","  34.971","   9.714","   0.417","  19.171","   5.325"," 36","0"," 32"," 36","   0.658","  16.478","   4.577","  45.000","    0","    0"
"07:18:02:815","496031041273228","  25.111","   1.158"," 1597"," 1200"," 2700"," 1648","   0.982","  35.962","   9.990","   0.420","  19.595","   5.443"," 36","0"," 32"," 36","   0.659","  17.144","   4.762","  45.000","    0","    0"
"07:18:03:825","496033369168214","  26.122","   1.010"," 1559"," 1200"," 2500"," 1586","   0.953","  36.925","  10.257","   0.382","  19.980","   5.550"," 35","0"," 32"," 36","   0.657","  17.807","   4.947","  45.000","    0","    0"
"07:18:04:835","496035696168596","  27.132","   1.189"," 1634"," 1200"," 2800"," 1684","   1.175","  38.112","  10.587","   0.458","  20.443","   5.678"," 35","0"," 32"," 36","   0.704","  18.519","   5.144","  45.000","    0","    0"
"07:18:05:836","496038001799610","  28.132","   2.858"," 2763"," 1200"," 3800"," 3224","   3.439","  41.554","  11.543","   2.726","  23.171","   6.436"," 36","0"," 32"," 43","   0.687","  19.206","   5.335","  45.000","    0","    0"
"07:18:06:841","496040318006586","  29.138","   1.052"," 1570"," 1200"," 2700"," 1600","   0.959","  42.518","  11.810","   0.392","  23.565","   6.546"," 36","0"," 32"," 36","   0.656","  19.865","   5.518","  45.000","    0","    0"
"07:18:07:850","496042642124132","  30.147","   1.180"," 1672"," 1200"," 2800"," 1709","   1.186","  43.714","  12.143","   0.474","  24.044","   6.679"," 36","0"," 32"," 36","   0.704","  20.575","   5.715","  45.000","    0","    0"
"07:18:08:851","496044947149984","  31.147","   1.135"," 1499"," 1200"," 2500"," 1501","   0.939","  44.653","  12.404","   0.367","  24.411","   6.781"," 35","0"," 32"," 36","   0.660","  21.236","   5.899","  45.000","    0","    0"
"07:18:09:851","496047251773238","  32.147","   1.024"," 1519"," 1200"," 2500"," 1526","   0.929","  45.583","  12.662","   0.366","  24.776","   6.882"," 35","0"," 32"," 36","   0.656","  21.892","   6.081","  45.000","    0","    0"
"07:18:10:857","496049569226372","  33.153","   1.374"," 1632"," 1200"," 2500"," 1649","   1.229","  46.819","  13.005","   0.494","  25.273","   7.020"," 35","0"," 32"," 36","   0.706","  22.602","   6.278","  45.000","    0","    0"

"Total Elapsed Time (sec) = 33.153019"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 46.818604"
"Cumulative Package Energy_0 (mWh) = 13.005168"
"Average Package Power_0 (Watt) = 1.412197"

"Cumulative IA Energy_0 (Joules) = 25.272949"
"Cumulative IA Energy_0 (mWh) = 7.020264"
"Average Package IA_0 (Watt) = 0.762312"

"Cumulative DRAM Energy_0 (Joules) = 22.601807"
"Cumulative DRAM Energy_0 (mWh) = 6.278280"
"Average Package DRAM_0 (Watt) = 0.681742"
