"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:38:00:840","255939613525086","   1.001","   1.665"," 1707"," 1200"," 2800"," 1718","   1.414","   1.415","   0.393","   0.623","   0.624","   0.173"," 36","0"," 32"," 37","   0.755","   0.755","   0.210","  45.000","    0","    0"
"06:38:01:853","255941947838976","   2.014","   1.839"," 2024"," 1200"," 3700"," 2199","   1.785","   3.223","   0.895","   1.049","   1.686","   0.468"," 36","0"," 32"," 45","   0.728","   1.493","   0.415","  45.000","    0","    0"
"06:38:02:860","255944268229526","   3.021","   1.145"," 1569"," 1200"," 2500"," 1594","   1.048","   4.278","   1.188","   0.431","   2.120","   0.589"," 36","0"," 32"," 36","   0.687","   2.185","   0.607","  45.000","  350","  333"
"06:38:03:861","255946575814746","   4.022","   1.148"," 1715"," 1200"," 2700"," 1753","   1.084","   5.363","   1.490","   0.467","   2.587","   0.719"," 36","0"," 32"," 36","   0.679","   2.865","   0.796","  45.000","  350","  333"
"06:38:04:871","255948901412730","   5.032","   1.356"," 1680"," 1200"," 3000"," 1720","   1.228","   6.603","   1.834","   0.544","   3.137","   0.871"," 36","0"," 32"," 36","   0.711","   3.583","   0.995","  45.000","    0","    0"
"06:38:05:876","255951218205148","   6.037","   2.369"," 3004"," 1200"," 4800"," 3331","   4.775","  11.405","   3.168","   4.004","   7.163","   1.990"," 36","0"," 32"," 59","   0.700","   4.287","   1.191","  45.000","    0","    0"
"06:38:06:882","255953535740182","   7.043","   1.409"," 1727"," 1200"," 2800"," 1748","   1.279","  12.691","   3.525","   0.564","   7.730","   2.147"," 36","0"," 32"," 36","   0.718","   5.009","   1.391","  45.000","    0","    0"
"06:38:07:890","255955857892398","   8.051","   1.137"," 1531"," 1200"," 2500"," 1545","   0.981","  13.680","   3.800","   0.404","   8.138","   2.261"," 36","0"," 32"," 36","   0.664","   5.678","   1.577","  45.000","    0","    0"
"06:38:08:899","255958183003850","   9.060","   1.376"," 1661"," 1200"," 2800"," 1693","   1.109","  14.799","   4.111","   0.504","   8.646","   2.402"," 36","0"," 32"," 36","   0.673","   6.358","   1.766","  45.000","    0","    0"
"06:38:09:905","255960500282652","  10.066","   1.189"," 1736"," 1200"," 2900"," 1778","   1.098","  15.903","   4.418","   0.512","   9.162","   2.545"," 36","0"," 32"," 36","   0.666","   7.027","   1.952","  45.000","    0","    0"
"06:38:10:915","255962827622464","  11.076","   1.302"," 1606"," 1200"," 3600"," 1634","   1.074","  16.989","   4.719","   0.473","   9.640","   2.678"," 36","0"," 32"," 36","   0.671","   7.704","   2.140","  45.000","    0","    0"
"06:38:11:920","255965143154158","  12.081","   1.345"," 1621"," 1200"," 2700"," 1643","   1.100","  18.094","   5.026","   0.495","  10.137","   2.816"," 36","0"," 32"," 36","   0.675","   8.383","   2.329","  45.000","    0","    0"
"06:38:12:923","255967453884306","  13.084","   1.163"," 1592"," 1200"," 2500"," 1605","   1.010","  19.107","   5.308","   0.429","  10.567","   2.935"," 36","0"," 32"," 36","   0.667","   9.052","   2.514","  45.000","    0","    0"
"06:38:13:928","255969768345088","  14.088","   1.821"," 1639"," 1200"," 2900"," 1661","   1.290","  20.403","   5.668","   0.639","  11.210","   3.114"," 36","0"," 32"," 36","   0.723","   9.779","   2.716","  45.000","    0","    0"
"06:38:14:932","255972083780544","  15.093","   1.436"," 1673"," 1200"," 3000"," 1707","   1.226","  21.635","   6.010","   0.568","  11.780","   3.272"," 36","0"," 32"," 36","   0.698","  10.480","   2.911","  45.000","    0","    0"
"06:38:15:939","255974401804524","  16.099","   1.241"," 1555"," 1200"," 2500"," 1576","   1.084","  22.727","   6.313","   0.439","  12.222","   3.395"," 36","0"," 32"," 36","   0.698","  11.182","   3.106","  45.000","    0","    0"
"06:38:16:947","255976724982496","  17.108","   1.434"," 1757"," 1200"," 3500"," 1902","   1.233","  23.970","   6.658","   0.614","  12.841","   3.567"," 36","0"," 32"," 39","   0.679","  11.867","   3.296","  45.000","    0","    0"
"06:38:17:951","255979037884170","  18.112","   0.945"," 1438"," 1200"," 2400"," 1442","   0.875","  24.849","   6.902","   0.335","  13.177","   3.660"," 36","0"," 31"," 36","   0.652","  12.521","   3.478","  45.000","    0","    0"
"06:38:18:961","255981365624284","  19.122","   1.343"," 1649"," 1200"," 2900"," 1673","   1.199","  26.060","   7.239","   0.499","  13.681","   3.800"," 36","0"," 32"," 36","   0.718","  13.246","   3.680","  45.000","    0","    0"
"06:38:19:966","255983681099446","  20.127","   1.374"," 1712"," 1200"," 2900"," 1762","   1.337","  27.403","   7.612","   0.556","  14.240","   3.956"," 36","0"," 32"," 36","   0.752","  14.002","   3.889","  45.000","    0","    0"
"06:38:20:974","255986003478368","  21.135","   1.466"," 1609"," 1200"," 2600"," 1631","   1.156","  28.568","   7.936","   0.528","  14.773","   4.104"," 36","0"," 32"," 37","   0.680","  14.688","   4.080","  45.000","    0","    0"
"06:38:21:982","255988326702844","  22.143","   1.763"," 1775"," 1200"," 3600"," 1908","   1.452","  30.032","   8.342","   0.726","  15.504","   4.307"," 36","0"," 31"," 38","   0.717","  15.410","   4.281","  45.000","    0","    0"
"06:38:22:989","255990646864780","  23.150","   1.375"," 1867"," 1200"," 3700"," 2031","   1.273","  31.313","   8.698","   0.672","  16.181","   4.495"," 36","0"," 32"," 41","   0.670","  16.085","   4.468","  45.000","    0","    0"
"06:38:23:990","255992951828136","  24.150","   1.797"," 2218"," 1200"," 4200"," 2561","   1.822","  33.136","   9.205","   1.199","  17.381","   4.828"," 36","0"," 32"," 43","   0.671","  16.756","   4.654","  45.000","    0","    0"
"06:38:24:994","255995265948750","  25.155","   1.850"," 1958"," 1200"," 3700"," 2126","   1.704","  34.848","   9.680","   0.949","  18.334","   5.093"," 36","0"," 32"," 42","   0.718","  17.477","   4.855","  45.000","    0","    0"
"06:38:25:999","255997580810362","  26.160","   1.267"," 1666"," 1200"," 2500"," 1697","   1.232","  36.086","  10.024","   0.489","  18.825","   5.229"," 36","0"," 32"," 36","   0.730","  18.211","   5.059","  45.000","    0","    0"
"06:38:27:003","255999893711794","  27.163","   1.488"," 1848"," 1200"," 3600"," 1995","   1.264","  37.355","  10.376","   0.658","  19.486","   5.413"," 36","0"," 32"," 40","   0.672","  18.885","   5.246","  45.000","    0","    0"
