"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:25:37:267","187871843943570","   1.000","   1.510"," 1580"," 1200"," 2600"," 1596","   1.282","   1.282","   0.356","   0.543","   0.543","   0.151"," 41","0"," 37"," 42","   0.731","   0.732","   0.203","  45.000","    0","    0"
"22:25:38:283","187874184154062","   2.016","   2.366"," 1862"," 1200"," 3700"," 2166","   1.733","   3.042","   0.845","   0.987","   1.546","   0.429"," 41","0"," 37"," 50","   0.729","   1.472","   0.409","  45.000","    0","    0"
"22:25:39:290","187876506292896","   3.024","   1.461"," 1637"," 1200"," 2900"," 1695","   1.276","   4.329","   1.202","   0.552","   2.102","   0.584"," 41","0"," 37"," 41","   0.721","   2.198","   0.611","  45.000","    0","    0"
"22:25:40:292","187878814844036","   4.026","   1.325"," 1633"," 1200"," 2600"," 1655","   1.333","   5.664","   1.573","   0.517","   2.620","   0.728"," 40","0"," 37"," 41","   0.754","   2.954","   0.821","  45.000","    0","    0"
"22:25:41:298","187881132766132","   5.032","   2.287"," 2035"," 1200"," 3600"," 2270","   1.789","   7.464","   2.073","   1.082","   3.708","   1.030"," 41","0"," 37"," 46","   0.710","   3.669","   1.019","  45.000","    0","    0"
"22:25:42:300","187883441359528","   6.034","   1.115"," 1615"," 1200"," 3600"," 1657","   1.013","   8.479","   2.355","   0.435","   4.144","   1.151"," 41","0"," 37"," 41","   0.667","   4.337","   1.205","  45.000","    0","    0"
"22:25:43:301","187885746447450","   7.034","   1.739"," 1615"," 1200"," 3000"," 1638","   1.258","   9.738","   2.705","   0.614","   4.758","   1.322"," 40","0"," 36"," 41","   0.708","   5.045","   1.402","  45.000","    0","    0"
"22:25:44:302","187888053475758","   8.036","   1.404"," 1759"," 1200"," 3000"," 1816","   1.306","  11.046","   3.068","   0.604","   5.363","   1.490"," 41","0"," 36"," 41","   0.724","   5.770","   1.603","  45.000","    0","    0"
"22:25:45:312","187890380515624","   9.046","   1.227"," 1595"," 1200"," 2500"," 1614","   1.147","  12.204","   3.390","   0.466","   5.834","   1.621"," 40","0"," 37"," 41","   0.700","   6.477","   1.799","  45.000","    0","    0"
"22:25:46:319","187892699844548","  10.052","   1.290"," 1612"," 1200"," 2700"," 1627","   1.232","  13.445","   3.735","   0.494","   6.331","   1.759"," 40","0"," 37"," 41","   0.727","   7.209","   2.002","  45.000","    0","    0"
"22:25:47:321","187895008615258","  11.054","   0.949"," 1497"," 1200"," 2500"," 1504","   0.909","  14.355","   3.987","   0.350","   6.681","   1.856"," 40","0"," 36"," 41","   0.659","   7.870","   2.186","  45.000","    0","    0"
"22:25:48:323","187897316948818","  12.056","   1.667"," 1800"," 1200"," 3100"," 1838","   1.413","  15.770","   4.381","   0.698","   7.380","   2.050"," 40","0"," 36"," 41","   0.722","   8.593","   2.387","  45.000","    0","    0"
