"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:14:25:607","45321738970012","   1.008","   5.159"," 1536"," 1200"," 3600"," 1542","  13.934","  14.045","   3.901","   3.033","   3.057","   0.849"," 70","0"," 60"," 63","   1.016","   1.025","   0.285","  45.000","    0","    0"
"05:14:26:625","45324083905984","   2.026","   5.225"," 1661"," 1200"," 3600"," 1745","  14.172","  28.469","   7.908","   3.417","   6.535","   1.815"," 72","0"," 60"," 72","   0.959","   2.000","   0.556","  45.000"," 1150"," 1200"
"05:14:27:629","45326398952160","   3.031","   4.966"," 1524"," 1200"," 2500"," 1531","  13.756","  42.290","  11.747","   2.924","   9.473","   2.631"," 73","0"," 60"," 63","   0.982","   2.987","   0.830","  45.000"," 1150"," 1200"
"05:14:28:637","45328719648744","   4.038","   5.002"," 1606"," 1200"," 3600"," 1617","  13.843","  56.233","  15.620","   3.112","  12.607","   3.502"," 69","0"," 60"," 68","   0.944","   3.938","   1.094","  45.000","    0","    0"
"05:14:29:645","45331042179656","   5.046","   5.435"," 1584"," 1200"," 3600"," 1593","  14.355","  70.704","  19.640","   3.203","  15.837","   4.399"," 75","0"," 60"," 64","   1.030","   4.976","   1.382","  45.000"," 1150"," 1200"
"05:14:30:653","45333366203536","   6.055","   4.857"," 1582"," 1200"," 3600"," 1597","  13.746","  84.569","  23.491","   3.019","  18.882","   5.245"," 71","0"," 60"," 64","   0.972","   5.956","   1.654","  45.000"," 1200"," 1200"

"Total Elapsed Time (sec) = 6.054566"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 84.569031"
"Cumulative Package Energy_0 (mWh) = 23.491397"
"Average Package Power_0 (Watt) = 13.967810"

"Cumulative IA Energy_0 (Joules) = 18.881592"
"Cumulative IA Energy_0 (mWh) = 5.244887"
"Average Package IA_0 (Watt) = 3.118570"

"Cumulative DRAM Energy_0 (Joules) = 5.955933"
"Cumulative DRAM Energy_0 (mWh) = 1.654426"
"Average Package DRAM_0 (Watt) = 0.983709"
