"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:48:29:055","50029760420502","   1.001","   5.043"," 1538"," 1200"," 3100"," 1544","  13.413","  13.435","   3.732","   2.856","   2.860","   0.795"," 67","0"," 55"," 59","   0.981","   0.983","   0.273","  45.000"," 1150"," 1200"
"05:48:30:070","50032098412818","   2.016","   6.091"," 1820"," 1200"," 3800"," 1897","  14.595","  28.245","   7.846","   4.020","   6.940","   1.928"," 70","0"," 55"," 68","   1.018","   2.016","   0.560","  45.000"," 1150"," 1133"
"05:48:31:075","50034415623324","   3.021","   5.098"," 1695"," 1200"," 4400"," 1767","  14.303","  42.630","  11.842","   3.473","  10.432","   2.898"," 67","0"," 55"," 71","   0.994","   3.016","   0.838","  45.000"," 1150"," 1133"
"05:48:32:077","50036723309420","   4.023","   4.912"," 1536"," 1200"," 3100"," 1543","  13.380","  56.032","  15.564","   2.821","  13.258","   3.683"," 68","0"," 55"," 59","   0.950","   3.967","   1.102","  45.000"," 1150"," 1200"
"05:48:33:083","50039043265520","   5.030","   4.997"," 1551"," 1200"," 3600"," 1560","  13.389","  69.514","  19.309","   2.852","  16.130","   4.481"," 66","0"," 55"," 59","   0.941","   4.915","   1.365","  45.000","    0","    0"
"05:48:34:088","50041357879786","   6.034","   4.835"," 1479"," 1200"," 3600"," 1489","  13.317","  82.893","  23.026","   2.754","  18.897","   5.249"," 68","0"," 55"," 59","   0.938","   5.857","   1.627","  45.000"," 1150"," 1200"
"05:48:35:097","50043683124940","   7.043","   4.858"," 1566"," 1200"," 3600"," 1577","  13.555","  96.572","  26.826","   2.925","  21.849","   6.069"," 70","0"," 56"," 59","   0.945","   6.811","   1.892","  45.000"," 1150"," 1200"
"05:48:36:103","50046002435280","   8.050","   5.011"," 1638"," 1200"," 3600"," 1647","  13.972"," 110.638","  30.733","   3.148","  25.018","   6.949"," 70","0"," 56"," 63","   1.014","   7.831","   2.175","  45.000"," 1150"," 1200"
"05:48:37:105","50048309487936","   9.051","   4.803"," 1468"," 1200"," 2700"," 1480","  13.247"," 123.902","  34.417","   2.717","  27.738","   7.705"," 66","0"," 56"," 59","   0.944","   8.777","   2.438","  45.000","    0","    0"
"05:48:38:114","50050634881604","  10.060","   5.124"," 1593"," 1200"," 3100"," 1603","  13.805"," 137.835","  38.288","   2.997","  30.764","   8.545"," 69","0"," 56"," 59","   0.982","   9.768","   2.713","  45.000"," 1150"," 1200"
"05:48:39:120","50052954325798","  11.066","   4.810"," 1520"," 1200"," 3600"," 1533","  13.430"," 151.355","  42.043","   2.825","  33.607","   9.335"," 68","0"," 56"," 59","   0.943","  10.717","   2.977","  45.000"," 1150"," 1200"
"05:48:40:124","50055266663528","  12.070","   5.307"," 1776"," 1200"," 4100"," 1845","  13.881"," 165.286","  45.913","   3.507","  37.126","  10.313"," 66","0"," 56"," 68","   0.959","  11.680","   3.244","  45.000","    0","    0"
"05:48:41:126","50057577034056","  13.073","   5.030"," 1505"," 1200"," 3600"," 1516","  13.531"," 178.855","  49.682","   2.894","  40.029","  11.119"," 64","0"," 56"," 59","   0.975","  12.658","   3.516","  45.000"," 1150"," 1200"
