"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:17:04:194","70569923581978","   1.007","   5.403"," 1867"," 1200"," 4300"," 1922","  15.837","  15.941","   4.428","   4.164","   4.192","   1.164"," 72","0"," 63"," 72","   1.095","   1.102","   0.306","  45.000","    0","    0"
"08:17:05:206","70572255181550","   2.019","   5.366"," 1682"," 1200"," 3700"," 1741","  14.678","  30.796","   8.554","   3.643","   7.878","   2.188"," 71","0"," 62"," 76","   0.967","   2.081","   0.578","  45.000"," 1150"," 1133"
"08:17:06:214","70574576758478","   3.026","   5.183"," 1580"," 1200"," 3600"," 1592","  14.274","  45.179","  12.550","   3.147","  11.049","   3.069"," 74","0"," 62"," 67","   1.026","   3.115","   0.865","  45.000"," 1150"," 1200"
"08:17:07:221","70576896982490","   4.033","   5.235"," 1650"," 1200"," 3600"," 1660","  14.400","  59.681","  16.578","   3.329","  14.402","   4.001"," 77","0"," 63"," 69","   0.966","   4.088","   1.136","  45.000"," 1150"," 1200"
"08:17:08:223","70579206215680","   5.036","   5.184"," 1685"," 1200"," 3600"," 1733","  14.023","  73.736","  20.482","   3.442","  17.852","   4.959"," 72","0"," 62"," 74","   0.954","   5.045","   1.401","  45.000","    0","    0"
"08:17:09:232","70581530327104","   6.044","   4.761"," 1497"," 1200"," 3600"," 1505","  13.169","  87.019","  24.172","   2.846","  20.723","   5.756"," 73","0"," 62"," 67","   0.942","   5.995","   1.665","  45.000"," 1150"," 1133"
"08:17:10:240","70583852454348","   7.052","   5.011"," 1658"," 1200"," 3600"," 1669","  14.509"," 101.642","  28.234","   3.345","  24.094","   6.693"," 74","0"," 62"," 68","   0.992","   6.995","   1.943","  45.000","    0","    0"
"08:17:11:241","70586158763898","   8.053","   4.547"," 1550"," 1200"," 3600"," 1559","  13.797"," 115.453","  32.070","   2.903","  27.000","   7.500"," 71","0"," 62"," 66","   0.965","   7.961","   2.211","  45.000","    0","    0"
"08:17:12:249","70588482088896","   9.062","   5.687"," 1657"," 1200"," 4100"," 1707","  13.343"," 128.908","  35.808","   3.423","  30.452","   8.459"," 74","0"," 62"," 73","   0.969","   8.938","   2.483","  45.000"," 1150"," 1200"
"08:17:13:251","70590789088520","  10.063","   5.055"," 1565"," 1200"," 3600"," 1575","  14.297"," 143.224","  39.784","   3.159","  33.615","   9.338"," 74","0"," 62"," 71","   0.989","   9.928","   2.758","  45.000","    0","    0"
