"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:54:55:161","9447974292614","   1.003","   3.064"," 4079"," 1200"," 4600"," 4128","  14.248","  14.284","   3.968","  12.807","  12.839","   3.566"," 58","0"," 47"," 58","   0.769","   0.771","   0.214","  45.000","    0","    0"
"00:54:56:165","9450288074180","   2.007","   3.113"," 4388"," 2200"," 4700"," 4574","  20.965","  35.338","   9.816","  19.626","  32.548","   9.041"," 55","0"," 49"," 74","   0.709","   1.483","   0.412","  45.000","    0","    0"
"00:54:57:172","9452606791678","   3.013","   3.028"," 4056"," 1500"," 4200"," 4079","  14.260","  49.689","  13.803","  12.890","  45.521","  12.645"," 55","0"," 48"," 57","   0.731","   2.219","   0.616","  45.000","    0","    0"
"00:54:58:180","9454929870692","   4.022","   2.961"," 4058"," 1500"," 4100"," 4085","  14.122","  63.928","  17.758","  12.844","  58.471","  16.242"," 56","0"," 48"," 57","   0.679","   2.904","   0.807","  45.000","    0","    0"
"00:54:59:180","9457234449550","   5.022","   3.508"," 4184"," 1200"," 4600"," 4308","  17.227","  81.159","  22.544","  15.953","  74.428","  20.674"," 58","0"," 49"," 74","   0.694","   3.598","   0.999","  45.000","    0","    0"
"00:55:00:180","9459538898114","   6.022","   3.404"," 3858"," 1200"," 4600"," 3990","  13.977","  95.139","  26.428","  12.612","  87.042","  24.178"," 54","0"," 49"," 77","   0.760","   4.358","   1.211","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.022055"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 95.139282"
"Cumulative Package Energy_0 (mWh) = 26.427578"
"Average Package Power_0 (Watt) = 15.798475"

"Cumulative IA Energy_0 (Joules) = 87.042053"
"Cumulative IA Energy_0 (mWh) = 24.178348"
"Average Package IA_0 (Watt) = 14.453879"

"Cumulative DRAM Energy_0 (Joules) = 4.358154"
"Cumulative DRAM Energy_0 (mWh) = 1.210598"
"Average Package DRAM_0 (Watt) = 0.723699"
