#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,02-10-23T23-49-02,micro,api-baseline,62.309206,37.925517,21.228451,13.215383,136.531860,76.422424,47.575378,44.516129032258064
1,02-10-23T23-49-02,micro,api-monitor,62.304700,249.167091,59.892561,17.095388,897.001526,215.613220,61.543396,73.91935483870968
1,02-10-23T23-49-02,micro,frontend-baseline,11.052568,34.754486,8.374888,2.933672,125.116150,30.149597,10.561218,69.27272727272727
1,02-10-23T23-49-02,micro,frontend-monitor,11.073896,37.782728,9.825185,2.950490,136.017822,35.370667,10.621765,71.9090909090909
10,02-10-23T23-49-02,micro,api-baseline,62.287394,24.136251,12.477722,12.120921,86.890503,44.919800,43.635315,36.54838709677419
10,02-10-23T23-49-02,micro,api-monitor,62.316360,21.238488,9.633518,12.131212,76.458557,34.680664,43.672363,38.12903225806452
10,02-10-23T23-49-02,micro,frontend-baseline,11.060992,3.840620,1.784549,2.153693,13.826233,6.424377,7.753296,36.27272727272727
10,02-10-23T23-49-02,micro,frontend-monitor,11.072018,4.053006,2.066176,2.138316,14.590820,7.438232,7.697937,37.27272727272727
11,02-10-23T23-49-02,micro,api-baseline,62.252841,27.763841,18.135376,11.027154,99.949829,65.287354,39.697754,36.79032258064516
11,02-10-23T23-49-02,micro,api-monitor,62.284600,21.371375,9.657610,12.154473,76.936951,34.767395,43.756104,38.08064516129032
11,02-10-23T23-49-02,micro,frontend-baseline,11.063869,3.923289,1.890259,2.140927,14.123840,6.804932,7.707336,36.09090909090909
11,02-10-23T23-49-02,micro,frontend-monitor,11.059514,3.541836,1.619449,2.109375,12.750610,5.830017,7.593750,37.0
12,02-10-23T23-49-02,micro,api-baseline,62.329241,23.153449,11.818068,12.036387,83.352417,42.545044,43.330994,37.37096774193548
12,02-10-23T23-49-02,micro,api-monitor,62.277966,21.990289,10.504116,12.103560,79.165039,37.814819,43.572815,40.25806451612903
12,02-10-23T23-49-02,micro,frontend-baseline,11.059303,5.429467,3.310208,2.164442,19.546082,11.916748,7.791992,39.0
12,02-10-23T23-49-02,micro,frontend-monitor,11.067515,9.439901,7.078501,2.234650,33.983643,25.482605,8.044739,39.09090909090909
13,02-10-23T23-49-02,micro,api-baseline,62.272095,38.580967,26.385023,12.218492,138.891479,94.986084,43.986572,37.483870967741936
13,02-10-23T23-49-02,micro,api-monitor,62.272806,21.209819,9.815674,12.040287,76.355347,35.336426,43.345032,38.903225806451616
13,02-10-23T23-49-02,micro,frontend-baseline,11.055040,3.669230,1.653714,2.148692,13.209229,5.953369,7.735291,36.09090909090909
13,02-10-23T23-49-02,micro,frontend-monitor,11.053877,3.658481,1.599698,2.153252,13.170532,5.758911,7.751709,37.09090909090909
14,02-10-23T23-49-02,micro,api-baseline,62.337586,22.939945,11.418372,12.085063,82.583801,41.106140,43.506226,36.225806451612904
14,02-10-23T23-49-02,micro,api-monitor,62.320743,25.085992,12.976312,12.180362,90.309570,46.714722,43.849304,38.403225806451616
14,02-10-23T23-49-02,micro,frontend-baseline,11.035672,3.661346,1.675144,2.122701,13.180847,6.030518,7.641724,35.90909090909091
14,02-10-23T23-49-02,micro,frontend-monitor,11.055714,3.747016,1.682281,2.155050,13.489258,6.056213,7.758179,37.36363636363637
15,02-10-23T23-49-02,micro,api-baseline,62.349977,23.335520,11.883087,12.069041,84.007874,42.779114,43.448547,36.193548387096776
15,02-10-23T23-49-02,micro,api-monitor,62.244496,22.621002,11.000197,12.108392,81.435608,39.600708,43.590210,38.58064516129032
15,02-10-23T23-49-02,micro,frontend-baseline,11.039363,20.836487,18.250953,2.445594,75.011353,65.703430,8.804138,37.18181818181818
15,02-10-23T23-49-02,micro,frontend-monitor,11.059158,4.032796,2.000071,2.137299,14.518066,7.200256,7.694275,38.18181818181818
16,02-10-23T23-49-02,micro,api-baseline,62.260230,23.122898,11.610260,11.982507,83.242432,41.796936,43.137024,36.17741935483871
16,02-10-23T23-49-02,micro,api-monitor,62.299060,21.121165,9.563616,12.113003,76.036194,34.429016,43.606812,39.20967741935484
16,02-10-23T23-49-02,micro,frontend-baseline,11.048522,4.129181,2.056868,2.146539,14.865051,7.404724,7.727539,35.90909090909091
16,02-10-23T23-49-02,micro,frontend-monitor,11.060246,5.775146,3.567149,2.190653,20.790527,12.841736,7.886353,38.0
17,02-10-23T23-49-02,micro,api-baseline,62.309650,23.291999,11.758796,12.061310,83.851196,42.331665,43.420715,36.274193548387096
17,02-10-23T23-49-02,micro,api-monitor,62.271616,21.902415,10.225966,12.080926,78.848694,36.813477,43.491333,38.38709677419355
17,02-10-23T23-49-02,micro,frontend-baseline,11.037429,3.860508,1.814694,2.151540,13.897827,6.532898,7.745544,35.81818181818182
17,02-10-23T23-49-02,micro,frontend-monitor,11.066153,3.530070,1.618517,2.113834,12.708252,5.826660,7.609802,37.09090909090909
18,02-10-23T23-49-02,micro,api-baseline,62.316304,26.300574,14.651201,12.125193,94.682068,52.744324,43.650696,35.95161290322581
18,02-10-23T23-49-02,micro,api-monitor,62.296812,20.997264,9.454007,12.098558,75.590149,34.034424,43.554810,37.903225806451616
18,02-10-23T23-49-02,micro,frontend-baseline,11.069777,3.758375,1.693556,2.160136,13.530151,6.096802,7.776489,35.72727272727273
18,02-10-23T23-49-02,micro,frontend-monitor,11.053879,4.208340,2.139316,2.160950,15.150024,7.701538,7.779419,37.72727272727273
19,02-10-23T23-49-02,micro,api-baseline,62.291286,22.406684,10.978919,12.068024,80.664062,39.524109,43.444885,36.04838709677419
19,02-10-23T23-49-02,micro,api-monitor,62.318654,22.969801,11.324955,12.091878,82.691284,40.769836,43.530762,37.88709677419355
19,02-10-23T23-49-02,micro,frontend-baseline,11.054996,3.791216,1.735942,2.154829,13.648376,6.249390,7.757385,35.81818181818182
19,02-10-23T23-49-02,micro,frontend-monitor,11.053803,3.732605,1.740146,2.119666,13.437378,6.264526,7.630798,37.18181818181818
2,02-10-23T23-49-02,micro,api-baseline,62.346438,209.838782,54.483422,16.331363,755.419617,196.140320,58.792908,69.62903225806451
2,02-10-23T23-49-02,micro,api-monitor,62.354776,158.785960,42.628496,16.493734,571.629456,153.462585,59.377441,68.2258064516129
2,02-10-23T23-49-02,micro,frontend-baseline,11.074463,35.704295,8.309750,2.846018,128.535461,29.915100,10.245667,69.45454545454545
2,02-10-23T23-49-02,micro,frontend-monitor,11.056988,27.480282,10.665453,2.927212,98.929016,38.395630,10.537964,67.54545454545455
20,02-10-23T23-49-02,micro,api-baseline,62.354158,21.490309,10.119188,12.068278,77.365112,36.429077,43.445801,35.983870967741936
20,02-10-23T23-49-02,micro,api-monitor,62.283400,21.965671,10.415259,12.098829,79.076416,37.494934,43.555786,38.11290322580645
20,02-10-23T23-49-02,micro,frontend-baseline,11.074967,4.279870,2.141622,2.193637,15.407532,7.709839,7.897095,35.27272727272727
20,02-10-23T23-49-02,micro,frontend-monitor,11.058700,4.781002,2.718641,2.144097,17.211609,9.787109,7.718750,38.27272727272727
21,02-10-23T23-49-02,micro,api-baseline,62.271601,21.220347,10.049862,11.953142,76.393250,36.179504,43.031311,37.354838709677416
21,02-10-23T23-49-02,micro,api-monitor,62.187089,150.713416,130.148400,11.616872,542.568298,468.534241,41.820740,48.354838709677416
21,02-10-23T23-49-02,micro,frontend-baseline,11.043259,3.884074,1.829308,2.147708,13.982666,6.585510,7.731750,37.0
21,02-10-23T23-49-02,micro,frontend-monitor,11.048342,11.029392,8.363715,2.150269,39.705811,30.109375,7.740967,39.90909090909091
22,02-10-23T23-49-02,micro,api-baseline,62.304831,22.366045,10.971358,12.024434,80.517761,39.496887,43.287964,37.16129032258065
22,02-10-23T23-49-02,micro,api-monitor,62.314232,22.926178,11.061995,12.084774,82.534241,39.823181,43.505188,38.53225806451613
22,02-10-23T23-49-02,micro,frontend-baseline,11.061901,3.904555,1.802317,2.189263,14.056396,6.488342,7.881348,35.90909090909091
22,02-10-23T23-49-02,micro,frontend-monitor,11.074111,3.651106,1.633165,2.146200,13.143982,5.879395,7.726318,37.72727272727273
23,02-10-23T23-49-02,micro,api-baseline,62.264982,21.648780,10.460731,11.995799,77.935608,37.658630,43.184875,36.193548387096776
23,02-10-23T23-49-02,micro,api-monitor,62.322606,23.966793,12.290649,12.130568,86.280457,44.246338,43.670044,38.645161290322584
23,02-10-23T23-49-02,micro,frontend-baseline,11.049891,4.822540,2.625580,2.147556,17.361145,9.452087,7.731201,36.36363636363637
23,02-10-23T23-49-02,micro,frontend-monitor,11.060122,3.509742,1.619110,2.097032,12.635071,5.828796,7.549316,36.90909090909091
24,02-10-23T23-49-02,micro,api-baseline,62.324018,23.252547,11.661784,12.034471,83.709167,41.982422,43.324097,36.225806451612904
24,02-10-23T23-49-02,micro,api-monitor,62.309021,20.908847,9.456974,12.072211,75.271851,34.045105,43.459961,37.87096774193548
24,02-10-23T23-49-02,micro,frontend-baseline,11.052536,3.706173,1.690250,2.150930,13.342224,6.084900,7.743347,35.63636363636363
24,02-10-23T23-49-02,micro,frontend-monitor,11.062271,5.367143,3.157298,2.167918,19.321716,11.366272,7.804504,38.63636363636363
25,02-10-23T23-49-02,micro,api-baseline,62.286679,22.142622,10.558234,12.138774,79.713440,38.009644,43.699585,36.935483870967744
25,02-10-23T23-49-02,micro,api-monitor,62.287862,21.230062,9.622684,12.121446,76.428223,34.641663,43.637207,37.854838709677416
25,02-10-23T23-49-02,micro,frontend-baseline,11.063788,3.784315,1.700541,2.169359,13.623535,6.121948,7.809692,36.0
25,02-10-23T23-49-02,micro,frontend-monitor,11.062929,3.716753,1.674567,2.152947,13.380310,6.028442,7.750610,37.09090909090909
26,02-10-23T23-49-02,micro,api-baseline,62.328519,21.639438,10.545570,11.945580,77.901978,37.964050,43.004089,36.0
26,02-10-23T23-49-02,micro,api-monitor,62.255783,21.741672,9.875454,12.195062,78.270020,35.551636,43.902222,39.12903225806452
26,02-10-23T23-49-02,micro,frontend-baseline,11.086637,3.897739,1.797011,2.178514,14.031860,6.469238,7.842651,35.72727272727273
26,02-10-23T23-49-02,micro,frontend-monitor,11.064422,5.122274,3.061405,2.174683,18.440186,11.021057,7.828857,37.0
27,02-10-23T23-49-02,micro,api-baseline,62.355940,22.691583,11.304321,12.076874,81.689697,40.695557,43.476746,36.354838709677416
27,02-10-23T23-49-02,micro,api-monitor,62.322226,22.497932,10.820652,12.135095,80.992554,38.954346,43.686340,38.17741935483871
27,02-10-23T23-49-02,micro,frontend-baseline,11.066842,3.599972,1.668888,2.119191,12.959900,6.007996,7.629089,35.63636363636363
27,02-10-23T23-49-02,micro,frontend-monitor,11.048837,6.088342,3.587358,2.144911,21.918030,12.914490,7.721680,37.81818181818182
28,02-10-23T23-49-02,micro,api-baseline,62.286088,21.245999,10.125173,11.977200,76.485596,36.450623,43.117920,35.95161290322581
28,02-10-23T23-49-02,micro,api-monitor,62.349211,21.988407,10.379520,12.131517,79.158264,37.366272,43.673462,37.935483870967744
28,02-10-23T23-49-02,micro,frontend-baseline,11.065054,4.454905,2.320709,2.187873,16.037659,8.354553,7.876343,35.45454545454545
28,02-10-23T23-49-02,micro,frontend-monitor,11.073164,3.735843,1.742215,2.137078,13.449036,6.271973,7.693481,36.36363636363637
29,02-10-23T23-49-02,micro,api-baseline,62.340213,22.377913,11.015947,12.051002,80.560486,39.657410,43.383606,35.983870967741936
29,02-10-23T23-49-02,micro,api-monitor,62.303820,23.907064,12.247145,12.148217,86.065430,44.089722,43.733582,37.306451612903224
29,02-10-23T23-49-02,micro,frontend-baseline,11.057500,3.561910,1.642270,2.106544,12.822876,5.912170,7.583557,35.27272727272727
29,02-10-23T23-49-02,micro,frontend-monitor,11.058417,4.915263,2.786713,2.182566,17.694946,10.032166,7.857239,37.27272727272727
3,02-10-23T23-49-02,micro,api-baseline,62.360421,199.126350,49.142897,16.123623,716.854858,176.914429,58.045044,69.0
3,02-10-23T23-49-02,micro,api-monitor,62.149049,23.310547,10.691291,12.169545,83.917969,38.488647,43.810364,48.983870967741936
3,02-10-23T23-49-02,micro,frontend-baseline,11.048798,54.541914,20.749088,3.308987,196.350891,74.696716,11.912354,71.54545454545455
