"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:05:54:901","263604158374504","   1.001","   6.384"," 1621"," 1200"," 3600"," 1640","   4.798","   4.801","   1.334","   2.090","   2.092","   0.581"," 66","0"," 64"," 69","   1.005","   1.006","   0.279","  45.000","    0","    0"
"04:05:55:918","263606501019240","   2.018","   6.239"," 1863"," 1200"," 4400"," 1903","   5.017","   9.903","   2.751","   3.443","   5.593","   1.554"," 66","0"," 63"," 82","   0.873","   1.894","   0.526","  45.000","    0","    0"
"04:05:56:925","263608822499496","   3.025","   4.876"," 1563"," 1200"," 3300"," 1585","   4.403","  14.339","   3.983","   1.586","   7.190","   1.997"," 66","0"," 64"," 68","   0.966","   2.867","   0.796","  45.000","    0","    0"
"04:05:57:935","263611149101796","   4.035","   4.870"," 1530"," 1200"," 2900"," 1543","   3.942","  18.320","   5.089","   1.486","   8.691","   2.414"," 67","0"," 63"," 67","   0.977","   3.854","   1.070","  45.000","  450","  433"
"04:05:58:943","263613470826914","   5.043","   7.244"," 1409"," 1200"," 3100"," 1421","   3.624","  21.971","   6.103","   1.614","  10.317","   2.866"," 65","0"," 63"," 67","   0.924","   4.785","   1.329","  45.000","    0","    0"
"04:05:59:943","263615775970920","   6.043","   4.120"," 1482"," 1200"," 3300"," 1493","   3.662","  25.635","   7.121","   1.270","  11.588","   3.219"," 66","0"," 63"," 66","   0.938","   5.723","   1.590","  45.000","    0","    0"
"04:06:00:949","263618092509580","   7.049","   4.372"," 1740"," 1200"," 3600"," 1784","   4.545","  30.205","   8.390","   1.955","  13.553","   3.765"," 66","0"," 63"," 73","   0.957","   6.685","   1.857","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.048584"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 30.204773"
"Cumulative Package Energy_0 (mWh) = 8.390215"
"Average Package Power_0 (Watt) = 4.285225"

"Cumulative IA Energy_0 (Joules) = 13.553223"
"Cumulative IA Energy_0 (mWh) = 3.764784"
"Average Package IA_0 (Watt) = 1.922829"

"Cumulative DRAM Energy_0 (Joules) = 6.684875"
"Cumulative DRAM Energy_0 (mWh) = 1.856910"
"Average Package DRAM_0 (Watt) = 0.948400"
