"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:12:00:068","239562650292258","   1.008","   1.526"," 1702"," 1200"," 2900"," 1744","   1.507","   1.519","   0.422","   0.711","   0.717","   0.199"," 57","0"," 53"," 58","   0.733","   0.739","   0.205","  45.000","  350","  333"
"01:12:01:080","239564981940026","   2.020","   1.745"," 2008"," 1200"," 3600"," 2219","   1.839","   3.381","   0.939","   1.076","   1.807","   0.502"," 58","0"," 54"," 67","   0.686","   1.433","   0.398","  45.000","  350","  333"
"01:12:02:086","239567300375914","   3.027","   1.596"," 1865"," 1200"," 3600"," 2020","   1.542","   4.933","   1.370","   0.815","   2.626","   0.730"," 58","0"," 54"," 60","   0.679","   2.116","   0.588","  45.000","  350","  333"
"01:12:03:093","239569620482896","   4.034","   2.532"," 2492"," 1200"," 3900"," 2981","   3.132","   8.086","   2.246","   2.197","   4.839","   1.344"," 58","0"," 54"," 68","   0.765","   2.887","   0.802","  45.000","    0","    0"
"01:12:04:095","239571928189420","   5.035","   1.437"," 1726"," 1200"," 2700"," 1766","   1.324","   9.413","   2.615","   0.625","   5.464","   1.518"," 57","0"," 53"," 58","   0.676","   3.564","   0.990","  45.000","    0","    0"
"01:12:05:096","239574235609408","   6.037","   1.225"," 1511"," 1200"," 2500"," 1529","   1.186","  10.600","   2.944","   0.498","   5.963","   1.656"," 56","0"," 53"," 57","   0.668","   4.233","   1.176","  45.000","    0","    0"
"01:12:06:099","239576546587036","   7.040","   1.470"," 1665"," 1200"," 2700"," 1687","   1.298","  11.903","   3.306","   0.599","   6.563","   1.823"," 56","0"," 53"," 58","   0.673","   4.909","   1.364","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.039685"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 11.902527"
"Cumulative Package Energy_0 (mWh) = 3.306257"
"Average Package Power_0 (Watt) = 1.690776"

"Cumulative IA Energy_0 (Joules) = 6.563477"
"Cumulative IA Energy_0 (mWh) = 1.823188"
"Average Package IA_0 (Watt) = 0.932354"

"Cumulative DRAM Energy_0 (Joules) = 4.908630"
"Cumulative DRAM Energy_0 (mWh) = 1.363508"
"Average Package DRAM_0 (Watt) = 0.697280"
