"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:38:18:724","243199826860554","   1.000","  10.455"," 2253"," 1200"," 4400"," 2402","   8.001","   8.005","   2.224","   6.555","   6.558","   1.822"," 64","0"," 62"," 80","   0.766","   0.766","   0.213","  45.000","    0","    0"
"01:38:19:730","243202145245588","   2.007","   9.528"," 1944"," 1200"," 4300"," 1998","   5.457","  13.495","   3.749","   4.228","  10.812","   3.003"," 69","0"," 62"," 78","   0.600","   1.370","   0.381","  45.000","    0","    0"
"01:38:20:733","243204456584272","   3.010","   9.443"," 2060"," 1200"," 4400"," 2144","   7.174","  20.692","   5.748","   5.859","  16.690","   4.636"," 63","0"," 61"," 79","   0.661","   2.034","   0.565","  45.000","    0","    0"
"01:38:21:734","243206763431626","   4.011","  10.524"," 2215"," 1200"," 4400"," 2353","   7.282","  27.983","   7.773","   5.989","  22.686","   6.302"," 64","0"," 61"," 75","   0.643","   2.678","   0.744","  45.000","    0","    0"
"01:38:22:738","243209075441376","   5.015","   9.498"," 1714"," 1200"," 3600"," 1730","   4.115","  32.113","   8.920","   2.874","  25.571","   7.103"," 64","0"," 61"," 67","   0.586","   3.266","   0.907","  45.000","    0","    0"
"01:38:23:746","243211398235372","   6.023","   7.365"," 1411"," 1200"," 3600"," 1419","   3.173","  35.312","   9.809","   1.948","  27.534","   7.648"," 64","0"," 60"," 65","   0.580","   3.851","   1.070","  45.000","    0","    0"
"01:38:24:749","243213709398362","   7.026","   4.481"," 1494"," 1200"," 2500"," 1505","   2.363","  37.682","  10.467","   1.393","  28.932","   8.037"," 62","0"," 60"," 64","   0.618","   4.471","   1.242","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.025924"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 37.681885"
"Cumulative Package Energy_0 (mWh) = 10.467190"
"Average Package Power_0 (Watt) = 5.363264"

"Cumulative IA Energy_0 (Joules) = 28.931946"
"Cumulative IA Energy_0 (mWh) = 8.036652"
"Average Package IA_0 (Watt) = 4.117885"

"Cumulative DRAM Energy_0 (Joules) = 4.470825"
"Cumulative DRAM Energy_0 (mWh) = 1.241896"
"Average Package DRAM_0 (Watt) = 0.636333"
