"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:54:10:433","245392539860780","   1.006","   7.221"," 3394"," 1200"," 4100"," 3502","  14.455","  14.533","   4.037","  13.135","  13.206","   3.668"," 52","0"," 48"," 71","   0.802","   0.806","   0.224","  45.000","    0","    0"
"01:54:11:440","245394859939284","   2.013","  17.549"," 2089"," 1200"," 4400"," 2188","  12.421","  27.040","   7.511","   9.865","  23.139","   6.428"," 52","0"," 48"," 76","   0.967","   1.780","   0.494","  45.000","    0","    0"
"01:54:12:441","245397165418112","   3.014","  20.658"," 1986"," 1200"," 4200"," 2143","   9.698","  36.744","  10.207","   8.082","  31.227","   8.674"," 52","0"," 49"," 60","   1.033","   2.814","   0.782","  45.000","    0","    0"
"01:54:13:442","245399470318736","   4.015","  19.218"," 1993"," 1200"," 3700"," 2111","   9.922","  46.670","  12.964","   7.662","  38.892","  10.803"," 55","0"," 49"," 59","   1.191","   4.005","   1.113","  45.000","    0","    0"
"01:54:14:442","245401774977252","   5.015","   9.051"," 1816"," 1200"," 4300"," 1953","   5.228","  51.900","  14.417","   3.576","  42.469","  11.797"," 52","0"," 49"," 62","   0.916","   4.921","   1.367","  45.000","    0","    0"
"01:54:15:446","245404087284004","   6.019","   2.190"," 1560"," 1200"," 2500"," 1575","   1.894","  53.801","  14.945","   0.748","  43.219","  12.005"," 50","0"," 47"," 52","   0.837","   5.761","   1.600","  45.000","    0","    0"
"01:54:16:454","245406409323750","   7.027","   1.278"," 1541"," 1200"," 2500"," 1550","   1.567","  55.380","  15.383","   0.475","  43.698","  12.138"," 51","0"," 47"," 51","   0.848","   6.616","   1.838","  45.000","  350","  333"

"Total Elapsed Time (sec) = 7.026877"
"Measured RDTSC Frequency (GHz) = 2.303"

"Cumulative Package Energy_0 (Joules) = 55.380066"
"Cumulative Package Energy_0 (mWh) = 15.383352"
"Average Package Power_0 (Watt) = 7.881178"

"Cumulative IA Energy_0 (Joules) = 43.697754"
"Cumulative IA Energy_0 (mWh) = 12.138265"
"Average Package IA_0 (Watt) = 6.218660"

"Cumulative DRAM Energy_0 (Joules) = 6.616028"
"Cumulative DRAM Energy_0 (mWh) = 1.837786"
"Average Package DRAM_0 (Watt) = 0.941532"
