"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:59:24:907","246117071589522","   1.005","   3.582"," 4007"," 1500"," 4400"," 4097","  18.532","  18.623","   5.173","  16.692","  16.774","   4.660"," 75","0"," 68"," 78","   0.898","   0.903","   0.251","  45.000","    0","    0"
"01:59:25:919","246119402356014","   2.017","   9.726"," 3963"," 2800"," 4600"," 4172","  29.025","  47.985","  13.329","  27.343","  44.434","  12.343"," 83","0"," 68","100","   0.814","   1.726","   0.479","  45.000","    0","    0"
"01:59:26:926","246121723066282","   3.024","   8.213"," 4272"," 3700"," 4500"," 4800","  37.916","  86.176","  23.938","  36.408","  81.106","  22.529"," 83","0"," 71","100","   0.672","   2.403","   0.667","  45.000","    0","    0"
"01:59:27:932","246124041880800","   4.030","   5.177"," 2104","  700"," 4500"," 2314","   7.410","  93.634","  26.009","   5.160","  86.299","  23.972"," 71","0"," 65"," 90","   0.862","   3.270","   0.908","  45.000","    0","    0"
"01:59:28:941","246126366305200","   5.039","   3.099"," 1672"," 1200"," 4500"," 1702","   3.444","  97.109","  26.975","   1.860","  88.175","  24.493"," 68","0"," 65"," 74","   0.897","   4.174","   1.160","  45.000","    0","    0"
"01:59:29:946","246128681899200","   6.044","   7.489"," 1387"," 1200"," 2900"," 1402","   2.814","  99.937","  27.760","   1.507","  89.690","  24.914"," 68","0"," 65"," 69","   0.882","   5.061","   1.406","  45.000","    0","    0"
"01:59:30:956","246131007500832","   7.054","   6.080"," 1901"," 1200"," 4300"," 2081","   4.779"," 104.761","  29.100","   3.357","  93.078","  25.855"," 67","0"," 65"," 76","   0.902","   5.971","   1.659","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.053557"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 104.760681"
"Cumulative Package Energy_0 (mWh) = 29.100189"
"Average Package Power_0 (Watt) = 14.852178"

"Cumulative IA Energy_0 (Joules) = 93.078369"
"Cumulative IA Energy_0 (mWh) = 25.855103"
"Average Package IA_0 (Watt) = 13.195948"

"Cumulative DRAM Energy_0 (Joules) = 5.970825"
"Cumulative DRAM Energy_0 (mWh) = 1.658563"
"Average Package DRAM_0 (Watt) = 0.846498"
