"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:31:02:610","250489236796036","   1.001","  26.633"," 3919"," 3500"," 4300"," 4800","  55.589","  55.642","  15.456","  53.314","  53.365","  14.824","100","0"," 71","100","   1.232","   1.233","   0.342","  45.000","    0","    0"
"02:31:03:615","250491550877750","   2.005","  14.345"," 4054"," 1700"," 4500"," 4599","  41.857","  97.682","  27.134","  40.029","  93.570","  25.992"," 75","0"," 69","100","   0.855","   2.091","   0.581","  45.000","    0","    0"
"02:31:04:616","250493858102860","   3.007","  10.750"," 3340"," 1200"," 4500"," 3560","  24.968"," 122.686","  34.079","  22.097"," 115.698","  32.138"," 72","0"," 67"," 99","   0.925","   3.018","   0.838","  45.000","    0","    0"
"02:31:05:617","250496162640812","   4.007","  11.573"," 3351"," 1200"," 4300"," 3611","  20.219"," 142.909","  39.697","  18.420"," 134.122","  37.256"," 82","0"," 67"," 89","   0.893","   3.912","   1.087","  45.000","    0","    0"
"02:31:06:625","250498486594898","   5.016","  10.241"," 2809"," 1200"," 4400"," 3037","  13.653"," 156.680","  43.522","  12.064"," 146.290","  40.636"," 70","0"," 66"," 85","   0.858","   4.777","   1.327","  45.000","    0","    0"
"02:31:07:629","250500800114780","   6.020","   5.353"," 1420"," 1200"," 2500"," 1428","   2.826"," 159.518","  44.311","   1.479"," 147.775","  41.049"," 68","0"," 65"," 70","   0.788","   5.569","   1.547","  45.000","    0","    0"
"02:31:08:638","250503123974670","   7.029","   9.267"," 1685"," 1200"," 3600"," 1698","   4.493"," 164.050","  45.569","   3.112"," 150.915","  41.921"," 67","0"," 64"," 73","   0.855","   6.431","   1.786","  45.000","    0","    0"
"02:31:09:643","250505439165164","   8.033","  29.005"," 3603"," 1200"," 4300"," 4441","  37.970"," 202.204","  56.168","  36.272"," 187.363","  52.045"," 83","0"," 65"," 89","   1.231","   7.669","   2.130","  45.000","    0","    0"
"02:31:10:651","250507762343154","   9.042","  30.870"," 3477"," 1200"," 4400"," 4188","  35.864"," 238.366","  66.213","  34.101"," 221.748","  61.597"," 73","0"," 68"," 91","   1.155","   8.834","   2.454","  45.000","    0","    0"
"02:31:11:654","250510071764452","  10.044","  20.963"," 3412"," 1200"," 4300"," 3855","  25.141"," 263.567","  73.213","  23.735"," 245.539","  68.205"," 78","0"," 68"," 90","   0.895","   9.731","   2.703","  45.000","    0","    0"
"02:31:12:657","250512383981642","  11.048","  16.298"," 3984"," 1200"," 4600"," 4440","  41.320"," 305.034","  84.732","  39.889"," 285.570","  79.325"," 94","0"," 68","100","   0.817","  10.551","   2.931","  45.000","    0","    0"
"02:31:13:669","250514714067080","  12.059","  14.136"," 3915","  700"," 4300"," 4559","  36.582"," 342.030","  95.008","  35.217"," 321.186","  89.218"," 70","1"," 68","100","   0.859","  11.420","   3.172","  45.000","    0","    0"

"Total Elapsed Time (sec) = 12.059024"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 342.029724"
"Cumulative Package Energy_0 (mWh) = 95.008257"
"Average Package Power_0 (Watt) = 28.362970"

"Cumulative IA Energy_0 (Joules) = 321.185730"
"Cumulative IA Energy_0 (mWh) = 89.218258"
"Average Package IA_0 (Watt) = 26.634472"

"Cumulative DRAM Energy_0 (Joules) = 11.419739"
"Cumulative DRAM Energy_0 (mWh) = 3.172150"
"Average Package DRAM_0 (Watt) = 0.946987"
