"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:02:40:848","254862758269518","   1.007","   1.653"," 1595"," 1200"," 2500"," 1608","   1.607","   1.618","   0.449","   0.732","   0.737","   0.205"," 65","0"," 62"," 65","   0.736","   0.741","   0.206","  45.000","    0","    0"
"03:02:41:858","254865085251368","   2.017","   2.421"," 2068"," 1200"," 3600"," 2325","   2.275","   3.915","   1.088","   1.489","   2.241","   0.623"," 63","0"," 61"," 73","   0.700","   1.447","   0.402","  45.000","    0","    0"
"03:02:42:861","254867394943448","   3.019","   2.535"," 2287"," 1200"," 3700"," 2719","   2.907","   6.830","   1.897","   1.974","   4.221","   1.172"," 63","0"," 61"," 71","   0.755","   2.205","   0.612","  45.000","    0","    0"
"03:02:43:868","254869715100316","   4.026","   2.144"," 1653"," 1200"," 2700"," 1677","   1.732","   8.574","   2.382","   0.818","   5.044","   1.401"," 62","0"," 61"," 64","   0.793","   3.003","   0.834","  45.000","    0","    0"
"03:02:44:876","254872038001554","   5.035","   1.612"," 1881"," 1200"," 3700"," 1895","   1.774","  10.362","   2.878","   0.987","   6.039","   1.678"," 63","0"," 60"," 65","   0.667","   3.675","   1.021","  45.000","    0","    0"
"03:02:45:882","254874356400316","   6.041","   2.044"," 1997"," 1200"," 3700"," 2055","   2.223","  12.599","   3.500","   1.390","   7.438","   2.066"," 62","0"," 60"," 69","   0.668","   4.348","   1.208","  45.000","    0","    0"
"03:02:46:890","254876678990600","   7.049","   1.729"," 1529"," 1200"," 2500"," 1540","   1.506","  14.117","   3.921","   0.691","   8.134","   2.259"," 62","0"," 60"," 63","   0.675","   5.028","   1.397","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.048907"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 14.117126"
"Cumulative Package Energy_0 (mWh) = 3.921424"
"Average Package Power_0 (Watt) = 2.002740"

"Cumulative IA Energy_0 (Joules) = 8.133911"
"Cumulative IA Energy_0 (mWh) = 2.259420"
"Average Package IA_0 (Watt) = 1.153925"

"Cumulative DRAM Energy_0 (Joules) = 5.028015"
"Cumulative DRAM Energy_0 (mWh) = 1.396671"
"Average Package DRAM_0 (Watt) = 0.713304"
