"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:18:30:984","257051865866700","   1.010","   1.533"," 1594"," 1200"," 3700"," 1596","   1.449","   1.463","   0.407","   0.633","   0.639","   0.178"," 57","0"," 54"," 58","   0.718","   0.725","   0.201","  45.000","  350","  333"
"03:18:32:000","257054204666908","   2.025","   1.969"," 2134"," 1200"," 3700"," 2481","   2.269","   3.767","   1.046","   1.444","   2.105","   0.585"," 56","0"," 54"," 65","   0.697","   1.433","   0.398","  45.000","    0","    0"
"03:18:33:001","257056511203830","   3.026","   1.790"," 1723"," 1200"," 2900"," 1796","   1.537","   5.306","   1.474","   0.799","   2.905","   0.807"," 57","0"," 53"," 58","   0.686","   2.120","   0.589","  45.000","    0","    0"
"03:18:34:002","257058817924352","   4.027","   1.327"," 1632"," 1200"," 2600"," 1689","   1.358","   6.666","   1.852","   0.575","   3.481","   0.967"," 56","0"," 53"," 56","   0.708","   2.828","   0.786","  45.000","  350","    0"
"03:18:35:008","257061135570522","   5.033","   1.146"," 1559"," 1200"," 2500"," 1614","   1.175","   7.848","   2.180","   0.497","   3.981","   1.106"," 56","0"," 53"," 56","   0.665","   3.498","   0.972","  45.000","    0","    0"
"03:18:36:018","257063462964872","   6.044","   1.595"," 1543"," 1200"," 2500"," 1571","   1.297","   9.158","   2.544","   0.584","   4.570","   1.270"," 56","0"," 53"," 56","   0.680","   4.185","   1.162","  45.000","    0","    0"
"03:18:37:026","257065785638646","   7.052","   1.939"," 1711"," 1200"," 3000"," 1731","   1.668","  10.840","   3.011","   0.797","   5.374","   1.493"," 56","0"," 53"," 57","   0.727","   4.917","   1.366","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.051668"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 10.840210"
"Cumulative Package Energy_0 (mWh) = 3.011169"
"Average Package Power_0 (Watt) = 1.537255"

"Cumulative IA Energy_0 (Joules) = 5.373657"
"Cumulative IA Energy_0 (mWh) = 1.492683"
"Average Package IA_0 (Watt) = 0.762041"

"Cumulative DRAM Energy_0 (Joules) = 4.917236"
"Cumulative DRAM Energy_0 (mWh) = 1.365899"
"Average Package DRAM_0 (Watt) = 0.697315"
