"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:39:35:816","259966018264576","   1.008","   2.014"," 1862"," 1200"," 3600"," 1878","   1.912","   1.927","   0.535","   1.046","   1.054","   0.293"," 58","0"," 55"," 59","   0.717","   0.723","   0.201","  45.000","    0","    0"
"03:39:36:825","259968342701920","   2.017","   3.154"," 2669"," 1200"," 4500"," 2826","   4.397","   6.363","   1.768","   3.344","   4.428","   1.230"," 58","0"," 55"," 68","   0.720","   1.449","   0.402","  45.000","    0","    0"
"03:39:37:834","259970669102152","   3.027","   1.539"," 1644"," 1200"," 2900"," 1676","   1.375","   7.752","   2.153","   0.645","   5.080","   1.411"," 58","0"," 55"," 58","   0.681","   2.136","   0.593","  45.000","    0","    0"
"03:39:38:840","259972986397320","   4.032","   1.262"," 1673"," 1200"," 2900"," 1715","   1.288","   9.047","   2.513","   0.597","   5.680","   1.578"," 58","0"," 55"," 59","   0.669","   2.810","   0.780","  45.000","    0","    0"
"03:39:39:847","259975306262416","   5.039","   2.413"," 1926"," 1200"," 3600"," 1945","   2.288","  11.351","   3.153","   1.325","   7.014","   1.948"," 58","0"," 55"," 60","   0.703","   3.517","   0.977","  45.000","    0","    0"
"03:39:40:854","259977625155036","   6.046","   2.309"," 2228"," 1200"," 3700"," 2669","   2.506","  13.873","   3.854","   1.709","   8.734","   2.426"," 58","0"," 54"," 65","   0.682","   4.204","   1.168","  45.000","    0","    0"
"03:39:41:862","259979948281902","   7.054","   2.150"," 2241"," 1200"," 3600"," 2252","   2.544","  16.438","   4.566","   1.686","  10.434","   2.898"," 58","0"," 53"," 60","   0.660","   4.869","   1.353","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.054008"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 16.438477"
"Cumulative Package Energy_0 (mWh) = 4.566243"
"Average Package Power_0 (Watt) = 2.330374"

"Cumulative IA Energy_0 (Joules) = 10.434448"
"Cumulative IA Energy_0 (mWh) = 2.898458"
"Average Package IA_0 (Watt) = 1.479223"

"Cumulative DRAM Energy_0 (Joules) = 4.869141"
"Cumulative DRAM Energy_0 (mWh) = 1.352539"
"Average Package DRAM_0 (Watt) = 0.690266"
