"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:58:30:176","212813913898676","   1.002","  11.081"," 3584"," 2300"," 3800"," 3630","  16.083","  16.114","   4.476","  14.341","  14.369","   3.991"," 69","0"," 62"," 79","   0.980","   0.982","   0.273","  45.000","    0","    0"
"21:58:31:181","212816228686224","   2.007","  13.132"," 3564"," 1200"," 4500"," 3758","  23.994","  40.220","  11.172","  22.283","  36.756","  10.210"," 77","0"," 64"," 91","   0.892","   1.878","   0.522","  45.000","    0","    0"
"21:58:32:195","212818564726886","   3.020","   6.804"," 2596","  700"," 4100"," 2702","  10.195","  50.556","  14.043","   8.503","  45.378","  12.605"," 64","0"," 62"," 80","   0.744","   2.632","   0.731","  45.000","  350","  333"
"21:58:33:201","212820882393910","   4.026","  12.361"," 1941","  800"," 4500"," 2024","   9.511","  60.124","  16.701","   7.252","  52.673","  14.631"," 65","0"," 62"," 84","   0.889","   3.526","   0.979","  45.000","    0","    0"
"21:58:34:202","212823190293600","   5.028","  13.136"," 1468"," 1200"," 3600"," 1484","   4.966","  65.099","  18.083","   3.306","  55.984","  15.551"," 64","0"," 62"," 66","   0.990","   4.518","   1.255","  45.000","    0","    0"
"21:58:35:204","212825499309532","   6.030","   7.519"," 1498"," 1200"," 3600"," 1511","   4.300","  69.408","  19.280","   2.218","  58.207","  16.169"," 64","0"," 61"," 68","   0.932","   5.451","   1.514","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.030238"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 69.407654"
"Cumulative Package Energy_0 (mWh) = 19.279904"
"Average Package Power_0 (Watt) = 11.509936"

"Cumulative IA Energy_0 (Joules) = 58.206787"
"Cumulative IA Energy_0 (mWh) = 16.168552"
"Average Package IA_0 (Watt) = 9.652486"

"Cumulative DRAM Energy_0 (Joules) = 5.451233"
"Cumulative DRAM Energy_0 (mWh) = 1.514231"
"Average Package DRAM_0 (Watt) = 0.903983"
