"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:08:52:947","214248885459914","   1.006","   2.793"," 2365"," 1200"," 3700"," 2455","   3.430","   3.451","   0.959","   2.377","   2.392","   0.664"," 64","0"," 58"," 64","   0.714","   0.719","   0.200","  45.000","    0","    0"
"22:08:53:951","214251199049574","   2.010","   5.413"," 3561"," 1200"," 4400"," 3951","  11.302","  14.800","   4.111","   9.866","  12.299","   3.417"," 64","0"," 59"," 83","   0.648","   1.370","   0.380","  45.000","    0","    0"
"22:08:54:960","214253524387682","   3.020","   4.882"," 3526"," 1200"," 4500"," 3891","  10.182","  25.076","   6.966","   8.765","  21.145","   5.874"," 65","0"," 59"," 67","   0.631","   2.006","   0.557","  45.000","    0","    0"
"22:08:55:964","214255837770768","   4.024","   5.681"," 3672"," 1200"," 4600"," 4058","  12.596","  37.724","  10.479","  11.051","  32.241","   8.956"," 64","0"," 59"," 77","   0.709","   2.718","   0.755","  45.000","    0","    0"
"22:08:56:969","214258152248256","   5.028","   4.043"," 3288"," 1200"," 4600"," 3529","   7.450","  45.208","  12.558","   6.180","  38.450","  10.680"," 60","0"," 58"," 66","   0.648","   3.369","   0.936","  45.000","    0","    0"
"22:08:57:973","214260466945838","   6.033","   2.616"," 2402"," 1200"," 3800"," 2454","   3.261","  48.483","  13.468","   2.307","  40.767","  11.324"," 63","0"," 57"," 63","   0.654","   4.026","   1.118","  45.000","    0","    0"
"22:08:58:973","214262771269238","   7.033","   5.105"," 3566"," 1200"," 4600"," 3956","  10.935","  59.420","  16.506","   9.401","  50.169","  13.936"," 63","0"," 58"," 67","   0.693","   4.718","   1.311","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.032945"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 59.420166"
"Cumulative Package Energy_0 (mWh) = 16.505602"
"Average Package Power_0 (Watt) = 8.448831"

"Cumulative IA Energy_0 (Joules) = 50.169250"
"Cumulative IA Energy_0 (mWh) = 13.935903"
"Average Package IA_0 (Watt) = 7.133462"

"Cumulative DRAM Energy_0 (Joules) = 4.718201"
"Cumulative DRAM Energy_0 (mWh) = 1.310611"
"Average Package DRAM_0 (Watt) = 0.670871"
