"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:45:18:075","219283273798974","   1.004","  14.807"," 4273"," 3700"," 4500"," 4800","  47.906","  48.101","  13.361","  46.444","  46.633","  12.954"," 87","0"," 59"," 93","   0.760","   0.763","   0.212","  45.000","    0","    0"
"22:45:19:086","219285603888286","   2.015","   8.516"," 2329","  700"," 4500"," 2573","  12.261","  60.500","  16.806","  10.053","  56.800","  15.778"," 60","0"," 54"," 92","   0.786","   1.558","   0.433","  45.000","    0","    0"
"22:45:20:090","219287916737390","   3.019","   3.282"," 1662"," 1200"," 4500"," 1684","   2.677","  63.187","  17.552","   1.328","  58.132","  16.148"," 56","0"," 53"," 63","   0.827","   2.388","   0.663","  45.000","    0","    0"
"22:45:21:099","219290240815044","   4.028","   2.418"," 1924"," 1200"," 3000"," 2238","   2.662","  65.872","  18.298","   1.228","  59.371","  16.492"," 56","0"," 53"," 59","   1.004","   3.401","   0.945","  45.000","    0","    0"
"22:45:22:108","219292565852836","   5.037","   1.256"," 1515"," 1200"," 2600"," 1525","   1.581","  67.468","  18.741","   0.485","  59.861","  16.628"," 55","0"," 53"," 57","   0.836","   4.244","   1.179","  45.000","    0","    0"
"22:45:23:114","219294885436320","   6.044","   2.049"," 2397"," 1200"," 3700"," 2793","   2.878","  70.365","  19.546","   1.723","  61.595","  17.110"," 56","0"," 53"," 63","   0.860","   5.110","   1.420","  45.000","    0","    0"
"22:45:24:116","219297193978628","   7.046","   1.182"," 1540"," 1200"," 3600"," 1556","   1.637","  72.005","  20.001","   0.488","  62.084","  17.246"," 55","0"," 53"," 57","   0.862","   5.974","   1.660","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.045802"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 72.004700"
"Cumulative Package Energy_0 (mWh) = 20.001305"
"Average Package Power_0 (Watt) = 10.219518"

"Cumulative IA Energy_0 (Joules) = 62.084229"
"Cumulative IA Energy_0 (mWh) = 17.245619"
"Average Package IA_0 (Watt) = 8.811520"

"Cumulative DRAM Energy_0 (Joules) = 5.974426"
"Cumulative DRAM Energy_0 (mWh) = 1.659563"
"Average Package DRAM_0 (Watt) = 0.847941"
