"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:06:07:221","222161243684218","   1.002","   1.889"," 1809"," 1200"," 3600"," 1974","   1.751","   1.754","   0.487","   0.891","   0.893","   0.248"," 55","0"," 52"," 61","   0.725","   0.726","   0.202","  45.000","    0","    0"
"23:06:08:232","222163572634764","   2.013","   1.911"," 1964"," 1200"," 3600"," 2170","   1.982","   3.758","   1.044","   1.157","   2.063","   0.573"," 55","0"," 52"," 65","   0.699","   1.432","   0.398","  45.000","  350","  333"
"23:06:09:233","222165878581978","   3.014","   1.360"," 1625"," 1200"," 2700"," 1645","   1.399","   5.158","   1.433","   0.581","   2.644","   0.735"," 54","0"," 52"," 56","   0.705","   2.137","   0.594","  45.000","    0","    0"
"23:06:10:235","222168187728630","   4.016","   1.204"," 1567"," 1200"," 2500"," 1582","   1.278","   6.439","   1.789","   0.530","   3.175","   0.882"," 54","0"," 52"," 55","   0.680","   2.819","   0.783","  45.000","    0","    0"
"23:06:11:236","222170494471856","   5.017","   1.284"," 1590"," 1200"," 2500"," 1605","   1.340","   7.780","   2.161","   0.571","   3.747","   1.041"," 54","0"," 52"," 55","   0.688","   3.508","   0.975","  45.000","  350","  333"
"23:06:12:237","222172801444112","   6.018","   1.350"," 1577"," 1200"," 2500"," 1594","   1.305","   9.087","   2.524","   0.573","   4.321","   1.200"," 55","0"," 51"," 55","   0.669","   4.178","   1.161","  45.000","  350","  333"
"23:06:13:238","222175107978316","   7.020","   2.164"," 1609"," 1200"," 2900"," 1633","   1.572","  10.660","   2.961","   0.760","   5.083","   1.412"," 55","0"," 52"," 55","   0.741","   4.920","   1.367","  45.000","  350","  333"

"Total Elapsed Time (sec) = 7.019503"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 10.660278"
"Cumulative Package Energy_0 (mWh) = 2.961188"
"Average Package Power_0 (Watt) = 1.518666"

"Cumulative IA Energy_0 (Joules) = 5.082520"
"Cumulative IA Energy_0 (mWh) = 1.411811"
"Average Package IA_0 (Watt) = 0.724057"

"Cumulative DRAM Energy_0 (Joules) = 4.920471"
"Cumulative DRAM Energy_0 (mWh) = 1.366798"
"Average Package DRAM_0 (Watt) = 0.700971"
