"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:11:20:757","222883629686824","   1.000","   9.016"," 1531"," 1200"," 3600"," 1553","   5.372","   5.373","   1.492","   2.244","   2.245","   0.624"," 56","0"," 53"," 59","   1.029","   1.029","   0.286","  45.000","  700","  700"
"23:11:21:762","222885944583672","   2.005","   8.246"," 1650"," 1200"," 3700"," 1705","   5.642","  11.042","   3.067","   2.696","   4.953","   1.376"," 56","0"," 53"," 66","   1.028","   2.062","   0.573","  45.000","    0","    0"
"23:11:22:770","222888267003506","   3.013","   7.493"," 1455"," 1200"," 3600"," 1465","   4.275","  15.351","   4.264","   1.736","   6.703","   1.862"," 55","0"," 53"," 58","   0.961","   3.031","   0.842","  45.000","    0","    0"
"23:11:23:774","222890580710820","   4.017","   7.935"," 1443"," 1200"," 3600"," 1449","   4.554","  19.924","   5.534","   1.747","   8.458","   2.349"," 56","0"," 52"," 56","   0.980","   4.015","   1.115","  45.000","    0","    0"
"23:11:24:776","222892887703008","   5.018","   6.864"," 1477"," 1200"," 3100"," 1492","   4.588","  24.518","   6.811","   1.676","  10.136","   2.816"," 56","0"," 52"," 56","   1.004","   5.020","   1.395","  45.000","  650","  633"
"23:11:25:776","222895193275390","   6.019","   5.426"," 1605"," 1200"," 3600"," 1639","   5.141","  29.663","   8.240","   1.843","  11.980","   3.328"," 56","0"," 52"," 57","   0.998","   6.019","   1.672","  45.000","  650","  633"
"23:11:26:777","222897497811682","   7.019","   7.631"," 1867"," 1200"," 3700"," 2097","   6.336","  36.000","  10.000","   3.346","  15.327","   4.258"," 58","0"," 52"," 63","   1.004","   7.022","   1.951","  45.000","  700","  700"

"Total Elapsed Time (sec) = 7.019316"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 36.000244"
"Cumulative Package Energy_0 (mWh) = 10.000068"
"Average Package Power_0 (Watt) = 5.128740"

"Cumulative IA Energy_0 (Joules) = 15.327393"
"Cumulative IA Energy_0 (mWh) = 4.257609"
"Average Package IA_0 (Watt) = 2.183602"

"Cumulative DRAM Energy_0 (Joules) = 7.022400"
"Cumulative DRAM Energy_0 (mWh) = 1.950667"
"Average Package DRAM_0 (Watt) = 1.000439"
