"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:32:11:506","225765240677788","   1.001","   6.193"," 1586"," 1200"," 3600"," 1596","   9.522","   9.531","   2.648","   2.690","   2.692","   0.748"," 68","0"," 64"," 69","   1.038","   1.039","   0.288","  45.000","    0","    0"
"23:32:12:521","225767579357956","   2.016","   7.447"," 1869"," 1200"," 3600"," 1927","   9.531","  19.206","   5.335","   3.755","   6.504","   1.807"," 73","0"," 64"," 75","   1.124","   2.179","   0.605","  45.000"," 1000"," 1000"
"23:32:13:524","225769889644878","   3.019","   4.561"," 1531"," 1200"," 3100"," 1540","  11.843","  31.082","   8.634","   2.550","   9.061","   2.517"," 78","0"," 64"," 68","   1.134","   3.316","   0.921","  45.000"," 1100"," 1100"
"23:32:14:524","225772194830834","   4.019","   5.244"," 1589"," 1200"," 3600"," 1613","  11.817","  42.905","  11.918","   2.812","  11.874","   3.298"," 68","0"," 64"," 69","   1.067","   4.383","   1.218","  45.000","    0","    0"
"23:32:15:526","225774501369218","   5.020","   6.491"," 1517"," 1200"," 3600"," 1534","   8.963","  51.878","  14.410","   2.455","  14.332","   3.981"," 67","0"," 64"," 68","   1.025","   5.409","   1.503","  45.000","    0","    0"
"23:32:16:528","225776810144966","   6.022","   8.340"," 1868"," 1200"," 3600"," 2031","  10.148","  62.047","  17.235","   4.562","  18.904","   5.251"," 68","0"," 63"," 74","   1.060","   6.472","   1.798","  45.000","    0","    0"
"23:32:17:534","225779129403744","   7.029","   5.315"," 1657"," 1200"," 3600"," 1665","  10.498","  72.614","  20.171","   2.760","  21.681","   6.023"," 76","0"," 64"," 68","   1.063","   7.542","   2.095","  45.000"," 1100"," 1100"

"Total Elapsed Time (sec) = 7.029104"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 72.614075"
"Cumulative Package Energy_0 (mWh) = 20.170576"
"Average Package Power_0 (Watt) = 10.330489"

"Cumulative IA Energy_0 (Joules) = 21.681335"
"Cumulative IA Energy_0 (mWh) = 6.022593"
"Average Package IA_0 (Watt) = 3.084509"

"Cumulative DRAM Energy_0 (Joules) = 7.541931"
"Cumulative DRAM Energy_0 (mWh) = 2.094981"
"Average Package DRAM_0 (Watt) = 1.072958"
