"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:47:49:857","227927162386068","   1.000","  21.339"," 1558"," 1200"," 3600"," 1574","   7.628","   7.629","   2.119","   5.773","   5.774","   1.604"," 62","0"," 59"," 65","   0.966","   0.966","   0.268","  45.000","  400","  400"
"23:47:50:865","227929483585220","   2.008","  15.356"," 2385"," 1200"," 4300"," 2606","  14.812","  22.552","   6.265","  12.600","  18.468","   5.130"," 62","0"," 59"," 82","   1.012","   1.986","   0.552","  45.000","    0","    0"
"23:47:51:865","227931788773648","   3.008","  15.262"," 1609"," 1200"," 3600"," 1620","   7.354","  29.910","   8.308","   4.637","  23.107","   6.419"," 63","0"," 59"," 65","   1.010","   2.997","   0.832","  45.000","  650","  633"
"23:47:52:866","227934093814364","   4.009","  13.835"," 1822"," 1200"," 4100"," 1859","   8.833","  38.747","  10.763","   5.543","  28.653","   7.959"," 63","0"," 59"," 69","   0.986","   3.983","   1.106","  45.000","  850","  833"
"23:47:53:867","227936400891484","   5.010","  15.616"," 1826"," 1200"," 3600"," 1852","   8.694","  47.452","  13.181","   5.967","  34.628","   9.619"," 63","0"," 59"," 69","   1.009","   4.993","   1.387","  45.000","    0","    0"
"23:47:54:868","227938707687836","   6.011","  15.664"," 1954"," 1200"," 4100"," 2135","   9.656","  57.120","  15.867","   7.501","  42.138","  11.705"," 70","0"," 59"," 73","   0.991","   5.985","   1.663","  45.000","  650","  633"
"23:47:55:875","227941028287776","   7.018","  12.915"," 2370"," 1200"," 4400"," 2510","  14.351","  71.574","  19.882","  10.556","  52.771","  14.659"," 69","0"," 59"," 81","   1.065","   7.057","   1.960","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.018399"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 71.574219"
"Cumulative Package Energy_0 (mWh) = 19.881727"
"Average Package Power_0 (Watt) = 10.198083"

"Cumulative IA Energy_0 (Joules) = 52.770874"
"Cumulative IA Energy_0 (mWh) = 14.658576"
"Average Package IA_0 (Watt) = 7.518933"

"Cumulative DRAM Energy_0 (Joules) = 7.057251"
"Cumulative DRAM Energy_0 (mWh) = 1.960347"
"Average Package DRAM_0 (Watt) = 1.005536"
