"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:53:04:149","228651283402710","   1.009","   1.625"," 1745"," 1200"," 2900"," 1790","   1.715","   1.730","   0.480","   0.758","   0.764","   0.212"," 63","0"," 61"," 65","   0.769","   0.776","   0.215","  45.000","    0","    0"
"23:53:05:159","228653610355804","   2.018","   1.877"," 1883"," 1200"," 3600"," 2053","   1.950","   3.699","   1.027","   1.051","   1.826","   0.507"," 63","0"," 60"," 71","   0.734","   1.517","   0.421","  45.000","    0","    0"
"23:53:06:167","228655931836442","   3.026","   1.807"," 1583"," 1200"," 2500"," 1599","   1.460","   5.170","   1.436","   0.703","   2.534","   0.704"," 63","0"," 60"," 63","   0.681","   2.204","   0.612","  45.000","    0","    0"
"23:53:07:171","228658245005102","   4.030","   1.407"," 1562"," 1200"," 2500"," 1585","   1.453","   6.628","   1.841","   0.608","   3.144","   0.873"," 63","0"," 60"," 63","   0.725","   2.931","   0.814","  45.000","    0","    0"
"23:53:08:175","228660558407514","   5.034","   2.984"," 2347"," 1200"," 4400"," 2780","   3.207","   9.848","   2.736","   2.282","   5.435","   1.510"," 62","0"," 60"," 70","   0.697","   3.631","   1.009","  45.000","    0","    0"
"23:53:09:183","228662879965856","   6.042","   1.408"," 1990"," 1200"," 3600"," 2035","   1.644","  11.505","   3.196","   0.879","   6.321","   1.756"," 62","0"," 59"," 64","   0.670","   4.306","   1.196","  45.000","    0","    0"
"23:53:10:183","228665185221792","   7.042","   1.238"," 1580"," 1200"," 2700"," 1589","   1.415","  12.920","   3.589","   0.599","   6.921","   1.922"," 61","0"," 59"," 62","   0.720","   5.027","   1.396","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.042369"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 12.920471"
"Cumulative Package Energy_0 (mWh) = 3.589020"
"Average Package Power_0 (Watt) = 1.834677"

"Cumulative IA Energy_0 (Joules) = 6.920654"
"Cumulative IA Energy_0 (mWh) = 1.922404"
"Average Package IA_0 (Watt) = 0.982717"

"Cumulative DRAM Energy_0 (Joules) = 5.027039"
"Cumulative DRAM Energy_0 (mWh) = 1.396400"
"Average Package DRAM_0 (Watt) = 0.713828"
