"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:08:39:529","230806348432402","   1.007","   9.842"," 2379"," 1200"," 4300"," 2468","   8.216","   8.274","   2.298","   6.824","   6.872","   1.909"," 63","0"," 60"," 75","   0.677","   0.682","   0.190","  45.000","    0","    0"
"00:08:40:538","230808672567944","   2.016","   6.819"," 1695"," 1200"," 4400"," 1765","   4.088","  12.398","   3.444","   2.997","   9.896","   2.749"," 62","0"," 60"," 78","   0.607","   1.295","   0.360","  45.000","    0","    0"
"00:08:41:539","230810980514270","   3.018","   4.263"," 3231"," 1200"," 4600"," 3457","   8.236","  20.648","   5.736","   7.015","  16.923","   4.701"," 65","0"," 60"," 68","   0.602","   1.898","   0.527","  45.000","    0","    0"
"00:08:42:545","230813297394820","   4.023","  14.270"," 3204"," 1200"," 4400"," 3549","  18.829","  39.583","  10.995","  16.963","  33.981","   9.439"," 73","0"," 60"," 77","   0.986","   2.889","   0.803","  45.000","    0","    0"
"00:08:43:546","230815603079318","   5.024","  10.922"," 2316"," 1200"," 4400"," 2426","   8.641","  48.230","  13.397","   7.325","  41.312","  11.475"," 63","0"," 60"," 76","   0.677","   3.566","   0.991","  45.000","    0","    0"
"00:08:44:554","230817925570902","   6.032","   6.540"," 1528"," 1200"," 3600"," 1537","   3.126","  51.382","  14.273","   2.011","  43.338","  12.038"," 61","0"," 59"," 67","   0.593","   4.164","   1.157","  45.000","    0","    0"
"00:08:45:554","230820230671268","   7.032","   1.994"," 2469"," 1200"," 3700"," 2997","   2.468","  53.851","  14.958","   1.785","  45.125","  12.535"," 61","0"," 59"," 69","   0.650","   4.814","   1.337","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.032419"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 53.850586"
"Cumulative Package Energy_0 (mWh) = 14.958496"
"Average Package Power_0 (Watt) = 7.657477"

"Cumulative IA Energy_0 (Joules) = 45.124695"
"Cumulative IA Energy_0 (mWh) = 12.534637"
"Average Package IA_0 (Watt) = 6.416668"

"Cumulative DRAM Energy_0 (Joules) = 4.814148"
"Cumulative DRAM Energy_0 (mWh) = 1.337263"
"Average Package DRAM_0 (Watt) = 0.684565"
