#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,21-09-23T21-16-32,micro,api-baseline,7.039655,37.933943,34.739261,1.613142,136.562195,125.061340,5.807312,76.0
1,21-09-23T21-16-32,micro,api-monitor,7.034358,14.321950,11.559228,1.410319,51.559021,41.613220,5.077148,56.0
1,21-09-23T21-16-32,micro,frontend-baseline,12.058841,27.044593,21.428986,2.869771,97.360535,77.144348,10.331177,62.166666666666664
1,21-09-23T21-16-32,micro,frontend-monitor,12.057642,25.009816,20.937483,2.233734,90.035339,75.374939,8.041443,61.0
10,21-09-23T21-16-32,micro,api-baseline,7.043036,8.868323,4.360928,1.838565,31.925964,15.699341,6.618835,63.714285714285715
10,21-09-23T21-16-32,micro,api-monitor,7.048584,8.390215,3.764784,1.856910,30.204773,13.553223,6.684875,66.0
10,21-09-23T21-16-32,micro,frontend-baseline,12.085072,14.362861,6.858521,3.192664,51.706299,24.690674,11.493591,61.0
10,21-09-23T21-16-32,micro,frontend-monitor,12.071214,14.342295,8.650292,3.089718,51.632263,31.141052,11.122986,61.083333333333336
2,21-09-23T21-16-32,micro,api-baseline,7.039685,3.306257,1.823188,1.363508,11.902527,6.563477,4.908630,57.142857142857146
2,21-09-23T21-16-32,micro,api-monitor,7.044356,3.524526,1.928168,1.360999,12.688293,6.941406,4.899597,60.142857142857146
2,21-09-23T21-16-32,micro,frontend-baseline,12.068725,5.251414,2.688649,2.342580,18.905090,9.679138,8.433289,54.416666666666664
2,21-09-23T21-16-32,micro,frontend-monitor,12.068214,12.080943,8.997108,2.250536,43.491394,32.389587,8.101929,59.5
3,21-09-23T21-16-32,micro,api-baseline,7.025977,16.075151,13.526221,1.315579,57.870544,48.694397,4.736084,61.142857142857146
3,21-09-23T21-16-32,micro,api-monitor,7.025924,10.467190,8.036652,1.241896,37.681885,28.931946,4.470825,64.28571428571429
3,21-09-23T21-16-32,micro,frontend-baseline,12.051020,61.000315,55.218252,2.869704,219.601135,198.785706,10.330933,68.66666666666667
3,21-09-23T21-16-32,micro,frontend-monitor,12.072640,25.483653,17.537927,3.118557,91.741150,63.136536,11.226807,67.25
4,21-09-23T21-16-32,micro,api-baseline,7.026877,15.383352,12.138265,1.837786,55.380066,43.697754,6.616028,52.0
4,21-09-23T21-16-32,micro,api-monitor,7.053557,29.100189,25.855103,1.658563,104.760681,93.078369,5.970825,73.57142857142857
4,21-09-23T21-16-32,micro,frontend-baseline,12.078815,20.067969,7.628733,3.301731,72.244690,27.463440,11.886230,63.333333333333336
4,21-09-23T21-16-32,micro,frontend-monitor,12.038613,24.789581,9.734751,3.371039,89.242493,35.045105,12.135742,60.5
5,21-09-23T21-16-32,micro,api-baseline,7.044082,10.750173,4.866774,1.911536,38.700623,17.520386,6.881531,54.714285714285715
5,21-09-23T21-16-32,micro,api-monitor,7.031465,11.103770,5.368805,1.924947,39.973572,19.327698,6.929810,67.0
