"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:40:52:654","434322665458796","   1.001","   1.647"," 1752"," 1200"," 2700"," 1798","   2.007","   2.010","   0.558","   0.634","   0.635","   0.176"," 51","0"," 48"," 51","   0.727","   0.728","   0.202","  45.000","    0","    0"
"00:40:53:669","434325004790464","   2.017","   1.994"," 1957"," 1200"," 3700"," 2148","   2.332","   4.378","   1.216","   1.041","   1.692","   0.470"," 50","0"," 48"," 60","   0.679","   1.418","   0.394","  45.000","    0","    0"
"00:40:54:678","434327329088950","   3.025","   1.547"," 1622"," 1200"," 2500"," 1640","   1.815","   6.208","   1.725","   0.525","   2.221","   0.617"," 50","0"," 48"," 51","   0.675","   2.099","   0.583","  45.000","    0","    0"
"00:40:55:684","434329645389540","   4.031","   1.407"," 1608"," 1200"," 2500"," 1631","   1.759","   7.977","   2.216","   0.473","   2.697","   0.749"," 50","0"," 47"," 51","   0.668","   2.770","   0.769","  45.000","    0","    0"
"00:40:56:693","434331970040504","   5.040","   1.662"," 1936"," 1200"," 3200"," 2088","   2.023","  10.018","   2.783","   0.732","   3.436","   0.954"," 50","0"," 47"," 55","   0.685","   3.461","   0.961","  45.000","    0","    0"
"00:40:57:699","434334289092042","   6.046","   2.545"," 2326"," 1200"," 3700"," 2759","   3.180","  13.219","   3.672","   1.805","   5.253","   1.459"," 50","0"," 48"," 56","   0.735","   4.201","   1.167","  45.000","    0","    0"
"00:40:58:706","434336609826892","   7.054","   1.331"," 1646"," 1200"," 2600"," 1670","   1.761","  14.993","   4.165","   0.476","   5.732","   1.592"," 50","0"," 47"," 50","   0.668","   4.874","   1.354","  45.000","    0","    0"
"00:40:59:713","434338928160066","   8.060","   3.635"," 1509"," 1200"," 3000"," 1522","   2.268","  17.275","   4.799","   0.980","   6.718","   1.866"," 51","0"," 47"," 51","   0.682","   5.560","   1.544","  45.000","  350","  333"
"00:41:00:713","434341232879284","   9.060","   2.843"," 1583"," 1200"," 2500"," 1607","   2.068","  19.343","   5.373","   0.751","   7.469","   2.075"," 50","0"," 47"," 51","   0.692","   6.252","   1.737","  45.000","  350","  333"
"00:41:01:719","434343551268616","  10.066","   1.366"," 1646"," 1200"," 2500"," 1670","   1.870","  21.225","   5.896","   0.505","   7.977","   2.216"," 49","0"," 47"," 50","   0.717","   6.974","   1.937","  45.000","    0","    0"
"00:41:02:721","434345860446364","  11.069","   1.455"," 1640"," 1200"," 2900"," 1660","   1.813","  23.042","   6.401","   0.533","   8.511","   2.364"," 50","0"," 47"," 51","   0.669","   7.644","   2.123","  45.000","    0","    0"
"00:41:03:726","434348174099084","  12.073","   1.337"," 1677"," 1200"," 3000"," 1696","   1.777","  24.826","   6.896","   0.495","   9.008","   2.502"," 50","0"," 47"," 50","   0.665","   8.312","   2.309","  45.000","    0","    0"
"00:41:04:730","434350488382296","  13.077","   1.363"," 1580"," 1200"," 2500"," 1596","   1.735","  26.569","   7.380","   0.443","   9.453","   2.626"," 50","0"," 47"," 50","   0.676","   8.991","   2.497","  45.000","    0","    0"
"00:41:05:738","434352809856686","  14.085","   1.348"," 1611"," 1200"," 2500"," 1622","   1.863","  28.446","   7.902","   0.467","   9.923","   2.756"," 50","0"," 47"," 51","   0.735","   9.731","   2.703","  45.000","  350","  333"
"00:41:06:745","434355129439858","  15.092","   1.438"," 1642"," 1200"," 2900"," 1674","   1.764","  30.222","   8.395","   0.481","  10.408","   2.891"," 50","0"," 47"," 50","   0.669","  10.404","   2.890","  45.000","  350","  333"
"00:41:07:754","434357454237100","  16.101","   2.837"," 2294"," 1200"," 3700"," 2709","   3.212","  33.463","   9.295","   1.924","  12.349","   3.430"," 50","0"," 47"," 57","   0.696","  11.107","   3.085","  45.000","    0","    0"
"00:41:08:759","434359769797586","  17.106","   1.332"," 1668"," 1200"," 2600"," 1716","   1.750","  35.221","   9.784","   0.475","  12.827","   3.563"," 49","0"," 47"," 50","   0.668","  11.778","   3.272","  45.000","    0","    0"
"00:41:09:759","434362075049516","  18.106","   1.238"," 1586"," 1200"," 2500"," 1604","   1.684","  36.906","  10.252","   0.406","  13.233","   3.676"," 49","0"," 47"," 51","   0.667","  12.445","   3.457","  45.000","    0","    0"
"00:41:10:765","434364392485646","  19.112","   1.294"," 1640"," 1200"," 2500"," 1650","   1.822","  38.739","  10.761","   0.471","  13.707","   3.807"," 49","0"," 47"," 50","   0.712","  13.162","   3.656","  45.000","    0","    0"
"00:41:11:774","434366717134690","  20.121","   1.334"," 1631"," 1200"," 2600"," 1659","   1.742","  40.497","  11.249","   0.476","  14.187","   3.941"," 49","0"," 47"," 50","   0.661","  13.829","   3.841","  45.000","    0","    0"
"00:41:12:777","434369026887140","  21.124","   1.370"," 1675"," 1200"," 3000"," 1715","   1.804","  42.305","  11.751","   0.535","  14.723","   4.090"," 49","0"," 47"," 50","   0.660","  14.491","   4.025","  45.000","    0","    0"
"00:41:13:785","434371350796364","  22.132","   1.558"," 1742"," 1200"," 3000"," 1780","   1.879","  44.201","  12.278","   0.596","  15.324","   4.257"," 49","0"," 47"," 50","   0.678","  15.175","   4.215","  45.000","    0","    0"
"00:41:14:792","434373669706716","  23.139","   1.460"," 1581"," 1200"," 2600"," 1597","   1.825","  46.037","  12.788","   0.478","  15.805","   4.390"," 49","0"," 47"," 49","   0.715","  15.894","   4.415","  45.000","    0","    0"
"00:41:15:793","434375976900860","  24.140","   1.324"," 1608"," 1200"," 2400"," 1620","   1.705","  47.744","  13.262","   0.435","  16.241","   4.511"," 49","0"," 46"," 49","   0.668","  16.563","   4.601","  45.000","    0","    0"
"00:41:16:795","434378284236844","  25.142","   1.408"," 1632"," 1200"," 2500"," 1660","   1.746","  49.493","  13.748","   0.480","  16.721","   4.645"," 49","0"," 46"," 49","   0.666","  17.230","   4.786","  45.000","    0","    0"
"00:41:17:802","434380605099158","  26.149","   2.222"," 2324"," 1200"," 3700"," 2816","   2.874","  52.388","  14.552","   1.594","  18.327","   5.091"," 49","0"," 46"," 57","   0.690","  17.925","   4.979","  45.000","    0","    0"
"00:41:18:811","434382929218912","  27.158","   2.257"," 1672"," 1200"," 2700"," 1696","   2.092","  54.499","  15.138","   0.720","  19.053","   5.293"," 49","0"," 46"," 50","   0.785","  18.716","   5.199","  45.000","    0","    0"
"00:41:19:820","434385253713444","  28.167","   1.354"," 1567"," 1200"," 2500"," 1579","   1.684","  56.197","  15.610","   0.418","  19.475","   5.410"," 49","0"," 46"," 49","   0.667","  19.389","   5.386","  45.000","    0","    0"
"00:41:20:823","434387564917476","  29.170","   1.837"," 2245"," 1200"," 3700"," 2705","   2.483","  58.688","  16.302","   1.217","  20.696","   5.749"," 49","0"," 46"," 57","   0.668","  20.059","   5.572","  45.000","    0","    0"
"00:41:21:830","434389885957654","  30.177","   1.338"," 1727"," 1200"," 3400"," 1771","   1.772","  60.473","  16.798","   0.508","  21.207","   5.891"," 49","0"," 46"," 50","   0.666","  20.730","   5.758","  45.000","    0","    0"
"00:41:22:839","434392209725838","  31.186","   1.409"," 1699"," 1200"," 2900"," 1734","   1.781","  62.269","  17.297","   0.518","  21.729","   6.036"," 48","0"," 46"," 50","   0.668","  21.403","   5.945","  45.000","    0","    0"
"00:41:23:845","434394528936036","  32.193","   1.484"," 1701"," 1200"," 3000"," 1720","   1.905","  64.187","  17.830","   0.556","  22.289","   6.192"," 49","0"," 46"," 49","   0.717","  22.125","   6.146","  45.000","    0","    0"
"00:41:24:847","434396837051428","  33.194","   1.232"," 1572"," 1200"," 2500"," 1584","   1.654","  65.843","  18.290","   0.389","  22.679","   6.300"," 49","0"," 46"," 49","   0.664","  22.790","   6.330","  45.000","    0","    0"
"00:41:25:856","434399162653106","  34.204","   1.378"," 1661"," 1200"," 2500"," 1696","   1.834","  67.694","  18.804","   0.488","  23.172","   6.437"," 49","0"," 46"," 49","   0.716","  23.512","   6.531","  45.000","    0","    0"
"00:41:26:861","434401477209008","  35.208","   1.013"," 1574"," 1200"," 2500"," 1591","   1.606","  69.307","  19.252","   0.348","  23.522","   6.534"," 49","0"," 45"," 49","   0.656","  24.171","   6.714","  45.000","    0","    0"
"00:41:27:871","434403804682446","  36.219","   2.075"," 2376"," 1200"," 3700"," 2919","   2.785","  72.120","  20.033","   1.515","  25.052","   6.959"," 48","0"," 46"," 55","   0.682","  24.860","   6.906","  45.000","    0","    0"
"00:41:28:878","434406122932550","  37.225","   1.393"," 1662"," 1200"," 2900"," 1706","   1.756","  73.887","  20.524","   0.494","  25.549","   7.097"," 49","0"," 46"," 49","   0.665","  25.529","   7.091","  45.000","    0","    0"
"00:41:29:887","434408448032366","  38.234","   1.179"," 1599"," 1200"," 2500"," 1610","   1.659","  75.561","  20.989","   0.398","  25.951","   7.209"," 49","0"," 46"," 49","   0.662","  26.197","   7.277","  45.000","    0","    0"
"00:41:30:894","434410768835784","  39.241","   1.285"," 1667"," 1200"," 2700"," 1708","   1.809","  77.383","  21.495","   0.469","  26.423","   7.340"," 48","0"," 46"," 50","   0.712","  26.914","   7.476","  45.000","    0","    0"
"00:41:31:902","434413091585602","  40.249","   1.995"," 2136"," 1200"," 3800"," 2459","   2.474","  79.878","  22.188","   1.129","  27.561","   7.656"," 58","0"," 46"," 58","   0.736","  27.656","   7.682","  45.000","    0","    0"
"00:41:32:907","434415406786620","  41.254","   1.728"," 2366"," 1200"," 4400"," 2556","   2.924","  82.816","  23.004","   1.654","  29.223","   8.118"," 49","0"," 46"," 68","   0.685","  28.344","   7.873","  45.000","    0","    0"
"00:41:33:912","434417722424050","  42.259","   1.556"," 1713"," 1200"," 3000"," 1751","   1.843","  84.668","  23.519","   0.580","  29.806","   8.280"," 49","0"," 46"," 49","   0.670","  29.017","   8.060","  45.000","    0","    0"
"00:41:34:917","434420038240590","  43.265","   1.422"," 1574"," 1200"," 2500"," 1585","   1.692","  86.369","  23.991","   0.427","  30.236","   8.399"," 49","0"," 45"," 49","   0.667","  29.688","   8.247","  45.000","    0","    0"
"00:41:35:922","434422353447728","  44.269","   1.302"," 1569"," 1200"," 2400"," 1589","   1.699","  88.076","  24.466","   0.438","  30.676","   8.521"," 49","0"," 45"," 49","   0.665","  30.356","   8.432","  45.000","    0","    0"
"00:41:36:923","434424659844846","  45.270","   1.429"," 1771"," 1200"," 3600"," 1847","   1.838","  89.916","  24.977","   0.579","  31.256","   8.682"," 48","0"," 45"," 52","   0.666","  31.023","   8.617","  45.000","    0","    0"
"00:41:37:924","434426965304900","  46.271","   2.800"," 2417"," 1200"," 3700"," 2909","   3.390","  93.309","  25.919","   2.032","  33.289","   9.247"," 49","0"," 45"," 56","   0.748","  31.771","   8.825","  45.000","    0","    0"
"00:41:38:930","434429284610130","  47.278","   1.400"," 1643"," 1200"," 2500"," 1677","   1.833","  95.154","  26.432","   0.491","  33.783","   9.384"," 48","0"," 45"," 49","   0.713","  32.488","   9.025","  45.000","    0","    0"
