"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:57:38:300","436639733700346","   1.001","   2.010"," 1840"," 1200"," 2900"," 1964","   2.141","   2.143","   0.595","   0.803","   0.804","   0.223"," 42","0"," 40"," 43","   0.732","   0.733","   0.204","  45.000","    0","    0"
"00:57:39:312","436642064301248","   2.012","   2.022"," 2052"," 1200"," 3700"," 2369","   2.333","   4.503","   1.251","   1.076","   1.892","   0.526"," 43","0"," 40"," 49","   0.684","   1.425","   0.396","  45.000","    0","    0"
"00:57:40:320","436644388224096","   3.021","   1.622"," 1812"," 1200"," 3600"," 1983","   1.923","   6.443","   1.790","   0.664","   2.562","   0.712"," 43","0"," 40"," 47","   0.675","   2.105","   0.585","  45.000","    0","    0"
"00:57:41:328","436646709629184","   4.029","   1.385"," 1654"," 1200"," 3000"," 1672","   1.740","   8.196","   2.277","   0.492","   3.057","   0.849"," 42","0"," 40"," 43","   0.658","   2.769","   0.769","  45.000","    0","    0"
"00:57:42:334","436649028318098","   5.035","   1.527"," 1607"," 1200"," 2500"," 1625","   1.815","  10.022","   2.784","   0.485","   3.545","   0.985"," 43","0"," 40"," 43","   0.714","   3.487","   0.969","  45.000","    0","    0"
"00:57:43:340","436651345483094","   6.041","   1.194"," 1614"," 1200"," 2600"," 1654","   1.651","  11.683","   3.245","   0.396","   3.944","   1.095"," 42","0"," 40"," 43","   0.663","   4.154","   1.154","  45.000","    0","    0"
"00:57:44:341","436653652235388","   7.042","   1.399"," 1679"," 1200"," 2900"," 1703","   1.742","  13.427","   3.730","   0.491","   4.435","   1.232"," 42","0"," 40"," 43","   0.665","   4.820","   1.339","  45.000","    0","    0"
"00:57:45:343","436655960575590","   8.044","   3.313"," 2728"," 1200"," 4000"," 3505","   4.177","  17.613","   4.892","   2.917","   7.357","   2.044"," 46","0"," 40"," 53","   0.734","   5.555","   1.543","  45.000","    0","    0"
"00:57:46:350","436658280332006","   9.051","   1.524"," 2018"," 1200"," 3700"," 2242","   2.119","  19.746","   5.485","   0.851","   8.214","   2.282"," 42","0"," 40"," 49","   0.674","   6.233","   1.731","  45.000","    0","    0"
"00:57:47:350","436660585188522","  10.051","   1.377"," 1651"," 1200"," 3100"," 1689","   1.798","  21.545","   5.985","   0.466","   8.680","   2.411"," 42","0"," 40"," 43","   0.716","   6.950","   1.931","  45.000","    0","    0"
"00:57:48:354","436662896596582","  11.054","   2.246"," 1645"," 1200"," 2900"," 1674","   1.949","  23.500","   6.528","   0.665","   9.346","   2.596"," 42","0"," 40"," 43","   0.746","   7.698","   2.138","  45.000","    0","    0"
"00:57:49:360","436665216290224","  12.061","   1.553"," 1828"," 1200"," 2800"," 1871","   1.945","  25.457","   7.072","   0.609","   9.959","   2.767"," 42","0"," 40"," 44","   0.718","   8.421","   2.339","  45.000","    0","    0"
"00:57:50:361","436667521005988","  13.061","   1.302"," 1587"," 1200"," 2500"," 1612","   1.672","  27.130","   7.536","   0.417","  10.377","   2.882"," 42","0"," 39"," 43","   0.667","   9.088","   2.524","  45.000","    0","    0"
