"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:31:28:154","408139338164450","   1.006","   4.499"," 1501"," 1200"," 3000"," 1515","   3.115","   3.135","   0.871","   1.344","   1.352","   0.376"," 65","0"," 62"," 67","   0.888","   0.894","   0.248","  45.000","    0","    0"
"21:31:29:167","408141671923276","   2.019","   4.238"," 1806"," 1200"," 3600"," 1865","   6.610","   9.830","   2.731","   2.251","   3.632","   1.009"," 69","0"," 63"," 74","   0.995","   1.902","   0.528","  45.000","  950","  933"
"21:31:30:177","408143999247756","   3.029","   5.116"," 1399"," 1200"," 2700"," 1413","   3.242","  13.105","   3.640","   1.246","   4.891","   1.359"," 64","0"," 63"," 66","   0.862","   2.773","   0.770","  45.000","    0","    0"
"21:31:31:179","408146308610482","   4.032","   4.363"," 1590"," 1200"," 2800"," 1624","   3.679","  16.793","   4.665","   1.517","   6.411","   1.781"," 65","0"," 62"," 66","   0.924","   3.699","   1.028","  45.000","    0","    0"
"21:31:32:184","408148623584410","   5.036","   4.551"," 1817"," 1200"," 3600"," 2068","   6.685","  23.510","   6.530","   2.461","   8.884","   2.468"," 65","0"," 62"," 72","   0.956","   4.660","   1.294","  45.000","    0","    0"
"21:31:33:190","408150942578040","   6.043","   4.609"," 1670"," 1200"," 3600"," 1769","   3.477","  27.009","   7.503","   1.714","  10.610","   2.947"," 65","0"," 62"," 70","   0.871","   5.536","   1.538","  45.000","    0","    0"
"21:31:34:199","408153266629294","   7.052","   3.651"," 1536"," 1200"," 3100"," 1551","   3.440","  30.479","   8.466","   1.248","  11.869","   3.297"," 64","0"," 62"," 66","   0.903","   6.447","   1.791","  45.000","    0","    0"
"21:31:35:200","408155572610554","   8.052","   3.501"," 1580"," 1200"," 3000"," 1608","   3.971","  34.453","   9.570","   1.261","  13.131","   3.647"," 64","0"," 62"," 65","   0.917","   7.365","   2.046","  45.000","    0","    0"
"21:31:36:210","408157899456620","   9.062","   4.106"," 1434"," 1200"," 2500"," 1444","   4.026","  38.519","  10.700","   1.148","  14.290","   3.970"," 64","0"," 62"," 65","   0.916","   8.290","   2.303","  45.000","    0","    0"
"21:31:37:218","408160221433846","  10.070","   4.549"," 1459"," 1200"," 2800"," 1465","   2.993","  41.536","  11.538","   1.310","  15.610","   4.336"," 63","0"," 61"," 65","   0.839","   9.136","   2.538","  45.000","    0","    0"
"21:31:38:223","408162537919752","  11.076","   4.069"," 1553"," 1200"," 3200"," 1583","   3.397","  44.951","  12.486","   1.414","  17.032","   4.731"," 65","0"," 61"," 66","   0.871","  10.012","   2.781","  45.000","  450","  433"
"21:31:39:225","408164845649212","  12.077","   3.654"," 1484"," 1200"," 3000"," 1495","   2.829","  47.784","  13.273","   1.093","  18.127","   5.035"," 63","0"," 61"," 65","   0.851","  10.865","   3.018","  45.000","    0","    0"
