"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:47:58:979","410422121124704","   1.004","   4.936"," 1775"," 1200"," 3600"," 1812","  12.720","  12.776","   3.549","   3.109","   3.123","   0.867"," 68","0"," 59"," 71","   0.974","   0.979","   0.272","  45.000"," 1150"," 1200"
"21:47:59:996","410424464040236","   2.021","   4.946"," 1774"," 1200"," 3600"," 1870","  12.712","  25.703","   7.140","   3.183","   6.360","   1.767"," 72","0"," 60"," 72","   0.935","   1.930","   0.536","  45.000"," 1150"," 1200"
"21:48:01:004","410426787537532","   3.030","   5.439"," 2107"," 1200"," 3600"," 2417","  13.903","  39.724","  11.034","   4.178","  10.573","   2.937"," 72","0"," 60"," 70","   1.014","   2.952","   0.820","  45.000","    0","    0"
"21:48:02:012","410429109642734","   4.038","   4.374"," 1606"," 1200"," 3100"," 1613","  11.979","  51.797","  14.388","   2.558","  13.152","   3.653"," 68","0"," 60"," 63","   0.913","   3.873","   1.076","  45.000","    0","    0"
"21:48:03:013","410431417184114","   5.039","   4.709"," 1725"," 1200"," 3600"," 1768","  12.480","  64.296","  17.860","   2.834","  15.990","   4.442"," 68","0"," 60"," 66","   0.963","   4.837","   1.344","  45.000","    0","    0"
"21:48:04:014","410433722269692","   6.040","   4.456"," 1700"," 1200"," 3500"," 1716","  12.280","  76.582","  21.273","   2.765","  18.756","   5.210"," 68","0"," 60"," 63","   0.921","   5.759","   1.600","  45.000","    0","    0"
"21:48:05:019","410436036818372","   7.044","   5.628"," 1588"," 1200"," 2500"," 1586","  12.045","  88.682","  24.634","   2.556","  21.324","   5.923"," 67","0"," 60"," 63","   0.918","   6.681","   1.856","  45.000","    0","    0"
"21:48:06:024","410438354188492","   8.050","   4.727"," 1632"," 1200"," 3000"," 1642","  12.114"," 100.866","  28.018","   2.671","  24.011","   6.670"," 66","0"," 60"," 64","   0.961","   7.648","   2.124","  45.000","    0","    0"
"21:48:07:025","410440659166056","   9.051","   4.816"," 1591"," 1200"," 3100"," 1608","  12.173"," 113.044","  31.401","   2.668","  26.679","   7.411"," 66","0"," 60"," 63","   0.922","   8.570","   2.381","  45.000","    0","    0"
"21:48:08:032","410442979826682","  10.058","   5.813"," 2413"," 1200"," 4400"," 2684","  16.151"," 129.312","  35.920","   6.672","  33.400","   9.278"," 67","0"," 60"," 84","   0.958","   9.535","   2.649","  45.000"," 1150"," 1200"
"21:48:09:037","410445294368430","  11.062","   4.842"," 1783"," 1200"," 3700"," 1838","  12.146"," 141.513","  39.309","   3.066","  36.479","  10.133"," 72","0"," 60"," 71","   0.935","  10.475","   2.910","  45.000"," 1150"," 1133"
"21:48:10:047","410447621779950","  12.073","   4.532"," 1521"," 1200"," 3000"," 1526","  12.031"," 153.666","  42.685","   2.524","  39.029","  10.841"," 74","0"," 60"," 64","   0.915","  11.399","   3.166","  45.000"," 1150"," 1200"
"21:48:11:055","410449944364762","  13.081","   5.749"," 2053"," 1200"," 3600"," 2250","  13.926"," 167.704","  46.585","   4.189","  43.252","  12.014"," 75","0"," 60"," 69","   0.996","  12.403","   3.445","  45.000"," 1150"," 1200"
"21:48:12:065","410452271283730","  14.091","   4.436"," 1564"," 1200"," 2500"," 1577","  11.951"," 179.774","  49.937","   2.523","  45.800","  12.722"," 69","0"," 60"," 64","   0.916","  13.327","   3.702","  45.000","    0","    0"
"21:48:13:068","410454582021518","  15.094","   4.545"," 1593"," 1200"," 3100"," 1606","  12.051"," 191.860","  53.295","   2.589","  48.397","  13.444"," 68","0"," 60"," 63","   0.921","  14.251","   3.959","  45.000","    0","    0"
"21:48:14:075","410456902112818","  16.101","   4.564"," 1669"," 1200"," 3600"," 1683","  11.258"," 203.197","  56.444","   2.692","  51.107","  14.196"," 67","0"," 60"," 65","   0.920","  15.178","   4.216","  45.000","    0","    0"
"21:48:15:076","410459207985096","  17.101","   4.471"," 1570"," 1200"," 3200"," 1581","  11.998"," 215.205","  59.779","   2.525","  53.634","  14.898"," 67","0"," 60"," 64","   0.916","  16.095","   4.471","  45.000","    0","    0"
"21:48:16:080","410461522028748","  18.106","   4.606"," 1608"," 1200"," 2500"," 1616","  12.062"," 227.320","  63.144","   2.626","  56.272","  15.631"," 67","0"," 60"," 64","   0.921","  17.020","   4.728","  45.000"," 1150"," 1200"
"21:48:17:086","410463839941092","  19.112","   4.530"," 1560"," 1200"," 2500"," 1567","  11.456"," 238.844","  66.346","   2.493","  58.780","  16.328"," 69","0"," 60"," 64","   0.918","  17.943","   4.984","  45.000"," 1100"," 1100"
"21:48:18:096","410466166385058","  20.122","   5.523"," 1735"," 1200"," 3600"," 1780","  12.641"," 251.608","  69.891","   3.114","  61.925","  17.201"," 72","0"," 60"," 65","   1.011","  18.964","   5.268","  45.000"," 1150"," 1200"
"21:48:19:097","410468473546482","  21.123","   5.006"," 1674"," 1200"," 3600"," 1743","  12.321"," 263.946","  73.318","   2.847","  64.775","  17.993"," 72","0"," 60"," 66","   0.960","  19.925","   5.535","  45.000"," 1150"," 1200"
