"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:53:32:720","419485331306188","   1.009","   4.765"," 1655"," 1200"," 3100"," 1665","   9.441","   9.531","   2.647","   2.518","   2.542","   0.706"," 69","0"," 62"," 66","   0.973","   0.982","   0.273","  45.000","    0","    0"
"22:53:33:728","419487653891674","   2.018","   5.964"," 2132"," 1200"," 3600"," 2405","  11.749","  21.374","   5.937","   4.473","   7.050","   1.958"," 67","0"," 62"," 75","   0.976","   1.966","   0.546","  45.000","    0","    0"
"22:53:34:730","419489962953160","   3.020","   4.632"," 1571"," 1200"," 3400"," 1578","   9.352","  30.747","   8.541","   2.312","   9.367","   2.602"," 68","0"," 62"," 65","   0.926","   2.893","   0.804","  45.000","    0","    0"
"22:53:35:738","419492283950818","   4.027","   4.537"," 1603"," 1200"," 2500"," 1610","   9.309","  40.124","  11.146","   2.344","  11.729","   3.258"," 69","0"," 62"," 66","   0.964","   3.864","   1.073","  45.000","  850","  833"
"22:53:36:745","419494603811310","   5.034","   4.528"," 1610"," 1200"," 3100"," 1622","   8.616","  48.800","  13.555","   2.282","  14.027","   3.896"," 68","0"," 62"," 65","   0.922","   4.792","   1.331","  45.000","  850","  833"
"22:53:37:752","419496924331510","   6.041","   5.556"," 1723"," 1200"," 3600"," 1742","  10.237","  59.110","  16.420","   2.937","  16.985","   4.718"," 69","0"," 62"," 67","   0.982","   5.782","   1.606","  45.000"," 1000"," 1000"

"Total Elapsed Time (sec) = 6.041254"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 59.110229"
"Cumulative Package Energy_0 (mWh) = 16.419508"
"Average Package Power_0 (Watt) = 9.784431"

"Cumulative IA Energy_0 (Joules) = 16.985107"
"Cumulative IA Energy_0 (mWh) = 4.718085"
"Average Package IA_0 (Watt) = 2.811520"

"Cumulative DRAM Energy_0 (Joules) = 5.781738"
"Cumulative DRAM Energy_0 (mWh) = 1.606038"
"Average Package DRAM_0 (Watt) = 0.957043"
