"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:00:19:719","47719942887904","   1.001","   5.340"," 1602"," 1200"," 3600"," 1610","  14.921","  14.935","   4.149","   3.207","   3.210","   0.892"," 71","0"," 62"," 66","   0.999","   1.000","   0.278","  45.000","    0","    0"
"06:00:20:732","47722275246684","   2.013","   5.437"," 1669"," 1200"," 3600"," 1771","  15.024","  30.144","   8.373","   3.452","   6.704","   1.862"," 75","0"," 62"," 73","   0.975","   1.986","   0.552","  45.000"," 1150"," 1200"
"06:00:21:740","47724598501632","   3.022","   5.142"," 1551"," 1200"," 3600"," 1561","  14.559","  44.825","  12.451","   3.073","   9.803","   2.723"," 70","0"," 62"," 65","   1.004","   2.999","   0.833","  45.000"," 1150"," 1200"
"06:00:22:747","47726919412494","   4.029","   4.911"," 1601"," 1200"," 3600"," 1613","  14.716","  59.648","  16.569","   3.027","  12.852","   3.570"," 76","0"," 61"," 65","   0.982","   3.987","   1.108","  45.000"," 1150"," 1200"
"06:00:23:755","47729240758794","   5.037","   5.823"," 2170"," 1200"," 4300"," 2432","  17.311","  77.090","  21.414","   5.236","  18.128","   5.036"," 77","0"," 61"," 75","   1.002","   4.997","   1.388","  45.000"," 1150"," 1200"
"06:00:24:765","47731567154024","   6.046","   6.191"," 1659"," 1200"," 3100"," 1668","  13.672","  90.895","  25.249","   3.379","  21.540","   5.983"," 76","0"," 61"," 65","   0.979","   5.985","   1.663","  45.000"," 1150"," 1200"
"06:00:25:770","47733884584070","   7.052","   5.056"," 1595"," 1200"," 2500"," 1604","  14.752"," 105.733","  29.370","   3.061","  24.618","   6.838"," 73","0"," 61"," 65","   0.966","   6.958","   1.933","  45.000"," 1150"," 1200"
"06:00:26:771","47736190455784","   8.053","   5.016"," 1530"," 1200"," 3600"," 1540","  14.436"," 120.181","  33.384","   2.940","  27.561","   7.656"," 74","0"," 61"," 65","   0.952","   7.911","   2.197","  45.000","    0","    0"
"06:00:27:777","47738506815100","   9.058","   4.940"," 1542"," 1200"," 3600"," 1551","  14.410"," 134.668","  37.408","   2.972","  30.549","   8.486"," 71","0"," 61"," 65","   0.953","   8.869","   2.464","  45.000","    0","    0"
"06:00:28:777","47740812635304","  10.059","   5.262"," 1666"," 1200"," 3600"," 1682","  14.907"," 149.587","  41.552","   3.349","  33.901","   9.417"," 70","0"," 61"," 65","   0.969","   9.839","   2.733","  45.000","    0","    0"
