"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:06:46:538","65199763799832","   1.003","   5.106"," 1629"," 1200"," 3600"," 1645","  15.167","  15.217","   4.227","   3.305","   3.315","   0.921"," 75","0"," 65"," 72","   1.008","   1.011","   0.281","  45.000","    0","    0"
"08:06:47:547","65202089729324","   2.013","   5.564"," 1734"," 1200"," 3600"," 1797","  15.460","  30.824","   8.562","   3.729","   7.080","   1.967"," 75","0"," 65"," 79","   0.991","   2.012","   0.559","  45.000"," 1150"," 1133"
"08:06:48:549","65204396763552","   3.014","   5.199"," 1597"," 1200"," 3600"," 1609","  14.548","  45.391","  12.609","   3.204","  10.287","   2.858"," 76","0"," 65"," 70","   0.978","   2.991","   0.831","  45.000"," 1100"," 1100"
"08:06:49:559","65206725051656","   4.025","   4.916"," 1598"," 1200"," 3200"," 1608","  14.670","  60.216","  16.727","   3.113","  13.434","   3.732"," 79","0"," 65"," 69","   0.965","   3.967","   1.102","  45.000"," 1150"," 1133"
"08:06:50:561","65209033069796","   5.026","   5.073"," 1567"," 1200"," 3100"," 1577","  14.790","  75.032","  20.842","   3.130","  16.569","   4.603"," 76","0"," 65"," 69","   1.003","   4.972","   1.381","  45.000"," 1150"," 1200"
"08:06:51:570","65211358581594","   6.036","   4.957"," 1563"," 1200"," 3100"," 1571","  14.826","  89.996","  24.999","   3.084","  19.682","   5.467"," 77","0"," 65"," 69","   0.966","   5.947","   1.652","  45.000"," 1150"," 1133"
"08:06:52:572","65213666086752","   7.037","   5.524"," 1678"," 1200"," 3600"," 1703","  15.159"," 105.178","  29.216","   3.516","  23.203","   6.445"," 77","0"," 65"," 76","   0.980","   6.929","   1.925","  45.000"," 1150"," 1200"
"08:06:53:577","65215981977580","   8.042","   5.221"," 1597"," 1200"," 3600"," 1603","  15.239"," 120.496","  33.471","   3.226","  26.446","   7.346"," 78","0"," 65"," 68","   1.010","   7.944","   2.207","  45.000"," 1150"," 1200"
"08:06:54:577","65218287287760","   9.043","   5.339"," 1657"," 1200"," 3600"," 1663","  15.130"," 135.634","  37.676","   3.353","  29.801","   8.278"," 80","0"," 65"," 68","   0.979","   8.924","   2.479","  45.000"," 1150"," 1133"
"08:06:55:583","65220604955828","  10.049","   5.260"," 1771"," 1200"," 3600"," 1875","  15.084"," 150.808","  41.891","   3.694","  33.517","   9.310"," 78","0"," 65"," 72","   0.980","   9.910","   2.753","  45.000"," 1150"," 1133"
"08:06:56:588","65222919447130","  11.053","   5.280"," 1747"," 1200"," 3600"," 1859","  15.470"," 166.349","  46.208","   3.727","  37.261","  10.350"," 80","0"," 65"," 74","   0.980","  10.894","   3.026","  45.000"," 1150"," 1200"
"08:06:57:594","65225236897700","  12.059","   4.915"," 1552"," 1200"," 2500"," 1564","  14.642"," 181.076","  50.299","   3.031","  40.309","  11.197"," 79","0"," 65"," 69","   0.962","  11.861","   3.295","  45.000"," 1150"," 1133"
"08:06:58:601","65227557624856","  13.067","   5.461"," 1717"," 1200"," 3600"," 1730","  15.327"," 196.514","  54.587","   3.526","  43.861","  12.184"," 80","0"," 65"," 71","   1.016","  12.884","   3.579","  45.000"," 1150"," 1200"
"08:06:59:601","65229862591438","  14.067","   5.608"," 1812"," 1200"," 4400"," 1861","  16.065"," 212.586","  59.052","   4.169","  48.031","  13.342"," 77","0"," 65"," 86","   0.986","  13.871","   3.853","  45.000"," 1150"," 1200"
"08:07:00:605","65232175072736","  15.071","   6.962"," 1750"," 1200"," 4400"," 1803","  16.291"," 228.937","  63.594","   4.378","  52.425","  14.563"," 76","0"," 65"," 81","   1.086","  14.960","   4.156","  45.000"," 1150"," 1133"
"08:07:01:609","65234487090066","  16.074","   5.142"," 1617"," 1200"," 3600"," 1627","  15.134"," 244.123","  67.812","   3.265","  55.701","  15.473"," 79","0"," 65"," 73","   1.006","  15.970","   4.436","  45.000"," 1150"," 1200"
"08:07:02:612","65236799190142","  17.078","   6.121"," 2368"," 1200"," 4400"," 2738","  18.548"," 262.736","  72.982","   6.353","  62.077","  17.243"," 81","0"," 65"," 83","   1.053","  17.026","   4.730","  45.000"," 1150"," 1200"
"08:07:03:614","65239108041602","  18.080","  10.105"," 2821"," 1200"," 4400"," 3123","  28.891"," 291.688","  81.024","  13.894","  76.000","  21.111"," 80","0"," 66"," 91","   2.146","  19.177","   5.327","  45.000"," 1150"," 1200"
"08:07:04:621","65241428241824","  19.087","   8.862"," 2195"," 1200"," 3100"," 2311","  22.450"," 314.295","  87.304","   6.564","  82.610","  22.947"," 79","0"," 66"," 74","   2.798","  21.995","   6.110","  45.000"," 1150"," 1200"
"08:07:05:627","65243744877064","  20.092","   5.234"," 1783"," 1200"," 3600"," 1824","  16.528"," 330.914","  91.921","   3.726","  86.357","  23.988"," 77","0"," 65"," 70","   1.485","  23.488","   6.524","  45.000"," 1150"," 1133"
"08:07:06:637","65246071437772","  21.102","   5.454"," 1923"," 1200"," 3600"," 2122","  15.237"," 346.300","  96.195","   4.205","  90.603","  25.168"," 79","0"," 65"," 74","   0.980","  24.477","   6.799","  45.000"," 1150"," 1200"
"08:07:07:638","65248378739514","  22.104","   5.068"," 1533"," 1200"," 3600"," 1542","  14.442"," 360.763"," 100.212","   3.039","  93.647","  26.013"," 79","0"," 65"," 68","   0.960","  25.438","   7.066","  45.000"," 1150"," 1200"
"08:07:08:639","65250683999986","  23.104","   5.132"," 1607"," 1200"," 3100"," 1617","  14.555"," 375.326"," 104.257","   3.156","  96.804","  26.890"," 78","0"," 65"," 69","   0.998","  26.436","   7.343","  45.000"," 1150"," 1200"
"08:07:09:645","65253003839246","  24.111","   4.989"," 1534"," 1200"," 3100"," 1548","  14.135"," 389.558"," 108.210","   3.005","  99.830","  27.730"," 76","0"," 65"," 69","   0.954","  27.397","   7.610","  45.000"," 1150"," 1200"
"08:07:10:652","65255323918514","  25.118","   5.806"," 2329"," 1200"," 4400"," 2514","  18.882"," 408.572"," 113.492","   7.393"," 107.274","  29.798"," 75","0"," 65"," 92","   1.016","  28.420","   7.895","  45.000","    0","    0"
"08:07:11:654","65257632333910","  26.120","   4.986"," 1512"," 1200"," 3600"," 1518","  13.027"," 421.624"," 117.118","   2.868"," 110.147","  30.596"," 75","0"," 65"," 68","   0.947","  29.369","   8.158","  45.000","    0","    0"
"08:07:12:663","65259956502550","  27.129","   4.699"," 1534"," 1200"," 3600"," 1542","  13.928"," 435.674"," 121.020","   2.894"," 113.067","  31.407"," 79","0"," 65"," 68","   0.943","  30.320","   8.422","  45.000"," 1150"," 1133"
"08:07:13:664","65262262442742","  28.129","   4.989"," 1608"," 1200"," 3600"," 1615","  14.131"," 449.817"," 124.949","   3.057"," 116.127","  32.257"," 78","0"," 64"," 69","   0.987","  31.308","   8.697","  45.000"," 1150"," 1200"
"08:07:14:672","65264584125902","  29.137","   5.118"," 1753"," 1200"," 4400"," 1826","  14.728"," 464.658"," 129.072","   3.667"," 119.822","  33.284"," 78","0"," 64"," 78","   0.959","  32.274","   8.965","  45.000"," 1150"," 1133"
"08:07:15:677","65266900043240","  30.142","   5.104"," 1672"," 1200"," 4400"," 1724","  14.130"," 478.861"," 133.017","   3.375"," 123.215","  34.226"," 78","0"," 64"," 79","   0.948","  33.227","   9.230","  45.000"," 1150"," 1133"
"08:07:16:684","65269221063172","  31.150","   5.510"," 1976"," 1200"," 3600"," 2184","  14.772"," 493.742"," 137.151","   4.275"," 127.522","  35.423"," 79","0"," 64"," 75","   0.971","  34.205","   9.501","  45.000"," 1150"," 1133"
"08:07:17:692","65271542604268","  32.157","   4.828"," 1515"," 1200"," 3300"," 1525","  13.678"," 507.524"," 140.979","   2.840"," 130.383","  36.217"," 78","0"," 64"," 68","   0.943","  35.155","   9.765","  45.000","    0","    0"
"08:07:18:698","65273859843432","  33.163","   4.789"," 1531"," 1200"," 3600"," 1542","  12.851"," 520.449"," 144.569","   2.778"," 133.177","  36.993"," 71","0"," 64"," 68","   0.959","  36.119","  10.033","  45.000"," 1150"," 1200"
"08:07:19:703","65276176172512","  34.168","   3.820"," 1452"," 1200"," 3100"," 1459","  12.755"," 533.272"," 148.131","   2.485"," 135.675","  37.687"," 72","0"," 64"," 68","   0.882","  37.006","  10.279","  45.000"," 1150"," 1200"
"08:07:20:710","65278496064532","  35.175","   5.589"," 1543"," 1200"," 3500"," 1551","   9.662"," 543.001"," 150.834","   2.595"," 138.288","  38.413"," 71","0"," 64"," 68","   0.887","  37.899","  10.528","  45.000"," 1000"," 1000"
"08:07:21:715","65280810924410","  36.180","   3.041"," 1405"," 1200"," 2500"," 1406","   9.759"," 552.806"," 153.557","   1.925"," 140.222","  38.951"," 74","0"," 63"," 67","   0.838","  38.741","  10.761","  45.000"," 1100"," 1100"
"08:07:22:724","65283136026352","  37.189","   5.995"," 1640"," 1200"," 3100"," 1650","  10.468"," 563.370"," 156.492","   2.916"," 143.165","  39.768"," 74","0"," 63"," 69","   0.985","  39.735","  11.038","  45.000"," 1000"," 1000"
"08:07:23:733","65285461109412","  38.198","   3.819"," 1493"," 1200"," 3100"," 1497","   9.600"," 573.058"," 159.183","   2.124"," 145.308","  40.363"," 74","0"," 63"," 67","   0.875","  40.618","  11.283","  45.000"," 1000"," 1000"
"08:07:24:743","65287788159552","  39.208","   3.508"," 1507"," 1200"," 3100"," 1518","   8.252"," 581.393"," 161.498","   1.928"," 147.255","  40.904"," 66","0"," 63"," 67","   0.831","  41.457","  11.516","  45.000","    0","    0"
"08:07:25:747","65290101945664","  40.213","   5.457"," 2050","  700"," 4500"," 2246","   7.730"," 589.155"," 163.654","   5.211"," 152.488","  42.358"," 68","0"," 62"," 83","   0.839","  42.300","  11.750","  45.000","  650","  633"
"08:07:26:748","65292409209518","  41.214","  10.418"," 1798"," 1200"," 3600"," 2069","   9.427"," 598.596"," 166.277","   4.420"," 156.915","  43.587"," 69","0"," 63"," 73","   1.103","  43.404","  12.057","  45.000","  800","  800"
"08:07:27:751","65294719216128","  42.217","   9.197"," 1420"," 1200"," 3100"," 1432","   7.280"," 605.895"," 168.304","   2.635"," 159.557","  44.321"," 66","0"," 63"," 68","   0.999","  44.406","  12.335","  45.000","    0","    0"
"08:07:28:761","65297046994426","  43.227","  10.229"," 1513"," 1200"," 3600"," 1523","   6.549"," 612.512"," 170.142","   2.966"," 162.553","  45.154"," 65","0"," 63"," 67","   1.068","  45.485","  12.635","  45.000","    0","    0"
"08:07:29:764","65299357354162","  44.230","   9.372"," 1437"," 1200"," 3600"," 1444","   5.480"," 618.007"," 171.668","   2.421"," 164.981","  45.828"," 66","0"," 62"," 67","   1.007","  46.494","  12.915","  45.000","  550","  533"
"08:07:30:772","65301679565334","  45.238","   5.385"," 1502"," 1200"," 2600"," 1516","   5.157"," 623.204"," 173.112","   1.702"," 166.697","  46.305"," 67","0"," 62"," 65","   1.050","  47.553","  13.209","  45.000","    0","    0"
"08:07:31:773","65303984864654","  46.238","   4.419"," 1523"," 1200"," 3600"," 1544","   4.997"," 628.203"," 174.501","   1.613"," 168.311","  46.753"," 65","0"," 62"," 71","   0.967","  48.520","  13.478","  45.000","    0","    0"
"08:07:32:776","65306295690536","  47.241","   4.879"," 1562"," 1200"," 3600"," 1574","   6.562"," 634.785"," 176.329","   1.964"," 170.281","  47.300"," 67","0"," 62"," 66","   1.012","  49.535","  13.760","  45.000","    0","    0"
