"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:33:44:315","19161459612858","   1.002","   5.148"," 1594"," 1200"," 3600"," 1607","  14.828","  14.854","   4.126","   3.082","   3.088","   0.858"," 72","0"," 59"," 62","   1.008","   1.010","   0.280","  45.000"," 1150"," 1200"
"02:33:45:327","19163790398774","   2.013","   5.372"," 1699"," 1200"," 3600"," 1744","  14.984","  30.013","   8.337","   3.492","   6.621","   1.839"," 70","0"," 59"," 72","   0.980","   2.001","   0.556","  45.000"," 1150"," 1200"
"02:33:46:332","19166107210016","   3.019","   5.142"," 1521"," 1200"," 3600"," 1537","  14.325","  44.418","  12.338","   2.918","   9.555","   2.654"," 72","0"," 58"," 62","   0.965","   2.971","   0.825","  45.000"," 1150"," 1200"
"02:33:47:333","19168412772548","   4.020","   4.989"," 1563"," 1200"," 2900"," 1576","  14.439","  58.867","  16.352","   2.960","  12.517","   3.477"," 68","0"," 58"," 62","   0.995","   3.967","   1.102","  45.000"," 1150"," 1200"
"02:33:48:338","19170728642474","   5.025","  17.701"," 3228"," 1200"," 4100"," 3956","  26.495","  85.499","  23.750","  15.037","  27.632","   7.675"," 77","0"," 59"," 79","   1.175","   5.147","   1.430","  45.000","    0","    0"
"02:33:49:348","19173054572852","   6.034","  11.032"," 2540"," 1200"," 4300"," 2953","  21.524"," 107.227","  29.785","   9.613","  37.336","  10.371"," 73","0"," 60"," 77","   1.175","   6.333","   1.759","  45.000"," 1150"," 1200"
"02:33:50:355","19175375386034","   7.042","   6.314"," 2044"," 1200"," 3600"," 2087","  16.605"," 123.954","  34.432","   4.755","  42.126","  11.702"," 68","0"," 59"," 68","   1.031","   7.372","   2.048","  45.000"," 1150"," 1200"
"02:33:51:364","19177698954396","   8.050","   6.518"," 2093"," 1200"," 3600"," 2264","  17.104"," 141.202","  39.223","   5.125","  47.295","  13.138"," 74","0"," 59"," 69","   1.030","   8.411","   2.336","  45.000"," 1150"," 1200"
"02:33:52:370","19180017621052","   9.057","   5.818"," 2233"," 1200"," 3700"," 2365","  17.477"," 158.791","  44.109","   5.252","  52.581","  14.606"," 71","0"," 59"," 73","   1.039","   9.456","   2.627","  45.000","    0","    0"
"02:33:53:370","19182322612172","  10.057","   7.660"," 1681"," 1200"," 3600"," 1693","  13.913"," 172.710","  47.975","   3.891","  56.473","  15.687"," 72","0"," 59"," 67","   0.997","  10.454","   2.904","  45.000"," 1150"," 1200"
"02:33:54:374","19184634916986","  11.061","   5.536"," 1641"," 1200"," 3600"," 1648","  14.836"," 187.600","  52.111","   3.324","  59.809","  16.614"," 70","0"," 59"," 67","   1.009","  11.466","   3.185","  45.000"," 1150"," 1200"
"02:33:55:383","19186959661728","  12.070","   4.998"," 1503"," 1200"," 3600"," 1514","  14.475"," 202.205","  56.168","   2.905","  62.740","  17.428"," 74","0"," 59"," 63","   0.957","  12.432","   3.453","  45.000"," 1150"," 1200"
"02:33:56:392","19189283163904","  13.078","   4.872"," 1548"," 1200"," 3600"," 1557","  14.313"," 216.639","  60.177","   2.920","  65.685","  18.246"," 73","0"," 59"," 64","   0.955","  13.395","   3.721","  45.000"," 1150"," 1200"
