"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:13:48:938","24701682241622","   1.001","   4.632"," 1581"," 1200"," 3600"," 1586","  14.811","  14.832","   4.120","   2.929","   2.933","   0.815"," 73","0"," 59"," 64","   1.106","   1.108","   0.308","  45.000"," 1150"," 1200"
"03:13:49:945","24704003593298","   2.009","   6.275"," 1829"," 1200"," 3700"," 1876","  14.488","  29.429","   8.175","   3.935","   6.898","   1.916"," 75","0"," 60"," 72","   1.106","   2.222","   0.617","  45.000","    0","    0"
"03:13:50:947","24706312108754","   3.011","   4.355"," 1928"," 1200"," 3600"," 2172","  15.490","  44.950","  12.486","   3.805","  10.710","   2.975"," 69","0"," 59"," 70","   1.072","   3.297","   0.916","  45.000"," 1150"," 1200"
"03:13:51:948","24708617325772","   4.011","   6.341"," 1601"," 1200"," 3600"," 1615","  12.897","  57.853","  16.070","   3.148","  13.860","   3.850"," 71","0"," 60"," 64","   1.104","   4.401","   1.223","  45.000"," 1100"," 1100"
"03:13:52:949","24710924724872","   5.013","   4.980"," 1603"," 1200"," 3100"," 1614","  14.030","  71.904","  19.973","   3.004","  16.868","   4.686"," 74","0"," 60"," 63","   1.102","   5.505","   1.529","  45.000"," 1150"," 1133"
"03:13:53:957","24713246445324","   6.021","   3.939"," 1454"," 1200"," 3100"," 1460","  14.396","  86.411","  24.003","   2.615","  19.503","   5.417"," 73","0"," 60"," 63","   1.043","   6.556","   1.821","  45.000"," 1150"," 1200"
"03:13:54:957","24715551275986","   7.021","   6.562"," 1552"," 1200"," 2500"," 1565","  10.096","  96.511","  26.809","   2.747","  22.251","   6.181"," 67","0"," 60"," 63","   1.062","   7.618","   2.116","  45.000","    0","    0"
"03:13:55:959","24717859355712","   8.023","   4.495"," 1399"," 1200"," 2500"," 1406","   9.331"," 105.858","  29.405","   2.057","  24.312","   6.753"," 63","0"," 60"," 63","   0.986","   8.607","   2.391","  45.000","    0","    0"
"03:13:56:967","24720181511736","   9.031","   6.710"," 1556"," 1200"," 3100"," 1566","   9.322"," 115.253","  32.015","   2.736","  27.069","   7.519"," 67","0"," 60"," 63","   1.063","   9.678","   2.688","  45.000","    0","    0"
"03:13:57:974","24722500350150","  10.037","   5.226"," 1680"," 1200"," 3600"," 1693","  14.370"," 129.716","  36.032","   3.219","  30.309","   8.419"," 69","0"," 60"," 65","   1.134","  10.819","   3.005","  45.000"," 1150"," 1133"
"03:13:58:974","24724805734884","  11.038","   3.657"," 1483"," 1200"," 3500"," 1491","  14.456"," 144.181","  40.050","   2.561","  32.872","   9.131"," 68","0"," 60"," 63","   1.064","  11.884","   3.301","  45.000","    0","    0"
"03:13:59:975","24727111854428","  12.039","   7.592"," 1574"," 1200"," 2500"," 1590","   8.568"," 152.756","  42.432","   2.716","  35.590","   9.886"," 66","0"," 60"," 64","   1.126","  13.011","   3.614","  45.000","    0","    0"
"03:14:00:978","24729422380100","  13.041","   5.685"," 1980"," 1200"," 3600"," 2178","  15.350"," 168.149","  46.708","   4.256","  39.858","  11.072"," 69","0"," 60"," 71","   1.138","  14.152","   3.931","  45.000","    0","    0"
"03:14:01:984","24731739852616","  14.047","   4.336"," 1479"," 1200"," 2500"," 1483","  14.575"," 182.810","  50.781","   2.719","  42.593","  11.831"," 70","0"," 60"," 63","   1.088","  15.247","   4.235","  45.000","    0","    0"
"03:14:02:990","24734057053988","  15.053","   5.812"," 1569"," 1200"," 3100"," 1577","  12.987"," 195.872","  54.409","   2.984","  45.594","  12.665"," 73","0"," 60"," 63","   1.082","  16.335","   4.537","  45.000"," 1100"," 1100"
"03:14:03:992","24736367670496","  16.056","   5.344"," 1587"," 1200"," 3600"," 1597","  14.097"," 210.009","  58.336","   3.044","  48.647","  13.513"," 72","0"," 60"," 65","   1.103","  17.440","   4.845","  45.000"," 1150"," 1133"
"03:14:04:994","24738675558528","  17.058","   4.077"," 1522"," 1200"," 3600"," 1532","  14.847"," 224.881","  62.467","   2.744","  51.395","  14.276"," 75","0"," 60"," 63","   1.088","  18.530","   5.147","  45.000"," 1150"," 1200"
"03:14:06:000","24740992357632","  18.063","   4.548"," 1530"," 1200"," 2500"," 1541","  12.250"," 237.199","  65.889","   2.554","  53.963","  14.990"," 72","0"," 60"," 64","   1.038","  19.574","   5.437","  45.000"," 1100"," 1100"
"03:14:07:008","24743316585650","  19.072","   5.283"," 1404"," 1200"," 3600"," 1411","   6.263"," 243.517","  67.644","   1.773","  55.752","  15.487"," 67","0"," 60"," 63","   0.947","  20.530","   5.703","  45.000","  850","  833"
"03:14:08:015","24745636485660","  20.079","   5.369"," 1453"," 1200"," 3600"," 1465","   4.772"," 248.322","  68.978","   1.615","  57.378","  15.938"," 64","0"," 60"," 64","   0.941","  21.477","   5.966","  45.000","    0","    0"
"03:14:09:018","24747945940428","  21.081","   5.778"," 1679"," 1200"," 3100"," 1699","   5.656"," 253.991","  70.553","   2.108","  59.491","  16.525"," 65","0"," 59"," 64","   1.012","  22.491","   6.248","  45.000","  700","  700"
"03:14:10:025","24750266688218","  22.088","   4.669"," 1570"," 1200"," 3600"," 1590","   9.761"," 263.823","  73.284","   2.385","  61.894","  17.193"," 68","0"," 59"," 69","   1.071","  23.570","   6.547","  45.000"," 1050"," 1033"
"03:14:11:026","24752572994446","  23.089","   5.519"," 1863"," 1200"," 3600"," 2061","  15.281"," 279.120","  77.533","   4.042","  65.940","  18.317"," 70","0"," 60"," 68","   1.134","  24.705","   6.862","  45.000"," 1150"," 1200"
"03:14:12:027","24754880535698","  24.091","   5.053"," 1642"," 1200"," 3600"," 1683","  15.020"," 294.162","  81.712","   3.248","  69.193","  19.220"," 75","0"," 60"," 70","   1.102","  25.808","   7.169","  45.000"," 1150"," 1200"
"03:14:13:034","24757200542742","  25.098","   5.022"," 1564"," 1200"," 3100"," 1572","  14.770"," 309.035","  85.843","   2.969","  72.182","  20.051"," 74","0"," 60"," 63","   1.122","  26.938","   7.483","  45.000"," 1150"," 1200"
"03:14:14:042","24759522822300","  26.106","   5.379"," 1883"," 1200"," 4500"," 1932","  16.408"," 325.574","  90.437","   4.278","  76.494","  21.248"," 75","0"," 60"," 69","   1.100","  28.046","   7.791","  45.000"," 1150"," 1200"
"03:14:15:043","24761827661482","  27.106","   5.136"," 1666"," 1200"," 3700"," 1718","  14.901"," 340.480","  94.578","   3.341","  79.836","  22.177"," 71","0"," 60"," 71","   0.947","  28.993","   8.054","  45.000"," 1150"," 1133"
"03:14:16:051","24764150698866","  28.115","   4.679"," 1473"," 1200"," 2700"," 1477","  13.735"," 354.329","  98.425","   2.750","  82.609","  22.947"," 72","0"," 60"," 64","   0.965","  29.966","   8.324","  45.000"," 1100"," 1100"
"03:14:17:051","24766455615916","  29.115","   4.178"," 1408"," 1200"," 2900"," 1415","  11.769"," 366.103"," 101.695","   2.366","  84.976","  23.604"," 64","0"," 60"," 63","   0.880","  30.846","   8.568","  45.000","    0","    0"
"03:14:18:055","24768767860534","  30.119","   5.888"," 1618"," 1200"," 3600"," 1627","  14.050"," 380.203"," 105.612","   3.236","  88.223","  24.506"," 76","0"," 60"," 64","   0.986","  31.836","   8.843","  45.000"," 1150"," 1200"
"03:14:19:055","24771073031414","  31.119","   5.151"," 1718"," 1200"," 3600"," 1766","  15.132"," 395.343"," 109.817","   3.467","  91.692","  25.470"," 70","0"," 60"," 71","   0.994","  32.831","   9.120","  45.000"," 1150"," 1200"
"03:14:20:062","24773391941900","  32.125","   5.259"," 1821"," 1200"," 4300"," 1936","  15.874"," 411.320"," 114.255","   3.976","  95.694","  26.582"," 74","0"," 60"," 74","   0.982","  33.820","   9.394","  45.000"," 1150"," 1200"
"03:14:21:068","24775710134016","  33.132","   5.698"," 1923"," 1200"," 3600"," 2128","  16.083"," 427.502"," 118.751","   4.335"," 100.056","  27.793"," 71","0"," 61"," 72","   1.021","  34.847","   9.680","  45.000"," 1150"," 1200"
"03:14:22:069","24778015620212","  34.132","   4.786"," 1566"," 1200"," 3600"," 1577","  14.685"," 442.197"," 122.832","   2.982"," 103.040","  28.622"," 76","0"," 61"," 64","   0.957","  35.805","   9.946","  45.000"," 1150"," 1200"
"03:14:23:077","24780338705368","  35.141","   5.134"," 1561"," 1200"," 3100"," 1573","  14.660"," 456.978"," 126.938","   3.049"," 106.115","  29.476"," 70","0"," 60"," 64","   0.966","  36.778","  10.216","  45.000"," 1150"," 1200"
"03:14:24:078","24782645319666","  36.142","   5.186"," 1682"," 1200"," 3100"," 1696","  15.132"," 472.127"," 131.146","   3.252"," 109.370","  30.381"," 74","0"," 61"," 65","   1.002","  37.781","  10.495","  45.000"," 1150"," 1200"
"03:14:25:086","24784967544238","  37.150","   3.823"," 1416"," 1200"," 3600"," 1422","  13.713"," 485.949"," 134.986","   2.479"," 111.869","  31.075"," 67","0"," 60"," 64","   0.883","  38.672","  10.742","  45.000","    0","    0"
"03:14:26:090","24787281117522","  38.154","   6.092"," 1588"," 1200"," 2700"," 1597","  12.485"," 498.486"," 138.468","   3.086"," 114.968","  31.936"," 74","0"," 60"," 64","   0.962","  39.638","  11.011","  45.000"," 1100"," 1100"
"03:14:27:097","24789600193996","  39.160","   3.116"," 1432"," 1200"," 2500"," 1441","  10.742"," 509.298"," 141.472","   2.017"," 116.998","  32.499"," 63","0"," 60"," 64","   0.865","  40.508","  11.252","  45.000","    0","    0"
"03:14:28:099","24791908562766","  40.162","   4.460"," 2130","  700"," 4500"," 2337","   7.104"," 516.416"," 143.449","   4.644"," 121.651","  33.792"," 63","0"," 60"," 83","   0.842","  41.352","  11.487","  45.000","    0","    0"
"03:14:29:105","24794228087930","  41.169","   5.296"," 1604"," 1200"," 3600"," 1621","   7.319"," 523.785"," 145.496","   2.255"," 123.921","  34.423"," 63","0"," 60"," 65","   1.011","  42.370","  11.770","  45.000","    0","    0"
"03:14:30:113","24796550365956","  42.177","   3.614"," 1406"," 1200"," 3000"," 1412","   8.289"," 532.139"," 147.816","   1.780"," 125.715","  34.921"," 67","0"," 60"," 63","   1.037","  43.415","  12.060","  45.000","    0","    0"
"03:14:31:120","24798869671740","  43.184","   3.871"," 1881"," 1200"," 3600"," 2140","   8.278"," 540.472"," 150.131","   2.704"," 128.437","  35.677"," 64","0"," 60"," 70","   0.958","  44.380","  12.328","  45.000","    0","    0"
"03:14:32:129","24801195128622","  44.193","   3.386"," 1351"," 1200"," 2500"," 1356","   3.052"," 543.552"," 150.987","   0.985"," 129.431","  35.953"," 62","0"," 59"," 63","   0.862","  45.250","  12.569","  45.000","    0","    0"
"03:14:33:135","24803512710126","  45.199","   2.877"," 1421"," 1200"," 2900"," 1434","   2.162"," 545.727"," 151.591","   0.892"," 130.328","  36.202"," 62","0"," 59"," 63","   0.835","  46.090","  12.803","  45.000","    0","    0"
