"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:09:56:572","51768416897681","   1.006","   1.619"," 1520"," 1200"," 2900"," 1532","   1.258","   1.265","   0.351","   0.253","   0.255","   0.071"," 35","0"," 32"," 36","   0.570","   0.573","   0.159","  45.000","    0","    0"
"05:09:57:586","51771363207164","   2.020","   2.502"," 2032"," 1200"," 3700"," 2101","   1.722","   3.013","   0.837","   0.757","   1.023","   0.284"," 35","0"," 32"," 52","   0.542","   1.123","   0.312","  45.000","    0","    0"
"05:09:58:589","51774274230014","   3.023","   1.775"," 1483"," 1200"," 2400"," 1488","   1.206","   4.222","   1.173","   0.251","   1.275","   0.354"," 35","0"," 32"," 36","   0.531","   1.656","   0.460","  45.000","    0","    0"
"05:09:59:598","51777205662985","   4.032","   1.685"," 1964"," 1200"," 3400"," 1979","   1.380","   5.615","   1.560","   0.412","   1.690","   0.470"," 35","0"," 32"," 41","   0.531","   2.192","   0.609","  45.000","    0","    0"
"05:10:00:603","51780124770418","   5.038","   3.269"," 2624"," 1200"," 3600"," 2817","   2.395","   8.023","   2.229","   1.392","   3.090","   0.858"," 35","0"," 32"," 48","   0.581","   2.776","   0.771","  45.000","    0","    0"
"05:10:01:614","51783058954987","   6.048","   1.442"," 1546"," 1200"," 2400"," 1554","   1.177","   9.212","   2.559","   0.219","   3.311","   0.920"," 35","0"," 32"," 36","   0.528","   3.309","   0.919","  45.000","    0","    0"
"05:10:02:624","51785993459432","   7.058","   1.572"," 1638"," 1200"," 2900"," 1647","   1.198","  10.422","   2.895","   0.256","   3.570","   0.992"," 35","0"," 32"," 38","   0.525","   3.840","   1.067","  45.000","    0","    0"
"05:10:03:628","51788907683920","   8.062","   1.035"," 1421"," 1200"," 1900"," 1426","   1.086","  11.512","   3.198","   0.140","   3.710","   1.031"," 34","0"," 32"," 36","   0.522","   4.364","   1.212","  45.000","    0","    0"
"05:10:04:632","51791824937529","   9.067","   1.315"," 1529"," 1200"," 2900"," 1531","   1.158","  12.675","   3.521","   0.206","   3.917","   1.088"," 34","0"," 32"," 36","   0.525","   4.892","   1.359","  45.000","    0","    0"
"05:10:05:635","51794735299669","  10.069","   1.423"," 1497"," 1200"," 2900"," 1507","   1.179","  13.857","   3.849","   0.214","   4.132","   1.148"," 35","0"," 32"," 35","   0.536","   5.429","   1.508","  45.000","    0","    0"
"05:10:06:643","51797665199885","  11.078","   1.500"," 1548"," 1200"," 3400"," 1564","   1.219","  15.086","   4.191","   0.224","   4.358","   1.210"," 35","0"," 32"," 35","   0.549","   5.983","   1.662","  45.000","    0","    0"
"05:10:07:654","51800599703972","  12.088","   1.206"," 1452"," 1200"," 2400"," 1454","   1.096","  16.194","   4.498","   0.157","   4.517","   1.255"," 35","0"," 32"," 35","   0.521","   6.509","   1.808","  45.000","    0","    0"
"05:10:08:664","51803534262288","  13.099","   1.153"," 1479"," 1200"," 2100"," 1486","   1.106","  17.312","   4.809","   0.155","   4.673","   1.298"," 35","0"," 32"," 36","   0.523","   7.038","   1.955","  45.000","    0","    0"
"05:10:09:666","51806443990398","  14.101","   1.616"," 2027"," 1200"," 3600"," 2070","   1.372","  18.686","   5.191","   0.429","   5.103","   1.418"," 34","0"," 32"," 41","   0.529","   7.568","   2.102","  45.000","    0","    0"
"05:10:10:668","51809352568800","  15.102","   4.959"," 2461"," 1200"," 3600"," 2622","   2.827","  21.518","   5.977","   1.808","   6.915","   1.921"," 37","0"," 32"," 47","   0.620","   8.189","   2.275","  45.000","    0","    0"
