"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:50:22:488","58813265899320","   1.007","   1.639"," 1683"," 1200"," 3400"," 1691","   1.293","   1.303","   0.362","   0.301","   0.303","   0.084"," 33","0"," 30"," 35","   0.556","   0.560","   0.156","  45.000","    0","    0"
"05:50:23:504","58816217414895","   2.024","   1.712"," 2102"," 1200"," 3700"," 2180","   1.554","   2.882","   0.801","   0.593","   0.906","   0.252"," 32","0"," 30"," 49","   0.527","   1.096","   0.304","  45.000","    0","    0"
"05:50:24:507","58819128636994","   3.026","   1.160"," 1572"," 1200"," 2900"," 1584","   1.116","   4.001","   1.111","   0.176","   1.083","   0.301"," 33","0"," 30"," 34","   0.523","   1.620","   0.450","  45.000","    0","    0"
"05:50:25:517","58822063691801","   4.037","   2.150"," 1910"," 1200"," 3400"," 1923","   1.415","   5.431","   1.509","   0.466","   1.554","   0.432"," 33","0"," 30"," 40","   0.540","   2.166","   0.602","  45.000","    0","    0"
"05:50:26:526","58824993943675","   5.046","   1.629"," 1432"," 1200"," 1900"," 1435","   1.162","   6.604","   1.834","   0.207","   1.762","   0.490"," 33","0"," 30"," 33","   0.526","   2.697","   0.749","  45.000","    0","    0"
"05:50:27:537","58827928612058","   6.056","   1.413"," 1462"," 1200"," 2400"," 1464","   1.166","   7.782","   2.162","   0.211","   1.976","   0.549"," 33","0"," 29"," 33","   0.534","   3.236","   0.899","  45.000","    0","    0"
"05:50:28:544","58830851676463","   7.063","   1.180"," 1403"," 1200"," 1900"," 1400","   1.089","   8.878","   2.466","   0.145","   2.122","   0.589"," 32","0"," 30"," 33","   0.522","   3.761","   1.045","  45.000","    0","    0"
"05:50:29:554","58833786229371","   8.073","   1.221"," 1529"," 1200"," 2900"," 1545","   1.128","  10.018","   2.783","   0.175","   2.298","   0.638"," 33","0"," 30"," 33","   0.523","   4.290","   1.192","  45.000","    0","    0"
"05:50:30:565","58836720787566","   9.084","   1.407"," 1638"," 1200"," 3400"," 1650","   1.172","  11.202","   3.112","   0.228","   2.529","   0.702"," 33","0"," 30"," 34","   0.530","   4.826","   1.340","  45.000","    0","    0"
"05:50:31:570","58839641128666","  10.090","   3.254"," 2570"," 1200"," 3700"," 2780","   2.321","  13.536","   3.760","   1.347","   3.883","   1.079"," 33","0"," 29"," 45","   0.563","   5.391","   1.498","  45.000","    0","    0"
"05:50:32:581","58842575790460","  11.100","   1.510"," 1552"," 1200"," 2400"," 1561","   1.250","  14.799","   4.111","   0.235","   4.120","   1.144"," 33","0"," 30"," 33","   0.560","   5.958","   1.655","  45.000","    0","    0"
"05:50:33:590","58845506264193","  12.109","   1.243"," 1504"," 1200"," 2400"," 1511","   1.139","  15.948","   4.430","   0.197","   4.318","   1.200"," 33","0"," 30"," 34","   0.520","   6.482","   1.801","  45.000","    0","    0"
"05:50:34:591","58848413267854","  13.110","   1.029"," 1543"," 1200"," 2900"," 1549","   1.091","  17.040","   4.733","   0.151","   4.469","   1.241"," 32","0"," 30"," 33","   0.520","   7.002","   1.945","  45.000","    0","    0"
"05:50:35:591","58851318446421","  14.111","   1.662"," 1976"," 1200"," 3400"," 1993","   1.350","  18.391","   5.109","   0.401","   4.871","   1.353"," 32","0"," 30"," 37","   0.532","   7.535","   2.093","  45.000","    0","    0"
"05:50:36:592","58854224264512","  15.111","   1.110"," 1413"," 1200"," 1900"," 1417","   1.090","  19.482","   5.412","   0.149","   5.020","   1.394"," 32","0"," 30"," 33","   0.519","   8.054","   2.237","  45.000","    0","    0"
"05:50:37:593","58857129689212","  16.112","   1.250"," 1483"," 1200"," 2400"," 1488","   1.139","  20.622","   5.728","   0.178","   5.198","   1.444"," 33","0"," 29"," 33","   0.531","   8.585","   2.385","  45.000","    0","    0"
"05:50:38:596","58860043999998","  17.115","   0.969"," 1373"," 1200"," 1900"," 1377","   1.063","  21.688","   6.025","   0.125","   5.324","   1.479"," 32","0"," 30"," 33","   0.517","   9.104","   2.529","  45.000","    0","    0"
"05:50:39:599","58862957315523","  18.119","   0.825"," 1587"," 1200"," 2900"," 1600","   1.092","  22.784","   6.329","   0.135","   5.459","   1.516"," 33","0"," 29"," 34","   0.515","   9.620","   2.672","  45.000","    0","    0"
"05:50:40:606","58865881493536","  19.126","   1.821"," 1533"," 1200"," 2900"," 1536","   1.231","  24.024","   6.673","   0.260","   5.721","   1.589"," 33","0"," 29"," 34","   0.550","  10.174","   2.826","  45.000","    0","    0"
"05:50:41:610","58868794920105","  20.129","   2.718"," 2742"," 1200"," 3600"," 2974","   2.213","  26.244","   7.290","   1.245","   6.971","   1.936"," 33","0"," 30"," 44","   0.554","  10.730","   2.981","  45.000","    0","    0"
"05:50:42:610","58871701388060","  21.130","   1.356"," 1562"," 1200"," 2400"," 1577","   1.181","  27.426","   7.618","   0.217","   7.188","   1.997"," 33","0"," 30"," 33","   0.532","  11.263","   3.128","  45.000","    0","    0"
"05:50:43:612","58874610874200","  22.131","   1.129"," 1572"," 1200"," 2800"," 1575","   1.133","  28.561","   7.934","   0.181","   7.370","   2.047"," 33","0"," 30"," 33","   0.522","  11.786","   3.274","  45.000","    0","    0"
"05:50:44:623","58877544979103","  23.142","   1.213"," 1571"," 1200"," 2900"," 1587","   1.124","  29.697","   8.249","   0.184","   7.556","   2.099"," 32","0"," 29"," 35","   0.524","  12.316","   3.421","  45.000","    0","    0"
"05:50:45:632","58880475696526","  24.151","   1.644"," 1982"," 1200"," 3400"," 1994","   1.351","  31.060","   8.628","   0.397","   7.957","   2.210"," 33","0"," 29"," 38","   0.530","  12.851","   3.570","  45.000","    0","    0"
"05:50:46:633","58883382050252","  25.152","   1.464"," 1648"," 1200"," 2900"," 1658","   1.171","  32.232","   8.953","   0.224","   8.181","   2.272"," 32","0"," 29"," 35","   0.525","  13.376","   3.715","  45.000","    0","    0"
"05:50:47:633","58886287052287","  26.152","   1.171"," 1484"," 1200"," 2400"," 1488","   1.149","  33.382","   9.273","   0.179","   8.360","   2.322"," 32","0"," 29"," 33","   0.528","  13.904","   3.862","  45.000","    0","    0"
"05:50:48:633","58889191919738","  27.153","   1.047"," 1429"," 1200"," 2400"," 1433","   1.078","  34.460","   9.572","   0.133","   8.493","   2.359"," 33","0"," 30"," 33","   0.521","  14.425","   4.007","  45.000","    0","    0"
"05:50:49:634","58892096752898","  28.153","   1.298"," 1584"," 1200"," 2900"," 1589","   1.154","  35.615","   9.893","   0.205","   8.698","   2.416"," 32","0"," 29"," 33","   0.527","  14.952","   4.153","  45.000","    0","    0"
"05:50:50:634","58895001886414","  29.153","   1.361"," 1607"," 1200"," 2900"," 1616","   1.155","  36.769","  10.214","   0.204","   8.903","   2.473"," 33","0"," 29"," 34","   0.528","  15.481","   4.300","  45.000","    0","    0"
"05:50:51:634","58897907114225","  30.154","   2.727"," 2748"," 1200"," 3600"," 2966","   2.217","  38.987","  10.830","   1.263","  10.166","   2.824"," 33","0"," 29"," 45","   0.553","  16.033","   4.454","  45.000","    0","    0"
