"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:38:14:261","67165540102606","   1.010","   1.281"," 1560"," 1200"," 2700"," 1594","   1.183","   1.195","   0.332","   0.195","   0.197","   0.055"," 33","0"," 30"," 36","   0.553","   0.558","   0.155","  45.000","    0","    0"
"06:38:15:278","67168491674082","   2.027","   2.028"," 2004"," 1200"," 3500"," 2281","   1.493","   2.712","   0.753","   0.547","   0.753","   0.209"," 33","0"," 30"," 47","   0.532","   1.099","   0.305","  45.000","    0","    0"
"06:38:16:285","67171416258255","   3.034","   1.103"," 1565"," 1200"," 2600"," 1593","   1.125","   3.845","   1.068","   0.162","   0.917","   0.255"," 33","0"," 30"," 34","   0.524","   1.627","   0.452","  45.000","    0","    0"
"06:38:17:296","67174351190330","   4.044","   0.970"," 1451"," 1200"," 1900"," 1455","   1.076","   4.932","   1.370","   0.133","   1.051","   0.292"," 32","0"," 29"," 33","   0.520","   2.152","   0.598","  45.000","    0","    0"
"06:38:18:297","67177258571577","   5.046","   2.093"," 1856"," 1200"," 2900"," 2038","   1.357","   6.291","   1.748","   0.410","   1.462","   0.406"," 33","0"," 29"," 36","   0.535","   2.688","   0.747","  45.000","    0","    0"
"06:38:19:301","67180174633865","   6.050","   1.457"," 1533"," 1200"," 2700"," 1540","   1.172","   7.469","   2.075","   0.204","   1.667","   0.463"," 33","0"," 29"," 33","   0.534","   3.224","   0.896","  45.000","    0","    0"
"06:38:20:306","67183094829783","   7.055","   1.427"," 1513"," 1100"," 2700"," 1532","   1.166","   8.641","   2.400","   0.220","   1.888","   0.524"," 32","0"," 29"," 33","   0.523","   3.749","   1.042","  45.000","    0","    0"
"06:38:21:317","67186029302073","   8.066","   1.119"," 1566"," 1200"," 2700"," 1582","   1.121","   9.773","   2.715","   0.181","   2.071","   0.575"," 32","0"," 29"," 33","   0.522","   4.276","   1.188","  45.000","    0","    0"
"06:38:22:319","67188938464550","   9.068","   2.947"," 2597"," 1200"," 3500"," 2925","   2.115","  11.892","   3.303","   1.157","   3.230","   0.897"," 33","0"," 29"," 44","   0.556","   4.834","   1.343","  45.000","    0","    0"
"06:38:23:329","67191873068616","  10.078","   0.995"," 1474"," 1200"," 2400"," 1488","   1.075","  12.978","   3.605","   0.138","   3.370","   0.936"," 33","0"," 30"," 33","   0.517","   5.356","   1.488","  45.000","    0","    0"
"06:38:24:336","67194796765895","  11.085","   1.161"," 1494"," 1200"," 2400"," 1498","   1.191","  14.177","   3.938","   0.180","   3.551","   0.986"," 33","0"," 29"," 33","   0.552","   5.912","   1.642","  45.000","    0","    0"
"06:38:25:347","67197731224965","  12.095","   1.401"," 1672"," 1200"," 2800"," 1692","   1.182","  15.372","   4.270","   0.239","   3.793","   1.054"," 33","0"," 29"," 33","   0.524","   6.442","   1.789","  45.000","    0","    0"
"06:38:26:357","67200665615281","  13.106","   1.069"," 1528"," 1200"," 2700"," 1538","   1.100","  16.484","   4.579","   0.155","   3.950","   1.097"," 33","0"," 29"," 33","   0.521","   6.968","   1.936","  45.000","    0","    0"
"06:38:27:363","67203587452076","  14.112","   0.988"," 1427"," 1200"," 1900"," 1429","   1.071","  17.561","   4.878","   0.131","   4.082","   1.134"," 33","0"," 29"," 33","   0.520","   7.492","   2.081","  45.000","    0","    0"
"06:38:28:370","67206510247964","  15.118","   2.408"," 1859"," 1200"," 2900"," 2026","   1.440","  19.011","   5.281","   0.473","   4.559","   1.266"," 32","0"," 29"," 35","   0.538","   8.033","   2.231","  45.000","    0","    0"
