"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:44:25:913","78686509502594","   1.000","   1.459"," 1660"," 1200"," 2700"," 1701","   1.251","   1.251","   0.347","   0.258","   0.258","   0.072"," 32","0"," 29"," 35","   0.557","   0.557","   0.155","  45.000","    0","    0"
"07:44:26:921","78689434550639","   2.007","   1.999"," 2007"," 1200"," 3500"," 2110","   1.524","   2.786","   0.774","   0.579","   0.841","   0.234"," 33","0"," 29"," 49","   0.533","   1.094","   0.304","  45.000","    0","    0"
"07:44:27:924","78692349497388","   3.011","   1.368"," 1572"," 1200"," 2700"," 1591","   1.158","   3.948","   1.097","   0.219","   1.061","   0.295"," 33","0"," 29"," 33","   0.521","   1.616","   0.449","  45.000","    0","    0"
"07:44:28:930","78695270921061","   4.017","   0.968"," 1497"," 1200"," 2800"," 1529","   1.068","   5.022","   1.395","   0.135","   1.197","   0.333"," 33","0"," 29"," 33","   0.518","   2.137","   0.594","  45.000","    0","    0"
"07:44:29:934","78698186374106","   5.021","   1.060"," 1547"," 1200"," 2700"," 1567","   1.101","   6.128","   1.702","   0.158","   1.356","   0.377"," 33","0"," 29"," 33","   0.520","   2.660","   0.739","  45.000","    0","    0"
"07:44:30:935","78701093332367","   6.022","   0.948"," 1533"," 1200"," 2700"," 1547","   1.120","   7.249","   2.014","   0.151","   1.507","   0.419"," 32","0"," 29"," 34","   0.528","   3.188","   0.885","  45.000","    0","    0"
"07:44:31:946","78704027850977","   7.033","   2.939"," 2572"," 1200"," 3500"," 2933","   2.077","   9.348","   2.597","   1.122","   2.641","   0.734"," 32","0"," 29"," 45","   0.555","   3.748","   1.041","  45.000","    0","    0"
"07:44:32:953","78706951432193","   8.039","   3.396"," 1766"," 1200"," 2700"," 1862","   1.568","  10.927","   3.035","   0.591","   3.236","   0.899"," 33","0"," 29"," 37","   0.555","   4.307","   1.196","  45.000","    0","    0"
"07:44:33:953","78709856552532","   9.040","  14.751"," 2645"," 1200"," 3500"," 3005","   4.686","  15.614","   4.337","   3.653","   6.890","   1.914"," 44","0"," 30"," 50","   0.685","   4.992","   1.387","  45.000","    0","    0"
"07:44:34:959","78712776287586","  10.045","  12.859"," 1674"," 1200"," 3500"," 1715","   3.027","  18.658","   5.183","   1.992","   8.893","   2.470"," 33","0"," 30"," 44","   0.633","   5.629","   1.564","  45.000","    0","    0"
"07:44:35:969","78715710964502","  11.056","   1.337"," 1588"," 1200"," 2700"," 1598","   1.232","  19.904","   5.529","   0.216","   9.111","   2.531"," 33","0"," 30"," 33","   0.558","   6.192","   1.720","  45.000","    0","    0"
"07:44:36:970","78718616726254","  12.056","   1.339"," 1507"," 1200"," 2400"," 1520","   1.149","  21.053","   5.848","   0.192","   9.303","   2.584"," 32","0"," 30"," 33","   0.527","   6.719","   1.867","  45.000","    0","    0"
"07:44:37:980","78721551325329","  13.067","   1.237"," 1466"," 1200"," 2400"," 1473","   1.104","  22.169","   6.158","   0.160","   9.465","   2.629"," 32","0"," 30"," 33","   0.522","   7.247","   2.013","  45.000","    0","    0"
"07:44:38:984","78724465035633","  14.070","   1.453"," 1674"," 1200"," 2900"," 1691","   1.217","  23.390","   6.497","   0.259","   9.725","   2.701"," 33","0"," 30"," 35","   0.526","   7.775","   2.160","  45.000","    0","    0"
"07:44:39:994","78727399520992","  15.081","   1.871"," 1436"," 1200"," 2700"," 1449","   1.220","  24.623","   6.840","   0.248","   9.975","   2.771"," 33","0"," 30"," 33","   0.552","   8.332","   2.314","  45.000","    0","    0"
"07:44:41:004","78730333642906","  16.091","   1.128"," 1536"," 1200"," 2600"," 1557","   1.137","  25.772","   7.159","   0.163","  10.140","   2.817"," 33","0"," 30"," 33","   0.531","   8.868","   2.463","  45.000","    0","    0"
"07:44:42:012","78733259848574","  17.099","   2.944"," 2628"," 1200"," 3500"," 2994","   2.120","  27.908","   7.752","   1.157","  11.306","   3.141"," 32","0"," 30"," 45","   0.555","   9.427","   2.619","  45.000","    0","    0"
"07:44:43:023","78736194388665","  18.109","   2.337"," 1745"," 1200"," 2700"," 1876","   1.349","  29.271","   8.131","   0.408","  11.718","   3.255"," 32","0"," 30"," 36","   0.535","   9.968","   2.769","  45.000","    0","    0"
"07:44:44:029","78739116600914","  19.116","   0.966"," 1391"," 1200"," 2500"," 1399","   1.076","  30.354","   8.432","   0.133","  11.852","   3.292"," 33","0"," 30"," 33","   0.518","  10.489","   2.914","  45.000","    0","    0"
"07:44:45:039","78742051165806","  20.126","   0.995"," 1547"," 1200"," 2600"," 1572","   1.098","  31.464","   8.740","   0.159","  12.012","   3.337"," 32","0"," 30"," 33","   0.520","  11.015","   3.060","  45.000","    0","    0"
"07:44:46:050","78744985811789","  21.137","   1.102"," 1522"," 1200"," 2700"," 1538","   1.131","  32.607","   9.057","   0.162","  12.176","   3.382"," 32","0"," 29"," 34","   0.529","  11.549","   3.208","  45.000","    0","    0"
"07:44:47:060","78747920290313","  22.147","   1.257"," 1495"," 1200"," 2400"," 1502","   1.131","  33.749","   9.375","   0.183","  12.361","   3.434"," 32","0"," 29"," 33","   0.525","  12.080","   3.355","  45.000","    0","    0"
"07:44:48:071","78750854766444","  23.158","   0.978"," 1444"," 1200"," 2400"," 1455","   1.065","  34.825","   9.674","   0.129","  12.492","   3.470"," 33","0"," 29"," 33","   0.516","  12.601","   3.500","  45.000","    0","    0"
"07:44:49:073","78753764318668","  24.160","   0.899"," 1490"," 1200"," 2600"," 1509","   1.075","  35.902","   9.973","   0.126","  12.618","   3.505"," 33","0"," 30"," 33","   0.517","  13.119","   3.644","  45.000","    0","    0"
"07:44:50:080","78756690285716","  25.167","   1.429"," 1540"," 1200"," 2800"," 1550","   1.161","  37.072","  10.298","   0.212","  12.831","   3.564"," 32","0"," 30"," 33","   0.526","  13.649","   3.791","  45.000","    0","    0"
"07:44:51:084","78759605470714","  26.171","   1.403"," 1541"," 1200"," 2600"," 1569","   1.202","  38.278","  10.633","   0.212","  13.044","   3.623"," 33","0"," 29"," 33","   0.532","  14.183","   3.940","  45.000","    0","    0"
"07:44:52:095","78762540074899","  27.182","   3.092"," 2552"," 1200"," 3600"," 2913","   2.126","  40.427","  11.230","   1.159","  14.216","   3.949"," 33","0"," 30"," 45","   0.559","  14.748","   4.097","  45.000","    0","    0"
"07:44:53:105","78765474628210","  28.192","   1.960"," 1893"," 1200"," 2800"," 2078","   1.367","  41.809","  11.614","   0.409","  14.629","   4.064"," 33","0"," 30"," 36","   0.534","  15.288","   4.247","  45.000","    0","    0"
"07:44:54:112","78768398226056","  29.199","   0.813"," 1375"," 1200"," 1900"," 1375","   1.044","  42.859","  11.905","   0.100","  14.730","   4.092"," 33","0"," 29"," 33","   0.514","  15.805","   4.390","  45.000","    0","    0"
"07:44:55:123","78771332685825","  30.209","   1.218"," 1538"," 1200"," 2700"," 1556","   1.122","  43.993","  12.220","   0.175","  14.908","   4.141"," 32","0"," 29"," 33","   0.526","  16.336","   4.538","  45.000","    0","    0"
"07:44:56:133","78774267209935","  31.220","   1.398"," 1798"," 1200"," 2700"," 1832","   1.218","  45.223","  12.562","   0.249","  15.159","   4.211"," 32","0"," 30"," 35","   0.533","  16.875","   4.687","  45.000","    0","    0"
"07:44:57:134","78777172729781","  32.220","   1.407"," 1536"," 1200"," 2400"," 1549","   1.152","  46.376","  12.882","   0.196","  15.355","   4.265"," 33","0"," 30"," 33","   0.528","  17.403","   4.834","  45.000","    0","    0"
