"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:15:01:314","31744619804936","   1.010","   1.950"," 1959"," 1200"," 2800"," 2143","   1.425","   1.440","   0.400","   0.434","   0.438","   0.122"," 33","0"," 31"," 38","   0.561","   0.567","   0.157","  45.000","    0","    0"
"03:15:02:322","31747548604643","   2.019","   2.425"," 2002"," 1200"," 3500"," 2147","   1.619","   3.073","   0.854","   0.662","   1.106","   0.307"," 34","0"," 30"," 48","   0.540","   1.112","   0.309","  45.000","    0","    0"
"03:15:03:333","31750484223645","   3.030","   1.644"," 1667"," 1200"," 2700"," 1693","   1.220","   4.306","   1.196","   0.266","   1.375","   0.382"," 33","0"," 30"," 37","   0.525","   1.643","   0.456","  45.000","    0","    0"
"03:15:04:344","31753419141619","   4.040","   0.936"," 1417"," 1200"," 2400"," 1420","   1.072","   5.390","   1.497","   0.133","   1.509","   0.419"," 33","0"," 30"," 34","   0.519","   2.167","   0.602","  45.000","    0","    0"
"03:15:05:354","31756353655718","   5.051","   1.303"," 1703"," 1200"," 2700"," 1732","   1.186","   6.588","   1.830","   0.239","   1.750","   0.486"," 33","0"," 30"," 35","   0.523","   2.695","   0.749","  45.000","    0","    0"
"03:15:06:365","31759288299684","   6.061","   0.854"," 1569"," 1200"," 2600"," 1598","   1.105","   7.705","   2.140","   0.150","   1.902","   0.528"," 33","0"," 30"," 34","   0.525","   3.226","   0.896","  45.000","    0","    0"
"03:15:07:374","31762218915888","   7.071","   0.941"," 1433"," 1200"," 2400"," 1438","   1.071","   8.786","   2.441","   0.129","   2.032","   0.564"," 33","0"," 30"," 34","   0.516","   3.747","   1.041","  45.000","    0","    0"
"03:15:08:375","31765125394914","   8.071","   0.898"," 1523"," 1200"," 2700"," 1547","   1.090","   9.877","   2.744","   0.152","   2.184","   0.607"," 33","0"," 30"," 34","   0.518","   4.265","   1.185","  45.000","    0","    0"
"03:15:09:386","31768059947091","   9.082","   2.649"," 2697"," 1200"," 3500"," 3094","   2.059","  11.958","   3.322","   1.096","   3.292","   0.914"," 34","0"," 30"," 46","   0.552","   4.823","   1.340","  45.000","    0","    0"
"03:15:10:396","31770994553231","  10.092","   1.554"," 1468"," 1200"," 2700"," 1479","   1.174","  13.144","   3.651","   0.204","   3.498","   0.972"," 33","0"," 30"," 34","   0.547","   5.376","   1.493","  45.000","    0","    0"
"03:15:11:407","31773929092389","  11.103","   1.913"," 1928"," 1200"," 2700"," 2067","   1.418","  14.577","   4.049","   0.401","   3.903","   1.084"," 34","0"," 30"," 38","   0.565","   5.946","   1.652","  45.000","    0","    0"
"03:15:12:416","31776861339415","  12.113","   1.233"," 1472"," 1200"," 1900"," 1481","   1.136","  15.724","   4.368","   0.180","   4.085","   1.135"," 33","0"," 30"," 34","   0.528","   6.479","   1.800","  45.000","    0","    0"
"03:15:13:427","31779795732677","  13.123","   0.888"," 1362"," 1200"," 1900"," 1364","   1.064","  16.799","   4.666","   0.126","   4.213","   1.170"," 33","0"," 30"," 34","   0.517","   7.001","   1.945","  45.000","    0","    0"
"03:15:14:428","31782702182421","  14.124","   0.985"," 1418"," 1200"," 2200"," 1442","   1.049","  17.849","   4.958","   0.122","   4.335","   1.204"," 33","0"," 30"," 34","   0.518","   7.520","   2.089","  45.000","    0","    0"
"03:15:15:436","31785630824716","  15.133","   1.366"," 1553"," 1200"," 2700"," 1572","   1.150","  19.009","   5.280","   0.201","   4.537","   1.260"," 33","0"," 30"," 35","   0.525","   8.050","   2.236","  45.000","    0","    0"
"03:15:16:438","31788540259506","  16.134","   0.869"," 1531"," 1200"," 2600"," 1558","   1.113","  20.124","   5.590","   0.146","   4.683","   1.301"," 34","0"," 30"," 35","   0.524","   8.575","   2.382","  45.000","    0","    0"
"03:15:17:449","31791474822329","  17.145","   1.012"," 1555"," 1200"," 2400"," 1566","   1.105","  21.240","   5.900","   0.164","   4.849","   1.347"," 33","0"," 30"," 33","   0.517","   9.097","   2.527","  45.000","    0","    0"
"03:15:18:449","31794380267404","  18.145","   1.161"," 1800"," 1200"," 3200"," 1865","   1.195","  22.435","   6.232","   0.248","   5.097","   1.416"," 33","0"," 30"," 39","   0.520","   9.617","   2.671","  45.000","    0","    0"
"03:15:19:460","31797314900647","  19.156","   2.743"," 2775"," 1200"," 3500"," 3023","   2.177","  24.636","   6.843","   1.226","   6.336","   1.760"," 34","0"," 30"," 45","   0.555","  10.178","   2.827","  45.000","    0","    0"
"03:15:20:470","31800249409619","  20.167","   0.861"," 1579"," 1200"," 2600"," 1609","   1.101","  25.748","   7.152","   0.153","   6.490","   1.803"," 34","0"," 30"," 34","   0.517","  10.700","   2.972","  45.000","    0","    0"
"03:15:21:475","31803168053334","  21.172","   1.659"," 1938"," 1200"," 2800"," 2203","   1.317","  27.071","   7.520","   0.356","   6.848","   1.902"," 34","0"," 30"," 37","   0.536","  11.239","   3.122","  45.000","    0","    0"
"03:15:22:486","31806102448715","  22.182","   0.873"," 1503"," 1200"," 2400"," 1514","   1.093","  28.175","   7.826","   0.143","   6.992","   1.942"," 34","0"," 30"," 34","   0.518","  11.762","   3.267","  45.000","    0","    0"
"03:15:23:490","31809019304818","  23.186","   0.949"," 1411"," 1200"," 1900"," 1416","   1.084","  29.264","   8.129","   0.144","   7.136","   1.982"," 33","0"," 30"," 34","   0.518","  12.282","   3.412","  45.000","    0","    0"
"03:15:24:498","31811945200040","  24.194","   0.928"," 1562"," 1200"," 2700"," 1581","   1.084","  30.357","   8.432","   0.140","   7.277","   2.021"," 33","0"," 30"," 35","   0.518","  12.804","   3.557","  45.000","    0","    0"
"03:15:25:500","31814855420501","  25.196","   2.655"," 1881"," 1200"," 3400"," 1890","   1.478","  31.838","   8.844","   0.440","   7.718","   2.144"," 34","0"," 30"," 35","   0.523","  13.328","   3.702","  45.000","    0","    0"
"03:15:26:510","31817789993154","  26.207","   0.821"," 1389"," 1200"," 1900"," 1392","   1.085","  32.934","   9.148","   0.117","   7.836","   2.177"," 33","0"," 30"," 34","   0.523","  13.857","   3.849","  45.000","    0","    0"
"03:15:27:521","31820724598012","  27.217","   0.983"," 1463"," 1200"," 2400"," 1472","   1.092","  34.038","   9.455","   0.139","   7.977","   2.216"," 33","0"," 30"," 34","   0.517","  14.379","   3.994","  45.000","    0","    0"
"03:15:28:531","31823659193165","  28.228","   0.926"," 1517"," 1200"," 2400"," 1524","   1.069","  35.118","   9.755","   0.136","   8.114","   2.254"," 33","0"," 30"," 33","   0.518","  14.902","   4.140","  45.000","    0","    0"
"03:15:29:542","31826593017681","  29.238","   2.666"," 2776"," 1200"," 3500"," 3184","   2.112","  37.252","  10.348","   1.159","   9.285","   2.579"," 33","0"," 30"," 44","   0.551","  15.459","   4.294","  45.000","    0","    0"
"03:15:30:547","31829514144121","  30.244","   3.356"," 1414"," 1200"," 2700"," 1425","   1.328","  38.588","  10.719","   0.384","   9.671","   2.686"," 33","0"," 30"," 35","   0.532","  15.994","   4.443","  45.000","    0","    0"
"03:15:31:550","31832426284019","  31.247","   1.699"," 1841"," 1200"," 2800"," 2054","   1.296","  39.887","  11.080","   0.335","  10.008","   2.780"," 33","0"," 30"," 37","   0.536","  16.531","   4.592","  45.000","    0","    0"
"03:15:32:561","31835360786966","  32.257","   1.494"," 1551"," 1200"," 2400"," 1559","   1.158","  41.058","  11.405","   0.215","  10.225","   2.840"," 33","0"," 30"," 34","   0.525","  17.061","   4.739","  45.000","    0","    0"
"03:15:33:569","31838288473349","  33.265","   1.498"," 1579"," 1100"," 3300"," 1590","   1.204","  42.271","  11.742","   0.248","  10.474","   2.910"," 33","0"," 30"," 38","   0.521","  17.587","   4.885","  45.000","    0","    0"
"03:15:34:574","31841205984060","  34.270","   0.834"," 1556"," 1200"," 2700"," 1569","   1.091","  43.367","  12.046","   0.137","  10.612","   2.948"," 33","0"," 30"," 34","   0.516","  18.105","   5.029","  45.000","    0","    0"
"03:15:35:575","31844114209448","  35.272","   1.509"," 1745"," 1200"," 2700"," 1779","   1.213","  44.582","  12.384","   0.267","  10.879","   3.022"," 33","0"," 30"," 34","   0.522","  18.628","   5.175","  45.000","    0","    0"
"03:15:36:586","31847048741320","  36.282","   0.689"," 1369"," 1200"," 1900"," 1371","   1.059","  45.652","  12.681","   0.100","  10.981","   3.050"," 33","0"," 30"," 33","   0.521","  19.155","   5.321","  45.000","    0","    0"
"03:15:37:587","31849956828672","  37.283","   0.931"," 1471"," 1200"," 2400"," 1479","   1.084","  46.738","  12.983","   0.150","  11.131","   3.092"," 33","0"," 30"," 33","   0.515","  19.670","   5.464","  45.000","    0","    0"
"03:15:38:598","31852891451882","  38.294","   0.990"," 1488"," 1200"," 2400"," 1499","   1.072","  47.821","  13.284","   0.136","  11.268","   3.130"," 33","0"," 30"," 34","   0.518","  20.194","   5.609","  45.000","    0","    0"
"03:15:39:608","31855825896619","  39.304","   2.655"," 2724"," 1200"," 3500"," 3096","   2.086","  49.929","  13.869","   1.131","  12.411","   3.448"," 33","0"," 30"," 47","   0.550","  20.750","   5.764","  45.000","    0","    0"
"03:15:40:617","31858755604907","  40.313","   1.598"," 1567"," 1200"," 2700"," 1589","   1.228","  51.168","  14.213","   0.241","  12.655","   3.515"," 33","0"," 30"," 35","   0.546","  21.301","   5.917","  45.000","    0","    0"
"03:15:41:628","31861690407217","  41.324","   1.319"," 1945"," 1200"," 2900"," 2214","   1.266","  52.447","  14.569","   0.293","  12.951","   3.598"," 33","0"," 30"," 36","   0.530","  21.837","   6.066","  45.000","    0","    0"
"03:15:42:638","31864624823146","  42.334","   1.181"," 1573"," 1200"," 2700"," 1593","   1.141","  53.600","  14.889","   0.198","  13.152","   3.653"," 33","0"," 30"," 34","   0.522","  22.364","   6.212","  45.000","    0","    0"
"03:15:43:649","31867559407042","  43.345","   0.835"," 1406"," 1200"," 2600"," 1415","   1.058","  54.669","  15.186","   0.117","  13.270","   3.686"," 33","0"," 30"," 33","   0.517","  22.886","   6.357","  45.000","    0","    0"
"03:15:44:656","31870483765342","  44.352","   1.180"," 1574"," 1200"," 2600"," 1597","   1.141","  55.818","  15.505","   0.200","  13.471","   3.742"," 33","0"," 30"," 34","   0.524","  23.414","   6.504","  45.000","    0","    0"
"03:15:45:666","31873418350676","  45.362","   0.946"," 1561"," 1200"," 2700"," 1587","   1.112","  56.942","  15.817","   0.159","  13.632","   3.787"," 33","0"," 30"," 34","   0.519","  23.938","   6.649","  45.000","    0","    0"
"03:15:46:673","31876342517699","  46.369","   0.647"," 1365"," 1200"," 1900"," 1372","   1.086","  58.035","  16.121","   0.107","  13.740","   3.817"," 33","0"," 30"," 34","   0.520","  24.462","   6.795","  45.000","    0","    0"
"03:15:47:675","31879252822176","  47.372","   0.832"," 1450"," 1200"," 2400"," 1460","   1.062","  59.100","  16.417","   0.119","  13.859","   3.850"," 33","0"," 30"," 34","   0.514","  24.977","   6.938","  45.000","    0","    0"
"03:15:48:676","31882158260340","  48.372","   1.067"," 1502"," 1200"," 2600"," 1517","   1.078","  60.179","  16.716","   0.145","  14.004","   3.890"," 33","0"," 30"," 34","   0.520","  25.498","   7.083","  45.000","    0","    0"
"03:15:49:686","31885092662790","  49.383","   2.732"," 2689"," 1200"," 3500"," 3097","   2.085","  62.285","  17.301","   1.124","  15.140","   4.205"," 33","0"," 30"," 43","   0.551","  26.054","   7.237","  45.000","    0","    0"
"03:15:50:697","31888027157192","  50.393","   0.997"," 1570"," 1200"," 2700"," 1591","   1.119","  63.416","  17.615","   0.169","  15.311","   4.253"," 33","0"," 30"," 34","   0.521","  26.580","   7.383","  45.000","    0","    0"
"03:15:51:703","31890950599639","  51.400","   1.397"," 1900"," 1200"," 2700"," 2077","   1.258","  64.682","  17.967","   0.279","  15.592","   4.331"," 33","0"," 30"," 37","   0.532","  27.116","   7.532","  45.000","    0","    0"
"03:15:52:710","31893874328076","  52.407","   1.278"," 1558"," 1200"," 2400"," 1567","   1.138","  65.827","  18.285","   0.198","  15.791","   4.386"," 33","0"," 30"," 34","   0.521","  27.640","   7.678","  45.000","    0","    0"
"03:15:53:721","31896809181568","  53.417","   0.650"," 1337"," 1200"," 1900"," 1339","   1.028","  66.866","  18.574","   0.100","  15.892","   4.414"," 33","0"," 30"," 33","   0.512","  28.158","   7.822","  45.000","    0","    0"
"03:15:54:731","31899743673261","  54.428","   0.929"," 1514"," 1200"," 2700"," 1524","   1.073","  67.951","  18.875","   0.142","  16.036","   4.454"," 33","0"," 30"," 34","   0.518","  28.681","   7.967","  45.000","    0","    0"
"03:15:55:733","31902651713163","  55.429","   1.033"," 1586"," 1200"," 2600"," 1611","   1.107","  69.059","  19.183","   0.168","  16.204","   4.501"," 33","0"," 30"," 34","   0.521","  29.202","   8.112","  45.000","    0","    0"
"03:15:56:742","31905582610047","  56.438","   0.719"," 1376"," 1200"," 1900"," 1375","   1.073","  70.143","  19.484","   0.101","  16.306","   4.529"," 33","0"," 30"," 33","   0.521","  29.728","   8.258","  45.000","    0","    0"
