"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:31:31:596","34620391055775","   1.005","   1.482"," 1586"," 1200"," 2700"," 1619","   1.244","   1.251","   0.347","   0.251","   0.252","   0.070"," 34","0"," 32"," 37","   0.554","   0.557","   0.155","  45.000","    0","    0"
"03:31:32:606","34623325394780","   2.016","   2.669"," 2009"," 1200"," 3500"," 2200","   1.651","   2.919","   0.811","   0.691","   0.950","   0.264"," 35","0"," 32"," 49","   0.542","   1.105","   0.307","  45.000","    0","    0"
"03:31:33:613","34626250191016","   3.023","   1.876"," 1875"," 1100"," 2900"," 2037","   1.332","   4.261","   1.184","   0.383","   1.336","   0.371"," 34","0"," 32"," 37","   0.531","   1.641","   0.456","  45.000","    0","    0"
"03:31:34:619","34629171576288","   4.029","   1.543"," 2029"," 1200"," 3500"," 2233","   1.380","   5.650","   1.569","   0.432","   1.770","   0.492"," 34","0"," 31"," 44","   0.526","   2.170","   0.603","  45.000","    0","    0"
"03:31:35:630","34632106021201","   5.040","   1.286"," 1702"," 1200"," 2700"," 1739","   1.185","   6.847","   1.902","   0.239","   2.011","   0.559"," 34","0"," 31"," 35","   0.522","   2.697","   0.749","  45.000","    0","    0"
"03:31:36:633","34635018717731","   6.043","   0.809"," 1386"," 1200"," 1900"," 1386","   1.081","   7.931","   2.203","   0.117","   2.128","   0.591"," 34","0"," 31"," 35","   0.524","   3.223","   0.895","  45.000","    0","    0"
"03:31:37:638","34637937768729","   7.048","   3.530"," 2693"," 1200"," 3500"," 3008","   2.535","  10.480","   2.911","   1.532","   3.669","   1.019"," 36","0"," 31"," 45","   0.583","   3.809","   1.058","  45.000","    0","    0"
"03:31:38:640","34640846597472","   8.049","   0.911"," 1408"," 1200"," 3100"," 1405","   1.078","  11.560","   3.211","   0.123","   3.792","   1.053"," 35","0"," 32"," 35","   0.517","   4.327","   1.202","  45.000","    0","    0"
"03:31:39:640","34643752204822","   9.050","   1.094"," 1638"," 1200"," 2700"," 1656","   1.139","  12.700","   3.528","   0.199","   3.990","   1.108"," 35","0"," 32"," 35","   0.522","   4.849","   1.347","  45.000","    0","    0"
"03:31:40:651","34646686836101","  10.060","   1.583"," 1560"," 1200"," 2700"," 1590","   1.238","  13.951","   3.875","   0.264","   4.257","   1.183"," 34","0"," 31"," 35","   0.544","   5.399","   1.500","  45.000","    0","    0"
