#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,25-09-23T00-46-49,micro,api-baseline,62.298138,241.189134,57.353397,17.465668,868.280884,206.472229,62.876404,72.0
1,25-09-23T00-46-49,micro,api-monitor,62.338235,208.038618,91.884800,15.968967,748.939026,330.785278,57.488281,70.03225806451613
1,25-09-23T00-46-49,micro,frontend-baseline,14.065796,57.414958,12.419705,3.840095,206.693848,44.710938,13.824341,74.35714285714286
1,25-09-23T00-46-49,micro,frontend-monitor,14.080952,59.656135,14.147491,3.889381,214.762085,50.930969,14.001770,74.28571428571429
10,25-09-23T00-46-49,micro,api-baseline,62.235423,132.941572,60.124223,16.767154,478.589661,216.447205,60.361755,63.45161290322581
10,25-09-23T00-46-49,micro,api-monitor,62.351789,188.631134,48.855947,17.183228,679.072083,175.881409,61.859619,70.79032258064517
10,25-09-23T00-46-49,micro,frontend-baseline,14.080705,57.889353,12.593163,3.858354,208.401672,45.335388,13.890076,73.92857142857143
10,25-09-23T00-46-49,micro,frontend-monitor,14.082162,58.801083,13.745202,3.849826,211.683899,49.482727,13.859375,73.85714285714286
2,25-09-23T00-46-49,micro,api-baseline,62.286526,251.113790,57.424130,16.965078,904.009644,206.726868,61.074280,73.70967741935483
2,25-09-23T00-46-49,micro,api-monitor,62.317113,165.719265,45.419973,16.787584,596.589355,163.511902,60.435303,68.41935483870968
2,25-09-23T00-46-49,micro,frontend-baseline,14.037647,120.977919,68.931902,4.184486,435.520508,248.154846,15.064148,79.35714285714286
2,25-09-23T00-46-49,micro,frontend-monitor,14.090178,41.812727,11.608819,3.776822,150.525818,41.791748,13.596558,70.28571428571429
3,25-09-23T00-46-49,micro,api-baseline,62.305569,195.445133,53.891059,15.788981,703.602478,194.007812,56.840332,69.37096774193549
3,25-09-23T00-46-49,micro,api-monitor,62.364682,192.402835,47.723067,16.628638,692.650208,171.803040,59.863098,70.48387096774194
3,25-09-23T00-46-49,micro,frontend-baseline,14.077935,58.073357,12.480537,3.835212,209.064087,44.929932,13.806763,73.85714285714286
3,25-09-23T00-46-49,micro,frontend-monitor,14.082391,53.805169,13.649377,4.021623,193.698608,49.137756,14.477844,67.0
4,25-09-23T00-46-49,micro,api-baseline,62.328171,258.677436,57.727051,16.979404,931.238770,207.817383,61.125854,73.69354838709677
4,25-09-23T00-46-49,micro,api-monitor,62.330466,191.434038,46.187981,16.013099,689.162537,166.276733,57.647156,71.16129032258064
4,25-09-23T00-46-49,micro,frontend-baseline,14.065087,58.025631,12.725627,3.838128,208.892273,45.812256,13.817261,73.57142857142857
4,25-09-23T00-46-49,micro,frontend-monitor,14.077992,58.329230,13.732418,3.863475,209.985229,49.436707,13.908508,75.64285714285714
5,25-09-23T00-46-49,micro,api-baseline,62.310105,254.117601,57.993401,17.163832,914.823364,208.776245,61.789795,73.83870967741936
5,25-09-23T00-46-49,micro,api-monitor,62.327264,191.270735,47.144301,15.824059,688.574646,169.719482,56.966614,70.70967741935483
5,25-09-23T00-46-49,micro,frontend-baseline,14.067588,59.340159,14.547441,3.924255,213.624573,52.370789,14.127319,73.28571428571429
5,25-09-23T00-46-49,micro,frontend-monitor,14.072010,48.507012,12.312995,4.142744,174.625244,44.326782,14.913879,71.28571428571429
6,25-09-23T00-46-49,micro,api-baseline,62.278285,244.894731,64.251743,17.258894,881.621033,231.306274,62.132019,72.38709677419355
6,25-09-23T00-46-49,micro,api-monitor,62.343322,142.094269,52.838728,14.200914,511.539368,190.219421,51.123291,66.16129032258064
6,25-09-23T00-46-49,micro,frontend-baseline,14.073833,58.418749,12.991638,3.830041,210.307495,46.769897,13.788147,74.5
6,25-09-23T00-46-49,micro,frontend-monitor,14.080596,58.970998,13.195021,3.845418,212.295593,47.502075,13.843506,75.64285714285714
7,25-09-23T00-46-49,micro,api-baseline,62.278942,226.906535,65.933651,17.590298,816.863525,237.361145,63.325073,71.90322580645162
7,25-09-23T00-46-49,micro,api-monitor,62.339908,148.862389,41.272278,16.792196,535.904602,148.580200,60.451904,67.90322580645162
7,25-09-23T00-46-49,micro,frontend-baseline,14.078860,56.817491,12.839067,3.840824,204.542969,46.220642,13.826965,72.5
7,25-09-23T00-46-49,micro,frontend-monitor,14.080640,57.661726,12.527500,3.831974,207.582214,45.098999,13.795105,75.21428571428571
8,25-09-23T00-46-49,micro,api-baseline,62.302018,187.094659,49.562124,16.999359,673.540771,178.423645,61.197693,69.43548387096774
8,25-09-23T00-46-49,micro,api-monitor,62.265360,150.635851,53.564080,17.635888,542.289062,192.830688,63.489197,67.40322580645162
8,25-09-23T00-46-49,micro,frontend-baseline,14.068723,20.199483,8.909980,3.788452,72.718140,32.075928,13.638428,62.142857142857146
8,25-09-23T00-46-49,micro,frontend-monitor,14.073133,37.156440,13.397471,3.758528,133.763184,48.230896,13.530701,66.5
9,25-09-23T00-46-49,micro,api-baseline,62.237907,199.098850,60.720011,17.296193,716.755859,218.592041,62.266296,70.85483870967742
9,25-09-23T00-46-49,micro,api-monitor,62.332247,206.869778,56.381310,18.038635,744.731201,202.972717,64.939087,73.29032258064517
9,25-09-23T00-46-49,micro,frontend-baseline,14.061374,57.152167,12.820604,3.982290,205.747803,46.154175,14.336243,66.85714285714286
9,25-09-23T00-46-49,micro,frontend-monitor,14.076892,54.018690,13.800625,3.801439,194.467285,49.682251,13.685181,73.0
1,25-09-23T00-46-49,mono,api-baseline,62.140465,23.162655,10.749715,11.752760,83.385559,38.698975,42.309937,42.38709677419355
1,25-09-23T00-46-49,mono,api-monitor,62.309878,250.509423,54.415826,16.887377,901.833923,195.896973,60.794556,71.69354838709677
1,25-09-23T00-46-49,mono,frontend-baseline,6.035415,23.360545,4.931132,1.607107,84.097961,17.752075,5.785583,70.0
1,25-09-23T00-46-49,mono,frontend-monitor,6.049724,19.111786,4.733870,1.559397,68.802429,17.041931,5.613831,69.83333333333333
10,25-09-23T00-46-49,mono,api-baseline,62.291219,218.776143,59.729292,17.117564,787.594116,215.025452,61.623230,70.06451612903226
10,25-09-23T00-46-49,mono,api-monitor,62.351326,192.463362,48.072272,16.730669,692.868103,173.060181,60.230408,71.04838709677419
10,25-09-23T00-46-49,mono,frontend-baseline,6.021565,26.827172,15.384352,1.724837,96.577820,55.383667,6.209412,76.16666666666667
10,25-09-23T00-46-49,mono,frontend-monitor,6.027279,24.821777,5.337338,1.677585,89.358398,19.214417,6.039307,72.66666666666667
2,25-09-23T00-46-49,mono,api-baseline,62.217115,116.982066,94.673428,12.833133,421.135437,340.824341,46.199280,50.645161290322584
2,25-09-23T00-46-49,mono,api-monitor,62.307148,252.836931,55.352410,17.034081,910.212952,199.268677,61.322693,69.45161290322581
2,25-09-23T00-46-49,mono,frontend-baseline,6.022860,24.463687,5.858866,1.646729,88.069275,21.091919,5.928223,73.0
2,25-09-23T00-46-49,mono,frontend-monitor,6.054465,21.496023,4.792243,1.586355,77.385681,17.252075,5.710876,72.5
